text,author,date,like
Honestly can’t believe she was able to make this into 8 minutes worth of content ,Naeou,10 ay önce,"1,2 B"
"I find Justine’s videos entertaining, but certainly wouldn’t use them for actual reviews. Never met an Apple product she didn’t find amazing & fantastic.",A. E. F.,10 ay önce,218
You know we're getting old when we get excited about cleaning products! :D,R2robot,10 ay önce,513
I feel like Justine would be the only person who would actually buy this if it wasn't just for the meme,Super,10 ay önce,340
"I have to admit, this video is 10/10 in every way and gave me a good laugh. You took something I’d never buy and now I might buy one ",Arcadia Live,10 ay önce,442
Definitely your best review yet!! To be able to talk so engagingly about a polishing cloth that had me following every word so closely just shows how talented you are at this stuff!!,Julian Gabe,9 ay önce,7
I agree with anyone else. THIS is the product I can’t BELIEVE my Apple products have been missing!!,Dis Familia,10 ay önce,259
Forget the M1 Max and Pro Macbooks. This is where Apple's really revolutionizing things. Team Polishing Cloth for life!,chipotleman,10 ay önce,520
"iJ, I haven’t watched this yet… but you’re legit a marketing genius if you can make an 8 min video about a cleaning cloth! :)",Ryan Bane,10 ay önce,91
Your the only person on planet earth that could do such an entertaining review of a cleaning cloth !! Spectacular!!!,Chris Iclickyou,10 ay önce,24
They should give transparent Apple stickers with this.,Debangsu Banerjee,10 ay önce,480
Justine is so self aware that you can’t even make fun of her for this,Nadiyah K,10 ay önce,63
"Apple employee - So how many cloths do you want?
Justine - Yes",ekul,10 ay önce,118
"“Oh it has an Apple logo on it, I’ll buy anything with an Apple logo on it,” Justine awkwardly looks at the camera.  “We’ll, your not wrong.” Ya we aren’t!  But hey!  Apple does make some sweet products!",Leah Dykema,9 ay önce,40
"I might consider getting one for my Macbook Pro!  To be honest, she has a point, who buys an expensive product and cleans it with something that might damage it?",Jason Yau,10 ay önce,116
"""The polishing cloth""  will become the most successful product joke ever. Everybody is making fun of it, and buy it out of fun. Another product where Apple will become market leader: polishing clothes.",Bernios,10 ay önce,67
"As someone who works in a big tech retailer. A $20 cloth is nothing new, most of the dodgy brands price around they too look premium and sell more numbers, while giving us like 60% margin. I'd buy this for sure.",PLASMATECH Studios,10 ay önce,85
"I have heard of very serious problems with the cloth, people have taken the cloth to wipe their screens and some have reported that it has totally wiped their phones including all cloud backups, at closer inspection of the cloth it was found to have had a bug on it prior to cleaning.
    Apple have recommended before using the cloth each time to give it a good shake to reset it to factory settings which should get shot of any bugs.",Shelak,10 ay önce,2
"She is scared of defending herself but she is right the cloth is so amazing actually for everything I use an Android phone and still have the pro xdr,s cloth and use it every day (I use mac and Android)I know , sounds crazy",APHQ,10 ay önce,43
"I've heard that while it's not any different from a regular microfibre cloth when you use it alone, but it does especially well when you use an alcohol cleaning spray compared to other options.",Boxbird572,10 ay önce,7
"“I know what you’re going to say…well, you’re not wrong!” lol
Justine: And now you’re going to want one!
Me: Well, you’re not wrong…",E Smith,10 ay önce (düzenlendi),87
"Hello Justine.  iPhones are great brand and great to see they have specific accessories like a cleaning cloth to go with phone.  I would love to have an iPhone but out of my budget.  I usually use, soft tissue, or cotton balls with some rubbing alcohol to clean my phone.  It does a good enough job to remove all the grime and finger prints.  Saw the video of the Collab in YT Creators, great tips.  Awesome channel, varied and all relatable contents.  Ironic, your Sister and I have the same name. Thank you for sharing such informative contents.  Watching all the way from The Philippines.",Just Jenna,9 ay önce,2
