text,author,date,like
"Your enthusiasm is infectious! It honestly makes me smile and it lightens my mood a little. You always make whatever you’re doing look fun and interesting! I find myself wanting to buy everything you review to try it out for myself, but I don’t have “Justine money” . Thank you so much for all you do; I truly appreciate it! Thank you for being you!️",Jordan Bergstrom,10 ay önce (düzenlendi),37
As a surface book 2 owner I’m sad they’re discontinuing the line but damn I want this. I’m a huge fan of Microsoft products and started with the surface pro line.,Lilpopism,10 ay önce,124
"I really like it, the screen hinge makes it usable as a 2 in 1 which is great.",Dante,10 ay önce,34
"The way the screen comes up forward like that reminds of those old Acers from like 8 years ago that did a very similar thing (main difference was the keyboard and trackpad swapped positions, which was ugly but made more sense).",Tim Redbeard,10 ay önce (düzenlendi),72
"Microsoft is always 10 years ahead of the “competition,” and I’m in need of upgrading my Surface Book ",Bartosz Tracz,10 ay önce (düzenlendi),18
I can't live without Justine's reviews of the latest Apple and Microsoft laptops.,Randy Ragsdale,10 ay önce,11
This might actually b the tablet/ pc hybrid I’m looking for. Was thinking of getting the Samsung galaxy s8 plus. Then I thought about the surface pro 8. But I think this option sounds way better for what I wanna do with it. I’m glad I saw this video when I did. :),Jaden Lightnight,5 ay önce,3
Keep up with the amazing reviewing technology content!!!,Alexander Barry,10 ay önce,0
Love your excitement for tech. I love Surface products. In Stage Mode when the monitor sits on the keyboard area will it scratch the metal? I presently have the Surface Book and love it but thinking of upgrading to this. Thanks.,Darrin Smiddy,10 ay önce,1
"It's a very Applesque packaging and design or is it just me? And looks very similar to a MBP but still very nice. Love the different modes, touch screen and other options that I hope Apple will pick up.",Shalese Johnson,10 ay önce (düzenlendi),7
"4 non apple videos in a row!!
Amazing!! You're becoming a multi-reviewer that's so amazing",UnknownUwU,10 ay önce,1
"The desktop pedant was already incredibly successful, as we know. No, kidding, the ergonomic nightmare has not been updated since 2018 and is still powered by processors that Apple installed in its Macbook Pro in 2017.
But this incredibly versatile and technically sophisticated laptop descendant is now sure to be super successful. For sure. Definitely.",Rudolf Gottfried,10 ay önce,0
This new laptop also shares the Surface Duo design if you look the back. I love it,Leon Rodriguez,10 ay önce,0
This laptop looks so awesome,Edward Sanchez Productions,10 ay önce,4
Great video productionkeep going!,dealtechno96,10 ay önce,0
What a beautiful device I want one of it.,Danni Portillo,10 ay önce,4
I can see myself tilting that screen forward everyday. So satisfying.,sweealamak,10 ay önce,10
This thing is the laptop/tablet convertible we've all been waiting for! ,ThreeTwentyTech,10 ay önce,59
"Justine, God has blessed you with amazing talent. Normally when I see a review for a product, it's usually boring, but when you do it, I practically have to hide my wallet from myself! Your video are always fun and interesting, please keep up the good work.",Ross YT,10 ay önce,5
Now they’ve got to actually update the Surface Studio! Would love to see it as just a fancy monitor.,Caden Churchill,10 ay önce,5
"Setting All Your Apps In Task Manager To High-Priority or RealTime Will Speed Them Up

( Details Tab Right Click On Processes )",10linkz,5 ay önce (düzenlendi),2
It's really weird watching iJustine reviewing non-Apple products. Hahaha but good for her though so she can explore more.,AmadeusX,10 ay önce,1
Awesome video as always  and that looks awesome!!,Beth Mills,10 ay önce (düzenlendi),1
"Also looks a lot like Apple devices w/o the folding functionality, of course.",Justin Pulitzer,10 ay önce,4
"It’s like Microsoft learned how to pack their products like Apple and learned to design their products like Apple. 

Non-macs laptops used to have “Intel” sticker sticking to them. Made of plastic. Black color. Trackpad has buttons. Etc",Jake Japan,10 ay önce,29
"Wow this laptop is a beast, nice review of the laptop btw Justine!",Mr Iron,10 ay önce,0
Nice but tiny 14“ compared to the 28“ Studio Pro ?  21“ is in the middle…Microsoft should launch the 21“ Studio Pro for everyone just under the price of the base iMac !,Alexander Hilberger,10 ay önce,0
Justine!!! Thank you For this!! Been waiting on this a long time!,THE HUSTLE GUINEA PIG,10 ay önce,5
This is just a great piece of device,Evans Walter,10 ay önce,1
I am freaking in Love with that device ,Jay Jay,5 ay önce (düzenlendi),0
Omg these are real?! I've seen them in Elite series on Netflix and thought it was some kind of props for the show (like pearphones in icarly) These are so cool.,MartinV,8 ay önce,1
I love ️ the way you edit your video I love  watching  you make amazing  video you make awesome    video I’m your biggest fan,Saleita Smith,10 ay önce,1
"Man, that studio mode looks sleek. 

I bought an iPad Pro exclusively just to draw on, and the idea of there being a laptop connected to it seems nuts. I know you can use the iPad for other computer ish stuff, but I haven't really explored it, lol. I grew up PC, so I instantly know what a PC is capable of. But the iPad is still strange and alien to me, lol. Great for drawing though. <3",Naus Cakes,10 ay önce,1
Hey is there much screen glare? I had the surface pro 6 and surface laptop 3 and they both were like a mirror especially in sunlight. Wondering if things are improved here ️,Peter Hanlon,10 ay önce,0
"Hi! Real cool device an nice video. Do you think it will replace the MS Surface Book3? Or will there be another Book soon? I guess , it will replace the Book3.",Hans-Joachim Dederding,10 ay önce,0
Wait Justine hadn’t had a Windows device since Windows 2000? That was a great upgrade. Love this unit but extra for the pen is BS starting at $1599.,Tucker Pearce,10 ay önce,2
loved the video Justine! ,David Paris,10 ay önce,1
"I love waiting for the ""look at youuuuuu"" in Justine's unboxings ",maxwell,10 ay önce,3
Windows is so good you can see the response of the device when swiping multiple times @2.55 and nothing happens,Anfal Shams,10 ay önce,23
Waiting on my i7 2tb to be delivered today. Great Video as always!!,Masteron,10 ay önce,3
"Wowowo thanks for review.
Love your videos by the way.",StarAlxvia,10 ay önce,0
I’m scared for the ribbon cable on these displays,Jordan Spencer,10 ay önce,7
Oh! This is lovely! How I wish I can get one from anyone!,Meridians,10 ay önce,1
Good evening.. I wish to make a video of a full review of the device explaining the defects and advantages.. Thank you ,ss,10 ay önce,0
That looks so cool,Cyd Villegas,10 ay önce,0
"I watched Justine videos when she started on YT.
Now I am back to see how she is doing.
She is like Jennifer Aniston, she ages perfectly, has an amazing beauty and aura.
Bless her.",Vince vDijk,10 ay önce,2
Like always great video love you,ashkan minaei,9 ay önce,1
MicroJustine should have a channel just for the Surface line.,Paulo Ridgeford,10 ay önce,0
Amazing laptop ,starbook5,10 ay önce,0
Can you do a review video of this laptop after using it for 1-2 months? Thank you!,Ap Ple,10 ay önce,0
This thing is beautiful,Tucker Pearce,10 ay önce,0
These videos is the thing we need in our lives,Maria Sweety Hotgirl - Vlogs,10 ay önce,12
"oh my god finally a new content video from incredible youtube's channel ever, but i really can't wait about microsoft surface duo 2",Sandi Hermana,10 ay önce,1
best reviews ️️️,ARchie,10 ay önce,1
"Hey Justine, what do you do with all the gadgets you have reviewed? Just curious :)",PNW Life Vlog,10 ay önce,0
ouaaaaa I love it. Really great the way to be able to position the screen like this.,VincT,10 ay önce,0
This laptop is good I tested it out although it is quite heavy if you were to carry it around. ,Naiyah Patel,5 ay önce,1
What is the keyboard like to type on? How is the key travel and feel?,Starman,10 ay önce,0
this is going to be my new daily driver,john puttick,10 ay önce,1
So exciting ,Dr Caricature,10 ay önce,0
The Studio is very tempting! How is it for video editing? Great video!,Yelling About Star Trek,10 ay önce,0
Whenever i see justine i just can't get rid of  'Apple'....be it Microsoft it gets converted to Apple and i love that illusion,Random Vibes,10 ay önce,1
"That surface studio was, design wise, the coolest computer ever made.  Now I think this may end up being my next laptop... And I can't stand windows laptops...",Explorenit,10 ay önce,0
You look surprised and excited with all products no metter if Apple or Microsoft.,Giovanni Fincato,10 ay önce,0
"Justine, the screen will also flip backwards so that you can use it much like the Surface Book.",RL inWA,10 ay önce,1
Will there be a updated “pro” version with updated GPU to maybe 3070  and the new intel alder cpu or AMD?,Deez,10 ay önce,1
Could you please compare this device against ipad (writing/notetaking) and macbook pro(general use) :),Huseyin Celebi,10 ay önce,1
3:23 wow the 120 hz screen is really smooth,Ajay Aravanan,10 ay önce,1
Amazing laptop ,lydia gaming,10 ay önce,0
This is a beautiful video ,SuperChiko 2.3,10 ay önce,2
"Just fyi for those wanting this for gaming and some good editing, the RTX graphics card in this starts at 2,000 USD. The $1500 version has basic Intel graphics only.",Butter Man,10 ay önce,0
would you recommend this for college students or the surface pro 7?,Tyrielle Bradford,10 ay önce,1
Would love to see the new microsoft surface go 3,Michael Belgium,10 ay önce,0
its been years that im following her.. still dreaming to have even one of her gadgets..hehe,Dyowzah Palaban,10 ay önce,0
Can u make some workflow comparison videos? Like ipad air+ macbook air sidecar vs surface laptop studio  for art and general computing ?,Max Mi,10 ay önce,1
"The charger comes from old time..
Overall its nice to have laptop like this",AinK,10 ay önce,0
Thanks for the review of this beauty,James Murray,7 ay önce,0
Hey justine how is the difference between the ipad pro with pencil and the surface studio with pencil? Do you feel any difference between these devices in writing tasks?,Fabian,10 ay önce,1
nice work microsoft but… would be nice to have a minimalist version but powerful enough,Paulo MK,9 ay önce,0
great video especially when you show us a Microsoft product not only Apple,Admiral Khalifa Al Qubaisi,5 ay önce,0
"When will Microsoft give up on their proprietary connector? I like the Surface design language, and I have a Surface laptop, but it would be a lot easier if they'd just switch to USB-C.",Thomas M,10 ay önce,0
"Congratulations for videos. 
It's possible subtitles in Spanish? Thanks from Spain",Isaac A. Fernández,10 ay önce,0
"My mind while watching this video: tell @Ijustine"" something lovely so that she can give u any of the surface laptop for free"" ",Abhisek Mohanty,10 ay önce,0
Wow you are a apple fan but it's weird that you like surface too but yk it shows your honesty,APHQ,10 ay önce,2
"It sure does look professional, sleek and cool.",Greendro,10 ay önce,0
AMAZING!,Jhuaniee,10 ay önce,1
I need this in my life!,TheSunshine1189,10 ay önce,0
Looking Amazing,Radhika Shantanu's Kitchen,10 ay önce,0
I love that!,Authenti K Beatmaker,10 ay önce,0
I've never used Microsoft but it sure looks cool.,Ohni Marreekarr,10 ay önce,0
does the slim pen come with it?,Augustus chukwu,10 ay önce,0
"i loved this laptop when i first got it but i had to return it since not only did the touch screen keep glitching, the charger wouldn't charge after 3 days!",Sylvester velena,9 ay önce,0
Waiting for the surface duo 2 review!,Mustafa A.,10 ay önce,0
u make me feel better about any expensive tech purchase i make ,shreya,1 ay önce,0
"It looks cool but would be good if you could show how the hinge mechanism work, which I think is a key selling point of this laptop.  Does the screen rest on fixed positions on the keyboard or you could adjust to your preferred angle?  Is it a smooth transition into different modes or does the screen wobble?   You moved so fast it gives the impression you are trying not to show how this works or there are issues with it....",Derek L,10 ay önce,0
"Great device… but, the pencil latency tho ",romé,10 ay önce (düzenlendi),1
Love your videos inspired me to do tech videos near future,Timothy Tay,10 ay önce,0
i am going to buy this,Toshid Rajkumar,10 ay önce,0
Finally a 2 in 1 where the keyboard isn’t on the bottom when u want to use it like tablet,Christopher Michael,10 ay önce,1
Sick benchmade knife.,Christopher Putney,10 ay önce,0
Wonderful explaining,Ehab Milan,10 ay önce,0
"1599.99$ that’s outrageous! You could buy a very good dell, razor, or even a MacBook pro. And 1599.99 is the starting price.",Olivér Botond Gulyás,10 ay önce,3
Can you compare the apple pen with this pen?,Sergio Alvarez,10 ay önce,0
"Just by seeing the hinge on this thing, we all know it's gonna be expensive... ",ThreeTwentyTech,10 ay önce,1
The future of the laptops is like Microsoft surface convertible ,Sahil Padghamod,10 ay önce,0
Apple inc and IOS users must be really mad at @ijustine  ,vincent kiprotich,10 ay önce,0
"Microsoft: has4000 levels of pressure for 129.99
XP Pen: Hold my stylus cuz I’m 4189 pressure dimensions ahead of you",PercyKqv,10 ay önce,0
Loved it,iDillyD,10 ay önce,0
Respect for the benchmade 940-1,Joshua Rivera,10 ay önce,0
"Microsoft should make an 
(XBOX VERSION) of this laptop that has a 360 refresh rate and a good touch display as well as a printer/paper-holder hidden
between the keyboard components included in it's casing separate from the display. The keyboard needs a print button and a good webcam. If you really want to make it interesting give it a swivel-hinge and transform it into a tablet. It needs to be super thin. BLU-RAY,SD,HDMI,",kris ertmer,6 ay önce (düzenlendi),0
perfect !,Ilya Amiri,10 ay önce,0
You're always so excited about those things ️️️,BahmanWorld (No Commentary),10 ay önce,0
I'm happy forvJustine to unbox the very new Microsoft Surface Phone when its available end of 2021 or early 2022. whos with me he ar.,Michcael Serplet,10 ay önce,0
"ijustine videos are banging, wish she could post video reviews about the harry potter films as well",User 1,10 ay önce,3
I've been hitting refresh for hours.  I KNEW you would have it first.,J. Reed,10 ay önce,39
This is what innovation looks like Apple!,,10 ay önce,0
Nice looking design there.,Eric Timmer,10 ay önce,0
This with macOS ,İtisam TV,10 ay önce,0
What would be better for college students ? MacBook Pro or the Microsoft surface laptop,i2k - xALEXx xSTAFFORDx,10 ay önce,0
your literally the most satisfying person to watch that it’s not even funny ,Fallon Granger,10 ay önce,1
Can you use a wireless mouse on it,Gladys Stead,10 ay önce,0
Beautiful! ,Sydney Helton,10 ay önce,1
This thing is so thick. When she pulled it out of the box I thought it was like a 2004 Powerbook. ,mime454,10 ay önce,0
"I know this is late, but would you kindly do a full unboxing of the Pro 8 please?",Yaseen Akram,8 ay önce,0
I love how that’s literally Apple packaging like rebranded ,Mograin,10 ay önce,3
Awesome tech tech review Justine,AwesomeAdam From 2099,10 ay önce,1
HP Spectre x360 13-aw2054na 4K OLED Convertible Laptop has a 4K UHD (3840 x 2160) compared to Surface Pro 8 (2880 x 1920).,Gurmeet Singh,10 ay önce,0
Hi Justin I love your vids,Dina Babaei,10 ay önce,1
Perfect,mobin axley,10 ay önce,0
I don't need this. I can't afford this. But ... I love tech. I watch tech influencers. And now I am influenced. Ahhh boy. Lol.,tominfhl,10 ay önce,0
But I didn't really liked this surface I like surface pro but the problem is they don't have GPU and or enough power for even video editing,APHQ,10 ay önce,0
What a beauty!,Bharat,10 ay önce,0
Yay motion tracking beards!,Things I Buy,10 ay önce,0
It’s ijustine the best on YouTube with unboxing videos with the extra dramatic pen unboxing 1:50,Connor Naber,10 ay önce (düzenlendi),0
Jenna’s video won the YouTube algorithm race so I watched hers first… but I still like this video!!!,iofrevolvr,10 ay önce,0
love from kerala ,Jameelath Beevi,10 ay önce,0
"Not gonna lie, if I haven’t just bought the M1 MacBook Air, I would have definitely been looking into getting this laptop.",MajesticJoshua,10 ay önce,2
Nice video .big fan of urs,Programmer Page,10 ay önce,0
"we'll be missing cortana on set-up. a little sign in here, a touch of wifi there ",Matt Magtoto,10 ay önce,0
How far can you push this with gaming?,Christopher Diaz,10 ay önce,0
I feel like windows is trying so hard to compete with apple,Matthew Alexander,10 ay önce,1
"Trying to decide between the Surface Laptop and the new Macbook Pro 14 inch.  The Macbook 14 inch will have 1000 nits (have gotten so used to my Ipad Pro's awesome screen so hard to go back to 450 nits).  But the Macbook Pro 14 inch will not have touch/sketch.  So, tough to decide.",Michael Reif,10 ay önce,0
Good morning.   I love your videos.  I’ve been watching you for 7 years.,Melissa Halliday,10 ay önce,0
When I heard the click at 1:29 I thought you broke it and I gasped a little. The pen doesn't come with it? But that's what I want most.,Sunfrog,10 ay önce,0
