text,author,date,like
Justine is definitely my favorite tech YouTuber her enthusiasm for everything is so funny she’s the reason I know so much about apple and I got a MacBook,WavieFiji,10 ay önce,211
"I love how Justine gets so excited over new Apple products, just like I do. It seems so simple but these devices somehow bring so much joy to my life.",ThreeTwentyTech,10 ay önce,100
Justine gets excited over new Apple products like a kid on Christmas morning opening presents.,Randy Ragsdale,10 ay önce,123
"Thanks for posting this. I love your content. I've always had Android devices but after watching your reviews and finally taking the Apple route, I finally ordered my iPhone Pro Max 13 1TB in Sierra blue and I'm super excited",Alex Singh,10 ay önce,45
"She’s bringing very positive vibes to everyone, props to that.
Watching since 2015 or so",Andy Knows Tech!,10 ay önce,4
Can you review the new AirPods and compare them to the pros and the 1st/2nd gen AirPods? I would love to hear about the difference between all 3.,Isabella Herrada,10 ay önce,52
The new studio looks amazing and love that you posted an update on the new apple products,ishita Ishu,10 ay önce,6
"I love how Justine is really passionate about technology and she has been this way for sooooo long. She's legit, a pro, and is always amazing. Always oozing with such positivity!",bored&broke,10 ay önce,36
You made me love tech even more especially apple products thanks so much ️️️️️,hailey terranova,10 ay önce,2
I love this awesome content.  The new studio is LEGIT!!,Time 4 Tech,10 ay önce,69
"I hope they update the MacBook air lineup as well or maybe a slight spec down MacBook pro because as of now the price difference between the air and pro is massive, I’m no pro so I don’t need those super high end specs but I want something which is better than the current MacBook air",Saiiiiiii,10 ay önce (düzenlendi),3
"Knee injury?!  Been there, done that. 
I pray the speediest recovery for you Justine.  I very much appreciate your videos — you are a beautiful positive person. Great video production — always a joy to watch — I learn so much from you. Thank you for being you. ",Chris Young,10 ay önce,3
Hey  iJ. I’m really like the new/old setup. I got the starlight watch as well and I’m really enjoying the color too. As always keep posting and creating.,Sarah Young,10 ay önce,1
Justine you’re a legend . Love you work and what you do!,Moudire Ifan,10 ay önce,3
Going from 6s to 13 pro and  watch s7. I am really happy I was daring to pick the 256GB version to be able to use ProRes (even if I am not a photographer/video editor) to its full extent <3 In Hungary I need to wait until end of November to get the products.,KRISZTIÁN NAGY,10 ay önce (düzenlendi),0
Imagine having a spare phone just to install and try out the beta.,Sooryanarayanan Sanand,10 ay önce,32
I truly love your work and I do  enjoy your reviews. It would be great if you would make more videos on gaming laptops!! Also would be nice if you did an outdoors video of you testing the iWatch 7 series and iPhone 13 Pro Max; maybe a full day of hiking or an overnight camping trip to see how they last- and maybe also have Marques MKBHD also join you as you are both amazing and energetic individuals who inspire! Keep up the great work.,Khalid Omar,10 ay önce,1
I have used rhino shield on my last several iPhones. I can also say they have honored their lifetime warranty for me.,My Queen’s Loyal subject,10 ay önce,0
"hope your knee recovers soon!!!! wishing u all the best justine! have been loving all the tech videos, it has been the best place for info have been subscribed since you n ro have been making videos together, am so proud of how u guys became, lovee u lots, will always be here supporting you!!! ",Emily Loh,10 ay önce,0
"iJustine you are awesome 
You are soo enthusiastic  
And whenever I am going to buy an apple product I watch you",ControlFreak 14,10 ay önce,1
"LOVE THE NEW STUDIO! Great work, Justine!",unknown,10 ay önce,1
"I hope you recover soon, Justine! ️",r y a n,10 ay önce,1
U are the best creator on YouTube. U make my day better whenever I watch ur videos. Thx u so much for making these tech videos. Keep doing u ,Mr. Huevo,10 ay önce,3
speedy recovery Justine ️ i can’t wait to see you reviewing AirPods 3,Sein Hussein,10 ay önce,0
"Love the enthusiasm, keep making vids. I ️ the new studio",Agent Buzz,10 ay önce (düzenlendi),1
"Hello, Justine. Another great video. Wonderful content, as usual!",Cameron M,10 ay önce,0
Just love   your vlogs and tech reviews they’re always the best I’ve have to say you are my favorite vloger and YouTuber thank you  for your love of apple  they are my favorite tech,Erin Jimenez,10 ay önce,0
"I agree with what you said about no outlets in the backdrop wall. Depending on what kind of floor it is, maybe they could be in the floor next to the wall ?",Scooter54,10 ay önce (düzenlendi),0
Hi Justine love your videos.  Really love how positive you are!,Stephen Goff,10 ay önce,0
Great content presented by the master Justine ,Jean-Claude Henriques,10 ay önce,0
Love you and your content justine!!!,Arihant Jain,10 ay önce,2
This video is perfectly timed! I’m getting frustrated at my 32 gb iPhone 7 for getting full(again) and I am currently pricing out a new phone,Kelly Snover,10 ay önce,0
"Justine you are amazing!!!!
You have the best tech videos!
Don't feel bad for not posting as much you are on YouTube for over 10 years you need a break ",jerry cooper,10 ay önce,1
Amazing video Justine! Please keep making such content!,Kiran Joshi,10 ay önce,1
"I just love excited you are talking about the color of your watch and then you got even more excited about the new studio :)
You cannot even finish that sentence 

Never change!",MRZsiir,10 ay önce,0
Justine upgraded everybody in her family with new iPhones. Lucky family!!,Randy Ragsdale,10 ay önce,1
Ijustine your reviews are really magnetic to watch,wilson asshur,10 ay önce,1
"Right, when I want to buy compatible technology (watch and phone) I go by the one that color matches the best... no, my brain is not capable actually.   But I'm glad iJustine can do it, because she can also justify technically!  Love your reviews iJustine - absolutely.  And truly, you could make any colors work together, I was only trying to be funny, and probably missing the mark.  I want the 13, but I'm not ready yet.  I need to get a new biz together first, then it's either all MAC, or not.  Thanks again!",Kevin Wells,10 ay önce,1
"Great Video Justine!!! Also, loving the new studio setup!",George Kousparis,10 ay önce,0
Love the new studio but will def miss the old one!!,joseph M,10 ay önce,0
Can’t wait to see more on the studio!!! Yay,Nurse David,10 ay önce,1
The new phone might have been out for a month but I just got my 13 pro max yesterday.  But the wait was worth it I love this phone so much!,shelbypink1,10 ay önce,0
"Great job for all the other content Justine …
Looks fab and lush .. keep up the great work ",Jeremy Waller,10 ay önce,0
I’m going to buy the Rhino Shield case immediately,Jefe Maestro Xbox,10 ay önce,1
Always love your content️,Tameka Turner,10 ay önce,0
I have a rhino shield Apple Watch case and highly recommend… also love all the choices,Rafeistaken,10 ay önce,1
I've always been a big fan and followed you since I was a kid! Keep it up!,Marcus Choi,10 ay önce,2
I’m here for Justine’s videos  I miss her vlogs and cooking videos,Jonathan Rincon,10 ay önce,0
I’m amazed at what her grandma has upgraded and Mum upgraded and she has soo many iPhones,Timothy Tay,10 ay önce,2
Always looking forward to your new videos,Snowden Snyder,10 ay önce,0
"Man.....I like having the protection and convenience of my Otterbox XT Pro Max case, but that Rhinoshield case.....youre making me want it. Slimmer but still protective, with the slight girth. Yeah, I'm weird.",JunkionMarnot2005,10 ay önce,0
"Apple still has the lame lightning port introduced back on September 12, 2012.  If you record a very large clip on your iPhone 13 it may take overnight to transfer it to your new Apple Macbook M1 MAX so you can work on it.  As a pundit you need to beat up Apple to put a USB4 host mode all options on so you can have a true professional iPhone with 40 Gbit/s data transfer rate.",Brent Smithline,10 ay önce,1
LOVE THIS VIDEO! MORE LIKE THIS!!,Zachary Fox,10 ay önce,2
She’s so happy even if you’re not somebody that’s going to buy Apple products it’s worth watching just cause she seems to really enjoy her job and so,jonah,10 ay önce (düzenlendi),2
Just got a blue iPhone 13 and I love it! Coming from a 6s plus it’s like a revelation!,noble o,9 ay önce,0
