text,author,date,like
"I got the starlight (45mm) with the starlight sport band. Fantastic color, actually quite neutral with the “silver-ish” case but it’s neutral and it’s nice. The band is a warmer white but it’s still very neutral.

I upgraded from a black 44mm space gray series 4 (I liked the black but I wanted to try a bright color) and I love it. Big display is nice (I use it for walking GPS), I use the altimeter because I take it camping and that sort of stuff, and overall I love it. Both models I got were GPS (my phone is on me almost 24/7 so cellular wasn’t a necessity) and I’m fine with it.",Robert A,7 ay önce (düzenlendi),15
"I know a lot of Series 6 people are disappointed but I really appreciate this video, Justine, because I have a Series 4 and this was a great way for me to realize what I've been missing out on, enough to convince me to buy the 7. Kudos!",James Song,10 ay önce,179
"The fact that I’ve been following you for 7 years and I’ve seen all your Apple Watch videos  Just makes me feel so nostalgic  I remember your unboxing of the first Apple Watch like it was last year.. Watched them multiple times cause I was so excited and I got my first Apple Watch as well. Here we are 6 years later, time sure flies.. And yet Some things never change (like my love for you) ",Audrey K.,10 ay önce,268
That’s neat. I’m still rocking the series 5 from a few years back. But I use all the sleep tracking and fitness features. I couldn’t imagine my routine without this watch. Great review Justine. I have been following you for several years now and really enjoy all your Apple reviews videos. Keep posting and I hope your leg feels all better soon. Peace to you.,Wise Thinkers,10 ay önce,22
"Series 0 and series 1 were IPx7. I took them both swimming many times and had no issues, but the series 2 was the first “swim resistant” watch to be able to handle water pressure from diving and such",Justin,10 ay önce,105
"I love how this video was very informative accompanied by the best music, props to your editors. you're so positive and helpful. I appreciate you a lot!",Benjamin Bru,10 ay önce,10
"Three things I’ve learned from this video:
1) The upgrade is worth it for me….from a series 3 to a 7
2) You haven’t aged from series 1 to series 7
3) You take pride in self care ",Jeaner Plans,10 ay önce,86
"As a runner I must say knee injuries are the worst, currently got adductors pain which is also annoying but hope you get better soon Justine! Love reviews keep it up!",sunny19886,10 ay önce,12
"I've been a serious, and I DO mean serious android user since the very beginning...and while I believe Samsung makes some great smart watches, I have been absolutely let down by the Galaxy Watch 4. I MUCH prefer the earlier models that ran on their Tizen OS. I have always been envious of how well apple watches just seem to ""work"" well. I finally bit the bullet and got an iPhone 12 and an apple watch 7 and I love it. I STILL prefer android to iOS, but that watch though, it's just wonderful.",Jeff Edwards,7 ay önce,6
"The Series 7 will be my first Apple Watch so quite excited.

Edit/UPDATE: yuh, I got it yall. Been playing with it  and I love it. Much better experience with it compared to my previous Galaxy Watch Active 2",Reece,8 ay önce (düzenlendi),102
I was pretty sure I’d be going for the green one. But once I saw it in the Apple store it was actually too dark for me so I went with the blue one with the blue leather band and am really happy with my choice :) Upgraded from Series 4 and the bigger display just feels so good.,xFlowerpot,10 ay önce,13
Anytime I think about buying an Apple product I come to this channel to watch you. I trust your reviews 100%.,Kathy Coleman,10 ay önce,5
You definitely always have the best review of any Apple product! ,Reece Declan,10 ay önce,1
I’m so excited to get this! The Green is very tempting but the Starlight colour is amazing ,MMangoTea,10 ay önce,76
I just like how she's always genuinely excited in every video reviews ️,Moon Moon.,10 ay önce,12
props for going through years past to bring people up to speed on where the tech for the watch is at. i can’t imagine how much work it took to find the footage. you must have an excellent filing/foldering system,briocon7,10 ay önce,77
I feel like there just aren’t enough new features to warrant an upgrade for pretty much anyone with a modern Apple Watch. I got an SE literally like 2 weeks ago and it’s actually amazing. Bang for buck right there no ,Saiyan,10 ay önce,28
Get you someone who's as excited to see you as iJustine is reviewing new apple products.,nickname,10 ay önce,60
Love your reviews  I have a series 3 I’ll upgrade maybe next year ️,"Ishikawa Luv (No rock's 2 high, No river's 2 wide)",10 ay önce,2
"I was waiting for you to unbox this lovely thing!!! Also happy late thanksgiving from a Canadian!!! I appreciate you’re content lovely, honestly been super impressed over the years and I’m massively proud that I can experience you UNBOXING IT  I was thinking of getting the new Apple Watch for apple fitness, and just in general more motivation! I think that the new models are honestly stunning but quite convenient. So I’m happy about such! I’ve never had an Apple Watch but those new Color’s are quite beautiful ",a0m_i Aspen,10 ay önce,2
There are few things more pure and amazing than watching Justine review Apple products!!!!!,Vyyyper,10 ay önce,3
"You always make the best videos Justine :-) <3 , I'm an apple enthusiast myself and I'm always learning from you",Justin Lee,10 ay önce,2
IJustine never disappoints with a review!! Very good job and great content!!  My reason for opening my YouTube app lol!! Although my next watch will be the SE but still great job️,Tameka Turner,10 ay önce (düzenlendi),4
"I just unboxed my series 7 and i'm shocked at how amazing it is compared to my previous model, series 3. definitely worth the purchase.",clara hamilton,8 ay önce,6
I watched this when Justine posted it and finally got mine today! I’m updating from my series 3(which I’d only used it for a year until I sold it cuz it wasn’t that useful for me). But I like this new blue so much! And being able to unlock my phone when I have to wear a mask everywhere sounds so tempting at this moment,Lizzie_FantAsia,7 ay önce,0
I have a series 4 and have noticed that the battery life has plummeted the last several months. I used my watch for my alarm and for general fitness. I’m excited to upgrade! I got the green 41mm :),Steigenator,10 ay önce,31
"i have a series 6 so i don’t feel a need to upgrade just yet. that new screen and full keyboard capability sounds really nice though, but that’s enough to make me want to upgrade.  i think i’ll wait till something really significant changes like flat edges or something. hopefully all the bands would still work if they changed the design though, that would be upsetting if they didn’t.",Josh Paulus,10 ay önce (düzenlendi),294
From the series 3 to series 7 is such an upgrade! I’m so excited!,Ximena A,7 ay önce,1
"Girl, my dark cherry leather magnetic band came an hour ago. I hadn’t checked it out either and OMG - it is amazing. We slept on this one.  Couldn’t get a preorder with gold stainless steel so I had to buy the band separate for some reason. ️",Dave Hughes,10 ay önce,16
Sooo excited to get mine. I have a series 3. Time for an upgrade.  Thanks for your review!,Beauty with Coco,10 ay önce,0
"I'm sticking with my series 5 for now, but love good review and little come back in time to series 0 !",Krystian,10 ay önce,0
"I got my first Apple Watch last year, a series 6 and I love it! Too soon for an upgrade but great video ",Amber,7 ay önce,0
"Thanks for sharing..one comment about this video and others I have been watching to understand the new updates of version 7, is how much time people allocate to the band and watch colors, it is almost an obsession by both men and women. I don’t see this type of reaction when people buy other products…it seems it is purely an Apple thing. Why? I wonder…",Catherine Garcia,8 ay önce,0
"Still going strong with my Series 4. Prior to that I was using the Series 0, which was sluggish and didn't age too well by the time the Series 2 came out. 

I still don't feel the need to upgrade, so will use it till it breaks :-)",Zenstrukt,10 ay önce,0
"I just ordered myself a series 7 from the Apple Store (currently have a series 3, decided it was time for an upgrade) and I was struggling to choose a color. After a lot of debate I choose the starlight one. Now I’m just hoping the color looks good in person when the watch arrives lol",The Mumbling Owl,8 ay önce (düzenlendi),11
Absolutely fantastic how the external lights mirroring from the edges 01:04 15:39. I cannot see what I want. I need a flat display. I don't buy it.,Nyíri László András,5 ay önce,0
It looks awesome. There’s a lot of things they still need to fix though.,Mickey Garcia,4 ay önce,0
"I’m still rockin’ my series zero but think it’s finally time to upgrade for new features. It turns out if you’re not a watch wearer buying an Apple Watch won’t turn you into one. I don’t wear mine on a daily basis but I do like to wear it on certain occasions, especially for travel.",Laurie,10 ay önce,0
