text,author,date,like
"Wow! Another trademark iJustine review, this made me consider getting one of these! The fact that it's waterproof but has such great stabilization and so many mount options is awesome – I'm still rocking a GoPro4 lol.",Lindsay Daly,11 ay önce,3
"Really great montage of videos and I can't believe they are all captured using the tiny GO2. Several questions popped up in my mind though:
- were all the audio of you speaking came directly from the GO2?
- for the entire trip, how many times did you need to charge the battery or how did you manage it?",Planet Daryl,11 ay önce,26
"That edit was truely amazing, the transitions and cuts were amazingly timed and fluid. I love it!!!",Noah Bean,11 ay önce,3
"Great video! I have the Go2 and use it when painting murals. I haven’t used it much lately but you have inspired me! Great footage. I especially liked the underwater shots. I imagine, since you have 2 of these you worked between the two when battery life was low.",Gumption,11 ay önce,1
"It's honestly the perfect travel companion. It's so small, lightweight, portable, can last a few hours and provides you with some good shots with its wide angle lens. Definitely worth considering if you enjoy adventures and outdoor exploring! ",ThreeTwentyTech,11 ay önce,11
"This looks like the kind of situation where the creators started out with just a basic mobile camera and just started saying: ""It would be cool if it had this, and this, and this, feature.."" and then they just really, actually, added all those features.
It's rare that you see a product as well designed as this. Usually it's the consumer who says ""It would be cool if it had.."" months later, and then they just forget about it because they know it's never going to happen.",FirstName LastName,11 ay önce,26
I love the Go 2. I got one before my summer vacations and it was amazing not only to film but also to easily edit all the content in my iPad with great results and quality.,Pablo Arieu,11 ay önce,2
You always do such a great job with your color grading and editing.,narutodayo,11 ay önce,7
"Fantastic video Justine, great shooting and editing. You deserve some Insta shares for your professional results",B Barton,11 ay önce,0
The magnetic clip to me appears to be the best part of this and why I keep seeing this as something I got to get! Fingers crossed 4k on Go 3. Hat cam is pretty sweet too though.,Daniel Cook,11 ay önce (düzenlendi),4
"Amazing review Justine, the footage with the dolphins was incredible.",ssjmichael,11 ay önce,24
Excellent quality - have I read right that it records in 10-15 minute segments in normal/pro mode? How much footage does it actually hold?,Puddytatpurr,11 ay önce,3
"I don't even need this camera- because I don't vlog but I would still want one. It kinda makes me want to start creating! The possibilites are kinda endless, just because it's so small and easy to capture stuff- I feel like you could film while you do so many thinks that otherwise wouldn't be as easy to do if you had a big camera. And the quality is surprisingly great!",Kasper Stenbom,11 ay önce,18
"Great camera, but I hope they will release a minor upgrade version with larger internal memory.
IMHO, 32GB (28GB usable) is a little too small for 80Mbps video. A 64GB /128 GB version will be great.",キューティ・プラス,11 ay önce (düzenlendi),11
I would be so scared of it falling off the necklace lol. What amazing quality footage from something so small! Love the amount of thought they’ve put into this product.,Em,11 ay önce,7
Thanks!!! I’ve been on the fence about this since the previous version. Watching every video I could get my hands since this one dropped. Finally ordered!! ,MaryMyLifeMyLove,11 ay önce,1
The Selfie Stick vs Octopus Tentacle was definitely a highlight   What an epic adventure - thanks for taking GO 2 as your plus one ️,,11 ay önce (düzenlendi),168
"Fantastic video. Wow that camera looks great and sounds good too. The dynamic range, super stable, ultra clean color seem really good! Huh! I really like it. I want one! Hmmm, I wonder if there is a black version? Edit - I just went to the website and Insta360 has skins, Oooooo....",Ken Jones,11 ay önce (düzenlendi),0
Thanks for the free ND filters!  Great deal especially with the new year sale!,Jason Wagoner,7 ay önce,0
Awesome shots!!  Kind of crazy how Hawaii seems more beautiful once Justine is added to the mix,Joey De La Rosa,11 ay önce,5
