text,author,date,like
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,19
"Dashcam story: I have both front and rear mounted dash cams. I was rear ended and the person who hit me told their insurance that they were rear-ended (hit and run) and pushed into me. This was not true, and I had dash cam video to prove it. Without the footage, her insurance wouldn't have accepted full liability, and I would have been on the hook for the $500 deductible in repairs with my insurance company. GET A DASHCAM!",PhotoJoseph,8 ay önce,104
"I have the nextbase 512gw. It's a great unit. Few gripes...the unit can only record in 1080p if you have the rear cam attached. Downgrades from 1440p to 1080p. Having used parking mode for the last 2 years...the units internal battery is shot. It can't be replaced as its soldered on to the motherboard...the unit now only works plugged in. Alot of memory cards including Samsung  and SanDisk aren't compatible. Lastly if you have your car broken into and the camera activates, there is nothing stopping them from just ripping the camera off and bringing it with them. The footage isn't uploaded into cloud storage. It would be great if it had a built in sim board. But otherwise I'm happy with it.",B Fahey,8 ay önce,9
"I recently bought the 522gw and wow, the quality is amazing.. the night vision is way better than I was expecting. Got it with the rear window mount as part of a Black Friday deal… absolute steal of a deal",Rebecca Meek,8 ay önce,12
"I've had the 522GW for about 3 months now, and I've been on the fence about upgrading to a 622 model. Pretty impressed with the extra features that the 622 provides based on your video and can't wait to get it! Also, side note, I'm more impressed with the way you made a dash cam video so entertaining ",The Chung Experience,8 ay önce (düzenlendi),22
"Great video, helpful and awesome footage!
Also the Rove and RedTiger which are currently 1st and 2nd top selling on Amazon are actually “Quad HD” vs Native 4K, despite being branded as 4K.
I didn’t know you did all sorts of tech including dashcams! Crazy how tech will keep progressing, and unless things are reviewed as they come out, they normally aren’t reviewed years later.",SuperSight,1 gün önce,0
"I got a nextbase dash cam a while back, it’s an older model than this but it honestly makes you feel safer having it in your car. Like Justine said if you witness or are involved in an accident it’s nice to have video evidence of what happened. I might upgrade eventually as the updated features look great! Especially the app integration and the 4k footage!",Nathan T,8 ay önce (düzenlendi),9
"By far the best and cheap dashcam ive ever used is the 70Mai 4k dashcam....has road angel, dual record, lane assist, 24hr cover....i had the original kickstarter and have upgraded twice....amazing cams for under £70",grant paterson,8 ay önce,1
"I was so excited to get this as I always trust your reviews. I went onto Amazon to purchase it and saw the rating is 3.5. I read through several reviews and they all talk about it freezing. 
I’ve been in the market for a dash cam for my parents, they’re in their 70s and not too tech savvy so I need something that’ll be easy for them to use that won’t have issues.",Shopaholic Elle,7 ay önce (düzenlendi),5
Bought one in November after getting a dent in my rear bumper while it was parked. I opted for the optional rear window camera. It works great. I think a future model should have some way  you can connect the Rear Window Camera with the interior cabin camera this way you have it all covered.,Vincent Sarno,8 ay önce,1
"Just started looking into getting a dash cam. It would be really nice if there was one that could be installed somewhere hidden and could not be easily removed. It would also be really nice if you could attach 3 or 4 cameras to it, front and rear facing to record in 4k and interior to record in 1080/2k.",Federico Alcala,2 hafta önce,0
"The reason why I did not go with this brand is because when a g-force event occurs, the footage for that is MOVED to a separate location on the SD card than the rest of the footage, whereas with competitors, it is copied so you still have the continuous stream in one location. Also, another reason is the SD card capacity limitation of a pedestrian 128GB whereas much less expensive competitors can handle 512GB.",danwat1234,3 ay önce,5
Love this! I have a 622GW and love it as well  Definitely recommend it as it helps me feel safe and protected on the road.,lauren,8 ay önce,0
