text,author,date,like
"Our dad got us all LEGO minifigs of ourselves for Christmas this past year! Like, he seriously put so much thought into getting them just right! Miss you both! ️'s -Brooklyn",,1 yıl önce,77
I love how Justine is usually into tech reviews and videos and suddenly her videos are entertainment and humour. Who knew the 2 categories would blend so well?,ThreeTwentyTech,1 yıl önce,22
"That airship is a masterpiece, closest thing we're gonna get to a Lego Super Mario Galaxy boss battle with Kamella
Whoever made that airship deserves a raise, because actually turning a Bowser airship into a set is genius",Avery the Cuban-American,1 yıl önce,53
I love seeing games come to life in Legos! Really brings out the kid in me. I'd have to save my favorite set growing up was Lego Mars Mission.,Stupid Raisins,1 yıl önce,0
"Yay! I love Lego so much! But now! With Rosanna and Justine, i'm here for it! I love it so much! ",Diego Romo,1 yıl önce,8
I would have loved this stuff as a kid.,Dante,1 yıl önce,11
Proof that Lego can be for ALL ages. We unleash our inner kid at the sight of Lego,Kim Jong-un,1 yıl önce,38
"Gets Lego Mario and Luigi. First thing we do, make them dizzy. ",Bobby Svec,1 yıl önce,35
My fiancé would love this kit for Christmas. :-) How many expansion packs are there? When I looked on Amazon I could only find the starter kit +2 packs.,Crafty Creations,1 yıl önce,5
Y’all definitely should do a big collab with people and set up a huge course,Noah Gregory,1 yıl önce,6
Those Mario Bros legos are so cute!,Miguel José,1 yıl önce,1
"Wow!! It's almost like Nintendo of the 9os coming to life!! Legos are the best though - I still have my OG Lego box, the green Baird's that we would build on.",aneebaba06,11 ay önce,0
This is so cool. I will probably put this on my Christmas shopping list lol,Kaycee Bishop,1 yıl önce,0
"If there are more of them, Justine is guaranteed to buy them.",Michael Taumi,1 yıl önce,0
This was such a fun video!,joseph M,1 yıl önce,3
"Please iJustine, build the Bowser Airship! The internet requests it! ️",Daniel and Yuka,1 yıl önce,12
Awesome job Justine.,AwesomeAdam From 2099,1 yıl önce,2
Makes me feel like a kid …and Justine makes money off it,None,1 yıl önce,1
feel like Christmas time when you suddenly being shown a new exciting stuff in a packaging.,Egg Sample,11 ay önce,0
This video was great and pls keep making more videos with Ro,Raedan and Mika awesome!!!,1 yıl önce,1
I never had lego as a kid but these look cool as heck.,crimpy13,1 yıl önce,1
Aww Luigi is adorable ,LuiGI DrawR,6 ay önce,0
They should build that whole course & I want to see which one of them gets more coins. Like if you agree.,jbzhummerh2gamer,1 yıl önce,13
Can I just say that I love the music that you use??,januel ortiz,11 ay önce,0
"1991: Adults that plays LEGO is illegal.

2021: ",Stéphane Selikoz,1 yıl önce,67
Justine is how we all look when we get something about video games or toys being adults,Nathalie Salander Music,1 yıl önce,0
Great job Justine and Ro! We are always waiting for these collabs :) Like if you agree.,AM Sisters,1 yıl önce (düzenlendi),10
Oh great now Justine is making LEGO videos too...just take over all of the internets already girl...hahaha...great job!!!,Corey Hall,1 yıl önce,0
"I was Just rewatching some criminal minds episodes and I Just started screaming ""no, don't kill Justine""",My dachshund ate my homework,11 ay önce,0
Welcome to iJustine and ro virtual Lego mario depot!,Nintendo Music OSTs,1 yıl önce,1
I had a feeling you were gonna make a video on these as soon as I saw the commercial on TV lol,Yung sxma,1 yıl önce,1
I really like the Luigi starter course,Mario Studios,10 ay önce,0
