text,author,date,like
"The fact that dji actually threw in those nd filters is good, for good quality filters they can go into the hundreds depending on what drone you have, very thoughtful of dji, but then with the front of it and the unusual shape with that extra camera could mean a long wait till aftermarket variants are available. I can’t afford it at the moment, so I’ll have to make do with my mini 2 for a while longer, unless I win lotto lol. Great review as per usual, not just with overall impressions, but also your excitement towards a new product, it’s infectious, but not like a Covid-19 way lol.",David Reynolds,9 ay önce,11
"This is a strategic move by dji,  having the hardware ready by the holiday season for the max sales and worries about the software later ... I know :)",lexuslx450,9 ay önce,51
I love my dji mini 2. That drone is solid. I also have the fpv drone and it’s a lot of fun. This will be my next purchase. I think adding pro res was a huge improvement. Can wait to see how it looks.,Spawn and Batman,9 ay önce,39
"Great drone, thanks for sharing. If you let me as professional, give DJI a suggestion, we (professionals) are still waiting for a stand alone video RX. Simple device that would be a huge add on for those who do live TV. For DJI should be a super simple device to build, just video RX with lipo battery, robust signal and HDMI/SDI output. Thanks",AEROVISUALES,9 ay önce,2
"Wow... totally in love with this and your channel, love how you explain things! Awesome!!!!! Stay safe and blessed!",KoCa Kitchen,9 ay önce,7
"Looks so classy too, and a back pack to travel, the video is captivating, I just feel I am there in the clouds too.",Helen Grayce Ezarik,9 ay önce,3
"I'm soooo glad I waited to buy DJI. I've been practicing with my cheap $200 drone for just over a year, waiting for this monster. Thank you for your review, this looks awesome!",Ken Konet,9 ay önce,26
"Cool review, loved the unboxing. One issue is that the footage along the coast (fantastic scenery) looks quite jerky/stuttery ... was the shutter set to 1/48s to account for the 24fps to ensure smooth motion blur in the footage? Heard everything is on auto settings at the moment for this drone before a future firmware update?",Engaged Defensive,9 ay önce (düzenlendi),0
I can see a lot of films been made using drones from now on as i think it will give you a better way to film certain scenes,craig woodgate,6 ay önce,0
"Another brilliant review you do such and amazing job well done! What an excellent piece of kit this drone is its a good indication of what is to come. The manufacturer has thought through the care and management of looking after the drone when being transported to. Looks like a great brand to keep an eye on in future, its so feature rich.",Anthony Benson,9 ay önce,8
Justine is my favorite youtuber of all time. Her enthusiasm on new products is super contagious. And she only shows quality products on ther platform.,JK Lee,9 ay önce,32
"I’m happy with my current drone, but the bag from the mavic 3 I LOVE IT",Sam Hulse,9 ay önce,19
"Wow! Great review. It looks like such an awesome drone. I have my Mavic 3 Flymore combo, and the Smart Controller 2 on order. I should have it in my hands early next week. I can't wait.",MicoGhost TheOldCodger,9 ay önce,3
Awesome video!!! Question: will this DRONE come back to were you are if it is out of normal control range or do yo know of any drones that has that feature?,Viana,5 ay önce,0
"(I really hope you see this!)

I love how immersed you get in your unboxings and reviews! It speaks to your heartfelt enthusiasm and passion for technology!",Jordan Bergstrom,9 ay önce,8
I love  all the video shots in that coastal area it was really worthy.and the 4k video  was so awesome  ,Kalai rajan,9 ay önce,3
"7:20 I was out flying in Hermosa Beach a few days ago, getting shots like this. It was actually the first time I needed to get LAANC clearance to fly. That was an interesting experience.",Phil Nolan,9 ay önce (düzenlendi),1
"The Mavic 3 (Pro) has a ambitious feature, that I think it's called Foldable Wingspan, maybe!",Tyler Ford,8 ay önce,0
Nice to see you outside. Drone looks awesome! Expensive but awesome,CentralPacificExplorer,9 ay önce,3
"2:21 I love that. My Mavic Mini case is apparently bending the blades. So since the last update I get error messages every time I fly, even after replacing the blades.",Phil Nolan,9 ay önce,2
"Incredible, can't wait to buy it. ",VMD One,9 ay önce,1
"Justine, great videos and informative without overteching it!",d kemper,9 ay önce,1
