text,author,date,like
Only Justine can make us watch a full vacuuming video.,,9 ay önce,258
"Can we just take a moment to appreciate Justine and what she's been able to do. The tech reviewer space is so male dominated, a lot of great female content makers only get to do so as part of a larger content brand. Justine is a legit success story and breaking ground.",Chad Kuhns,9 ay önce,117
"Congratulations on the new studio, Justine! It looks amazing! Also, the vacuum is very impressive too!",Melissa L.,9 ay önce,3
"I'm so happy for you, Justine! You achieved so much from home , and this will make you go from out-of-this-world to out-of-this-galaxy! You've helped me so much, I'm extremely happy to see you happy and successful! 



Side-note: is this just a new studio you drive to each day, or are you moving to a new house you bought? Also, is this something that might be a split between you and Jenna?",Jordan Bergstrom,9 ay önce,4
I’m really loving the new studio vibes and excited for amazing content,Zexxo,9 ay önce,4
Omg I love this vacuum and mop combo! Saving $$ immediately to get one! Thanks for doing a review! I love watching your positive vibes during reviews!,Darcee Mladineo,9 ay önce,6
"We love you Justine, im so proud of you as a female your making all these videos on different tech, from Drones to Vaccums, thats the problem, we dont have much female vloggers on Tech when we should be and your a huge inspiration, i hope you inspire other women as well as guys, because you sure have inspired me alot, we love you loads x",AA Photography & Film,9 ay önce,2
Glad to see that your dog doesn’t absolutely hate the vacuum cleaner.,Neoxon,9 ay önce,52
Loved watching this! I’m very old school though and I use Kirby vacuums since tenue clean so well even though they about 4 tons.,Fractured Mind,9 ay önce,1
What do you think of the suction strength? I’m looking for something that can work on mostly carpeted floor and pick up those really tiny bits.,qban891,7 ay önce,0
"I seriously want this vacuum. 
You think Justine is just kidding with enjoying cleaning? Oh momma sounds like a Wednesday afternoon to me <3",LuLi Sonru,9 ay önce,1
Your new place looks so clean! Keep up the good work!,Sadistic,9 ay önce,1
I’d buy the stand with the auto empty etc but not the vacuum. I already have the a 9. And I’m pretty happy with it.,Piggy Town,6 ay önce,1
OMG!! I'm ready to go freaking nuts! Justine's in her new studio! ,Stephen George,9 ay önce,0
Love the lighting in your new studio,inversionproduction,9 ay önce,1
