text,author,date,like
Woah you got to test these cameras out! Looking forward to this tech in 2022 for sure.,,8 ay önce,90
Awesome video! The panoramic shots are absolutely amazing.,,8 ay önce,40
I see mobile phones becoming more and more camera ish and other innovations being procrastinated. Do phones advertise any new feature other than improved camera these days ,adisons,8 ay önce,75
"Wow, what awesome settings in that new (not yet out) snapdragon camera!  I’ve always loved panoramic pictures and always have to move my phone for that....which is kinda frustrating.....but it’ll be way easier when using the snapdragon camera,.....can’t wait for it to come out!",Skyechaser L,8 ay önce,8
This channel went from everything Apple to everything tech,ThreeTwentyTech,8 ay önce (düzenlendi),69
I have a feeling those kinda pictures would take up a ton of storage. ,Dave G,8 ay önce (düzenlendi),37
Great video jJustine as always impressed. Im so amazed of panoramic photos just like that even if I'm big iPhone user !,Krystian,8 ay önce,0
"The panoramic is wicked, I want the phone just for that.",Dhintheman,8 ay önce,18
it makes me sad more people aren't aware of qualcomm and its work. Glad your spreading the word!,j d,8 ay önce,7
"Amazing development!
Snapdragon is on to something!
All in one!",Torsee,8 ay önce,3
I watched your first ever video of you finally getting the very first iphone.  You've grown so much! Keep up the great content. ,Dark Comedian,8 ay önce,0
Can't wait until new camera features come to our smartphones :),Tickets to Toy Time,8 ay önce,0
The camera quality is ,joseph M,8 ay önce,4
Can't wait to see all of that next year and how other phone companies will use it.,Ivan Cro,8 ay önce,1
Hi Justine your YouTube videos are awesome to watch Keep up the great work your the best.,Ben Espinosa,8 ay önce,4
"Always great content, so enjoyable to watch it!!!!",hitmaninblood,8 ay önce,0
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,0
I'm genuinely shocked and excited. Look at those!,Rossi,8 ay önce,12
great video justine super excited for these new features,FishyFishumsIII,8 ay önce,17
mega night mode better be amazing. like how we are introduced to nightmode in pixel,Ezzy Me,8 ay önce,2
As Usual your videos are so damn Amazing,Meet Patel,8 ay önce,0
Lets apreciate and enjoy  the view so cinematic,drstrange,8 ay önce,1
There is no way media tek can match this for next one year although dimensity 9000 will be having the ability to use the 300mp sensors where as 8 gen1 has only 200,Hirdesh prajapati,8 ay önce,1
For someone who knows nothing about tech stuff this video is amazing to me it will have me save up for this phone for real,Adriah's Vids,8 ay önce,1
Hi guys really looking forward to those new features,Camron Kell,8 ay önce,1
OMG!!!  That camera is absolutely beautiful!!!  Where can I buy that????,Connie Sison,8 ay önce,1
"From Snapdragon 888 to Snapdragon 8, makes a lot of sense ",Mark Mark,8 ay önce,11
"What will be for what the Sony and Google phones will to be acquire of using the Snapdragon features?

It looks pretty Awesome!",Embargoman,8 ay önce,1
A great presentation made by avoiding the apple brand and mobile device features.,Aykut Bozalan,8 ay önce,0
"You got to play with some leading edge prototypes, I'm jealous but good for you ",Dante,8 ay önce,0
Great video. The Panoramic shots are next level,CKid TV,8 ay önce,0
Next Year Qualcomm announcing 8Gen 2  This Is Huge Successor Of Last Gen With 1000000% Faster  GPU 50% CPU 40% Faster  ,Monu Thakur,8 ay önce,1
I really hope that Samsung in Europe use the Qualcomm chips in their S22 series next year,Noel Dennan,8 ay önce,0
"Interesting developments, thanks for reporting.",narutodayo,8 ay önce,1
"/Awesome  Content,  thanks for breaking it down for ppl! But, for past 3 years I for some reason I starting doing my homework , on Qualcomm and  Apples A14 chip. Or, close I think. 
But, thank you  for the break down! You basically just got me to say ok I'm gonna upgrade yo that chip 8Gen. I was going to wait. Bcuz im 70 bucks away  from paying of my last 900 dollar phone. Anyway,, I'm forsure going to grab one of those! ",Zack Holguin,8 ay önce,0
"I wish I was in Hawaii, with so many tech community on it, the paradise would be even more interesting ",Flávio Fonseca,8 ay önce,0
Cool vlog Justine. Will you be switching to Android platform from Apple because of these new camera features!!,Kris Aunedi,8 ay önce,1
"Google had released final stable  'Android 12'  on 4th October 2021.
In 2022, many smartphones will come with 'Android 12' out of box.
 For new features, purchase a new smartphone with  'Android 12'  out of box.",Sunil Nathani,8 ay önce (düzenlendi),0
"At first always on mic and now always on camera, yeap it's a feature! ;-)",Method Man,8 ay önce,2
Your explanation is amazing!,Juneyoung Song,8 ay önce,1
Amazing ,Johannes Davidsen,8 ay önce,1
how did Qualcomm know I've been window shopping for an x-pan?? ,FumarMoniker,8 ay önce (düzenlendi),1
"Is that new CPU compatible with removable batteries? I think Apple dropped that capability right from the first iPhone chip and never implemented again... it must be really hard, or they have been working on a hydrogen powered iPhone (like Toyota for the past 30 years), or a fast charging long range wireless battery...",Miguel Silva,8 ay önce (düzenlendi),1
Remember when the s5 and note 4 could use both cameras at the same time. Why do they take away features that were amazing? Oh only to make them seen new again.,Honda Land,8 ay önce,6
This is the Future. OMG I can't even imagine the Future of content and everything  Instagram will brake with the amount of new photos being uploaded in 8k and then youtube will probably have to limit storage for certain account just so Verified users on YouTube can uploaded there 8k videos.,Simply Sergei,8 ay önce,1
"To the person reading this: Even though I don’t know you, I wish you the best of what life has to offer ",Darvin Charles,8 ay önce,37
You realize that having an always on camera  takes away some privacy,THETECHANDCARCHANNEL222,8 ay önce,2
"Yes, an always on camera will be great for privacy..

..yeah they are absolutely not going to be watching your every single move trough that camera.  
Camera's should always be able to be fully disabled.",Sander Evers,8 ay önce,0
8k recording but we have Qhd  display on ours Smartphones ,Maxym max,8 ay önce,1
"SAMSUNG SHOULD BUILD A 360° CAMERA (AS WELL A SCANNER OR REGULAR CAMERA) THAT EJECTS FROM A SAMSUNG NOTE AND STAYS IN POSITION OR IS REMOVABLE WITH THE S-PEN THAT TRAVELS THROUGH IT. 

THEY ALREADY HAVE CONCEPTS THAT ARE SIMILIAR,BUT,NOT WITH A 360° CAMERA ON TOP OF THE S-PEN AND POP-UP CAMERA.",kris ertmer,8 ay önce,0
This technology is mind blowing!,Sunfrog,8 ay önce,0
loved the video! ,David Paris,8 ay önce,0
 I LOVE YOU MAM YOU ARE A GREAT TECH REVIEWER,IJ REVIEW,8 ay önce,0
If they can do panoramic pictures. They could add a 180 vr camera in there eventually ,kev99gh,8 ay önce (düzenlendi),2
Amazing video Justine! So excited!,Almighty NZ,8 ay önce,0
How amazing is that! ,Sydney Helton,8 ay önce,1
The future of tech is awesome,Kadeem,8 ay önce (düzenlendi),1
,Ahmed Zizo,8 ay önce,0
i hope the s22 has the panorama feature,Naveen Gupta,8 ay önce,0
Have you thought about the ethical implications of going to Hawaii?? Would be interested in hearing your take in response to the indigenous requests for people not to come to the islands.,Kiam McQuaid,8 ay önce (düzenlendi),0
This is exciting!,Dimitris Christou,8 ay önce,1
Qualcomm?? Optical stabilization and optical zoom i belive many milestone to accihve and not to celebrate the events,S D,8 ay önce,0
The LG G6 could record using multiple lenses at the same time. So it's nothing new,Fernando Velásquez,8 ay önce,1
"Qualcomm introduces an always-on camera feature
iJustine: That's great for security and privacy!",BW123,8 ay önce,0
With all these hi res pics and videos make sure to stock up on Micron stock folks!,Godspeedmax,8 ay önce,0
Is it just me or is she just beautiful with wind blowing in the background? ,Swavvy Rico,8 ay önce,2
Wow ,KeVic,8 ay önce,1
Only thing people really want is fast shutter speed in their androids and not to feel like their phone is 50y old,Edi Alijagić,8 ay önce,1
