text,author,date,like
"I always appreciate a ""down to floor"" review.",RustySeatbelt,9 ay önce,45
"My eldest son, ( now 29), when he was in high school, went to a Halo party where they played Halo all night. At the end of a match, he fired his laser thingie at one enemy, it went through him and also got the other two that were in a jeep crossing the hill at the exact same time. Triple Kill. My son said that it’s one of his favorite video game memories of all time!",Melissa Wilcox,9 ay önce,102
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,2
I have been enjoying Halo so much! Really excited for the campaign. Big team battle is blast. The console looks so good! The trunk had me concerned for a sec not going to lie lmao,Specific Pickle,9 ay önce (düzenlendi),24
"Everyone commenting how good the Xbox looks. Me thinking, who's that body in the trunk?",Greg Wootton,9 ay önce,150
"Can feel iJustine’s struggle opening that box, but you can’t deny it’s all worth it! ",The Coldest Water,9 ay önce,26
Completing a suspicious Xbox transaction with a stranger in a parking lot is infinitely worse than those parking in rear signs (unless you are high on Xbox fan air).,Fuzzy Stripetail,9 ay önce,31
That looks better than I was expecting. I’ve been playing Halo on PC,Robert Mitchell,9 ay önce (düzenlendi),13
Great video Justine!!  I can tell that you really enjoy what you do!,Time 4 Tech,9 ay önce,4
Looks amazing!! Keep up the great work!,Joshua COWIN,9 ay önce,11
Love your videos keep up the good work!! ️️,Valter Berglin,9 ay önce,1
"Looks so beautiful. shame I couldnt order one in time, Kinda disappointing it doesnt include a physical copy",noxi,8 ay önce,1
"Glad you have it.  I don't think you stage anything, so if you did - haha - that was funny.  But normally, if someone is selling a piece of equipment like that, regardless of what it is, out of a trunk... well you know.  Which is why I don't need to mention it (yet I did) because you are a smart enough young lady to make your own decisions.  Still... can't wait to see your next videos on this.  Good luck Justine.",Kevin Wells,9 ay önce,5
I managed to pre-order both the halo console and halo elite controller. Both are super amazing!!,Baylee Barnes,9 ay önce,7
Well done ijustine....lucky and happy for ya,Andy Crawley,9 ay önce,0
Justine smelling the fan air is the most Justine thing I’ve ever seen,Kdubb815,9 ay önce,22
Looks amazing keep up the good work!,Superious Roblox,9 ay önce,0
That looks so good! Almost wish I didn't already have a Series X so I could buy one of those!,irod87,9 ay önce,5
"Awesome video Justine, I'll definitely watch more of your videos",NNNedlog,8 ay önce (düzenlendi),1
One of my fav special edition consoles EVER ,Austin Medz,9 ay önce,3
I’m really hoping for a special sound… I’m hoping to be able to buy one for the last 1 year plus…,EVPaddy,9 ay önce,3
"Wow that was a very shady character and who was that in the boot (trunk). I too missed out on pre order so reluctantly have paid an extra £120 to a scalper off ebay, now prices have levelled off a bit. Just had to have it, I too will be sniffing the fan air, looks amazing, been playing Halo on series S with no issues",Mark Maisy,8 ay önce,0
"That seller dude was shady af.  ""No nothing else to see here.  Don't film the body in my trunk""",Dirtboxhor,9 ay önce,51
Halo Infinite multiplayer is so much fun I can’t wait for the campaign ,Baevyn,9 ay önce,14
I love how the Director just jumps in and steals the show,Robert Rennie,9 ay önce,5
seeing you rip the stickers off the pristine box nearly brought tears to my eyes....,Ben,9 ay önce,5
As someone who has played halo since it launched but switched to PC. I'm so upset I didn't jump on this. Especially knowing it's a 20th anniversary. I've had all the other halo edition Xboxs. Like the halo 3 and 4 edition xbox 360 and the halo 5 edition xbox one. I'm pretty sure there was a halo edition regular xbox as well. The clear green one maybe ? Besides this one the halo 4 xbox 360 was cool looking but this one is the 20th anniversary.  Damn I'm old and jealous though that I didn't think about getting this. Big sad,Slay Low,9 ay önce (düzenlendi),11
"""He looked trustworthy!"", she said about the man with a person tied up in their car trunk. ",Nandan Talks Tech,9 ay önce,12
"The shield power up should've been the ""special sound""",Allistair McCray,9 ay önce,2
"Damn.... Even ijustine bought from a scalper.
Come on Microsoft. Please make more.",One Two,9 ay önce,1
I’m Loving the Halo Xbox!  I want one myself ,Finley Simonds,9 ay önce,0
I love the fact I can buy batteries for the Xbox one controllers,Bevon YouTube Tv,8 ay önce,3
Hi Justine I love watching your YouTube videos keep up the great work your the best.,Ben Espinosa,9 ay önce,0
This video is everything i love about iJustine ,Henning Kilset,9 ay önce,1
I think parking lots are safer than having a stranger come to your house.,James Barlett,9 ay önce,12
"Gosh, I‘m happy with my Series S but would love to own the Series X Halo Edition. Couldnt get my hands on one though",SlippinJimmy,8 ay önce,0
Eres la mejor del mundo gracias a ti puedo ver el desempaquetado de cosas que aunque nunca podré tener me encanta verlos por ti saludos desde Colombia 🇨🇴 te queremos un montón,Jose Pérez,9 ay önce,6
"Imagine if there was no iJustine
That would be so freaking emotional!",SAMURAI [さむらい],9 ay önce,7
"Oh my, it looks astonishing.",Semih KOYUNCU,9 ay önce,1
"Lmao, the trunk ",,9 ay önce,334
I so wish I could have gotten one of these. Or just any xbox…,1pt21gw,9 ay önce,0
EXCELENTE VIDEO SALUDOS DESDE COLOMBIA 🇨🇴,Jose Pérez,9 ay önce,2
Very emotional,,9 ay önce,153
I love how the whole fam decided to join the video!!,Time 4 Tech,9 ay önce,1
"Emotional Love, Justine ️",AdamsApples999,9 ay önce,4
"BROKEN! Haha
Also a couple people have taken the intro seriously. Also “he looks trustworthy” XD so good~

“Smells like, 20 years of halo” *SNIFF*",devALLjapan,9 ay önce,8
LMAO at Matti and Brynn hijacking the video ,venom5809,9 ay önce,5
"I haven’t watched a ijustine video in 4ever, the algorithm gave me halo and a classic tuber in one go. Safe to say, classic YouTube is back",ddizzler2,8 ay önce,3
"You are sooo Blessed to have that version oh my days, I'm not going to complain I got an Xbox series X finally from GameStop traded in series s anyway brilliant video from UK. All I do is get the Halo skin.",Lloyd Francis,3 ay önce (düzenlendi),1
I got the regular series x I wanted so bad to trade mine in for this but the got dame scalpers ruined that halo this year is amazing so far wish I had that special edition super fire great video,Thomas Demayo,9 ay önce,0
"I love Halo since it came out & i can’t believe its been 20 years, god i am old haha…I wished i could play it on PlayStation but that will never happen,",MJTESLALIFE,9 ay önce,1
This looks so cool,NNNedlog,8 ay önce,1
Truly a video you don't need sound for.,Pete Nice,8 ay önce,0
"Yeah I’ve had a ps5 since launch as I love Sony and Spider-Man but I really like Xbox too it was such a hard choice so I tried for both but could only preorder one , a year later I’m still trying bc halo looks awesome so I have been hunting for either a series s or x idc which one but it’s been a struggle",sup bro,8 ay önce,0
"Never buy Xbox series X/ PS5 from scarper, if you do make sure you open the box to check if it has the System before bringing the box home!!!",Bill'sArt,9 ay önce,1
Exactly how I bought my series X a year ago ,Mograin,9 ay önce,0
Still have my transparent green HALO OG XBOX!!  That new one is gorgeous!! Loving my Series X and the HALO Beta. Can’t wait for Dec 8!! Love your videos.,Tank922,8 ay önce,0
I have the console halo edition love it .  Enjoy ,Andrew Dieter,9 ay önce,0
broken!! broken!!! Bryn is hilarious ,CashAustin,9 ay önce,13
wow that Xbox! the parking lot deal worked out!,Cullen H,9 ay önce,0
"If it was a joke, its not funny. Just be careful. Regardless of it I admire you. keep doing great things Justine! ;)",Diego Colón,9 ay önce,1
"Fun story: i sold my xbox series x and my ps5 for ONE halo edition series x and im buying halo elite controller. Maybe the razer halo headset but idk ab it yet  . I love the series x and i never use ps5 at all. It was worth it to me. The console looks cool, it has cool sounds. Better controller grip. And just the vibe of halo. Me and my gf beat the entire mcc. I beat 5, and am currently on halo infinite. The game is just special and is better than cod and bf this time around. Halo and team xbox. THANK YOUUU",Loitersquad E,9 ay önce,3
LMAO this intro!! ,Emma Nova Brooks Stewart,8 ay önce,0
So cool!,Katbubbles,9 ay önce,0
I’m confused…what was the emotional part?,Jordan Bergstrom,9 ay önce,3
That sketch was awesome!,RickP2012,8 ay önce,1
“He looked trustworthy” said almost every brutally murdered person.,Mr. B,7 ay önce,0
"Me waiting for the ""emotional"" part like...",Igor,9 ay önce,4
love it,iShare by jBee,9 ay önce,1
ive sold dozens of consoles and gpus locally and i always meet at the police station to make everybody feel comfortable and never had a problem and dont expect too,No Name,9 ay önce,0
i love this,Ayon Mohammed,9 ay önce,1
My son loves halo. I wasn’t able to get one. It’s really beautiful.,LadyEMC2TV,9 ay önce,3
"Hope the stranger didn't sell u a ""broken"" controller lol",Jamal Shedid,9 ay önce,1
"Justine: gets an exclusive Xbox Series X
Also Justine: continues to smell the fan",Blitzar,9 ay önce,2
Oh hell yeah Justine loves those physical media with that new Xbox series X isn't that right Justine?,Skull Krusher,9 ay önce,1
Can’t wait to get my Xbox series x! Still waiting on my pre order  can’t wait to Haloooo!,Retro Dude,9 ay önce,1
I was fortunate enough to get it at retail value through Wal-Mart preorder.,C-quence,9 ay önce,2
Awesome job Justine,AwesomeAdam From 2099,9 ay önce,1
Congrats for your new car Justine!,Hitesh Pranav,9 ay önce,0
Damn that one good looking Xbox,Ryan lex,9 ay önce,0
Hey j it looks amazing ,Coffe_dragonteam☕️💔,9 ay önce,0
Omg its beautiful. I am actively crying right now because I cant even get a regular series x.,Kiernan Doty,9 ay önce,2
Imagine getting an xbox...,BigDaddyMacc,9 ay önce,0
I GOT ONEEEE!!!! Also copped the Halo Infinite Elite Series 2 Controller and the 20th anniversary controller as well which both looks sick!!!,Gadget Addy,9 ay önce,1
"Confession time... owned Xbox for many years, many models, but never played any Halo game... is it too late to start at the age of 53? ;-)",Putter,9 ay önce,0
So much love and support from France 🇫🇷️️️️,RETUTSANG TENZIN,9 ay önce,0
