text,author,date,like
"Only Justine buys a car with Apple Pay, she’s crazy and I love it!!!!!",Stoickov Sevilla,9 ay önce (düzenlendi),442
Welcome to the club! Great work! Proud of you.,,9 ay önce,366
Justine just casually adding Tesla's to her cart like a boss lol,Mental Hellth,9 ay önce,164
Imagine just having the money to just purchase a Tesla immediately. ,Marissa Myers,9 ay önce,81
"Justine! This video is awesome and so thrilled for you. Have always wondered why isn’t she driving the best, most techie car and this brought a smile to my face. Enjoy!",It's Kim Java,9 ay önce,824
Was a pleasure working with you that day and helping you set up your Plaid! Still in awe at how fast the process was lol congrats again!,Quentin Boucher,9 ay önce,86
"Justine has been on YouTube for so many years now and the dedication, consistency and quality of her videos that she provides makes her more than deserving of a vehicle like the Model S. Keep up the great work, Justine! ",ThreeTwentyTech,9 ay önce,275
"The impulsivity of buying the Tesla on first impressions is pretty cool.
Good purchase decision. Now we need a day's vacation with you and Marques just moving around with the Plaids.",Wycliffe Ndiba,9 ay önce,97
"Congrats! I picked mine up from that same delivery center, with the same guy helping out. Great experience, and well worth the drive!",,9 ay önce (düzenlendi),520
I love how she just goes for a drive and is like: “I kinda feel like getting a Tesla today…”,CrystalGaming,9 ay önce,32
"This is amazing. I've been waiting for years to see this moment. OMG, so glad you tried the plaid launch mode at the end. ",,9 ay önce (düzenlendi),719
"Congrats Justine, You are inspiration to those that put in the effort and work hard to achieve your goals ",John Truncali,7 ay önce,0
This is literally the reason Tesla doesn’t need any advertising. Have fun ,Andreas,9 ay önce,221
"I love the energy. My favorite quotes include “I’m going to black out” and “ I taste blood” lmao. Congrats, Justine!",Specific Pickle,9 ay önce (düzenlendi),56
"Welcome to the club! From someone who took delivery two months ago, I like this video bc all the emotions you show are so real. It's hard to explain u just have to buy one to understand. Once you drive a Tesla it's hard to drive a regular car again. I haven't drove my ATS since I bought my tesla home.",Steve Burdex,9 ay önce,2
"I'm very happy for you, Justine.  I've been enjoying your hard work for years and it's so satisfying to see it pay off for you once again.  You've always come off as a fun and genuine person, so nobody is more deserving, especially those from YouTube, than you.  Drive safe, don't blackout, and enjoy!  Congratulations!...:-)",Paul G,9 ay önce,10
So happy for you Justine! Enjoy the Plaid and welcome to the Tesla fam!! I hope you have been getting a very warm welcome!,HaydenCMH,9 ay önce,2
"How rich is iJustine? Spends 130k+ on a car, then says “I didn’t even know what I was getting” ",Ahmed Eid,9 ay önce,80
"Well done Ijustine, you deserve it ️",Hassan Tariq,9 ay önce,4
"As a model 3 owner, I'm jealous of the perforated and cooling seats!!!",Gary Vaughan,9 ay önce,21
I was actually surprise that you didn’t already have a Tesla. Love it!!,Kaine de Boer,9 ay önce,10
For the longest time I was wondering why she never did Tesla content being in the tech space I guess she avoided it until now and impulse bought a PLAID.,CD8k,9 ay önce,40
"Congrats Justine, you deserve it for the amazing work you've been doing all these years.",Pablo Toledo,9 ay önce,7
Congrats!  I think this makes it the biggest influence referral I’ve ever done. ,,9 ay önce,678
That spontaneity is epic! Pure joy to see you feel that all positive emotions :) Makes me happy. The whole buying proces - tech at it's best.,spontanp,9 ay önce,2
Congratulations Mami! You deserve it. I’m so proud of you ,HΞИИΞSSY,9 ay önce,0
"I loved the video. God Justine, you’re so authentic and hilarious!",Moudire Ifan,9 ay önce,2
"I wanted to ""like"" this video over and over again. The sheer joy and excitement was palpable! Congratulations, Justine! I hope you love it!",Ben Adamson,9 ay önce,7
Congratulations Justine. That's a great car and I hope you are able to enjoy it with the pedal all the way down. (:,ricky v,9 ay önce,2
Congrats Justine! Can't think of another youtuber I've followed for this long that deserves to make a purchase like this. Enjoy!,TheDiscardedFoot,9 ay önce,3
Let's go Justine! I'm so excited for you. I'm still working towards my first-ever Tesla and I KNOWWWW I'll be just as excited as you were. Congratulations!,Peterman Valley,9 ay önce,13
"Congrats Justine, the car makes you happy and saves the planet during the process.",Amo 427,9 ay önce,3
"You can not be more genuine and excited about this than iJustine ;) Very happy for you ! Welcome to the TESLA owners club, safe driving and enjoy your car ...",Oleg Zieaev,9 ay önce,0
