text,author,date,like
I’m very impressed. We just need providers to start giving us 8k content and then all will be peachy in our TV viewing experiences!,Jupiter Five,8 ay önce,37
Thought this was a mini led tv but it’s bigger than my actual tv wow,Dulapeep,8 ay önce (düzenlendi),208
"I was like iJustine since 2006 buying Apple products. Now for the first time I switched to Google Pixel 6 and really feel that magic I use to feel with Apple products. So happy I switched :) Instead of large TV's I find projects are best, they take up a little space and you just need a wall painted eggshell or a pull down screen so much nicer and easier to move around than TV's 60"" and over.",James O'Connor,8 ay önce,2
I hope you had a wonderful Christmas Justine! I can’t wait to see what amazing tech you’re going to review in 2022! ,Edward Hulse,8 ay önce,36
Always been a fan of LG TVs... this is an amazing product. But the price is insane.,G D,8 ay önce,5
This is AMAZING! We can always trust LG for the best TV experience. Love your videos.,POSGaming,8 ay önce,32
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,1
"That’s a great TV Justine! The difference between going from 4K to 8K is pretty much going from 8 Megapixels to 33MP., so you definitely notice it! Happy new year!!",Sophoclis K,8 ay önce,0
"First time seeing an ad with Justine followed by a video with Justine :)  If this girl isn't the queen of tech then who the hell is.  Wishing you, Jenna Maddy and all those near and dear the best year ever",scott a,8 ay önce,1
That’s the same reaction my husband had when he first saw his new tv. It truly is amazing!,Melissa Wilcox,8 ay önce,1
I really love watching your channel because you never release a boring video with your energy. Thank you for that keep it up!,ReaperTK,8 ay önce,11
"I've had the 75"" QNED's for several months and love mine, probably a bit more than my LG B1 OLED.",Jonathan Parker,7 ay önce,2
"Merry late Christmas Justine! Your videos always brighten my day 
I’m a tech geek as well",Perfect Cupcakes World 🫶🏻,8 ay önce,9
"Thanks Justine for getting me through the last 18 months or so with your content, I lost my dog a few months back and he was my best and only true friend. When you release a new video it's such a relief for me because if im having a tough day I know when I get in from work and put that video on even if it's only 5 minutes long it lets me escape from the world for those 5 minutes so thank you, you are very important to a lot of people because you are such a bundle of joy in this gloomy world and you make so many lives better justine, happy holidays and have a great 2022, love from a fan in Walea (you should come and visit one day) ",Welshboy441,8 ay önce,0
This was an awesome review Justin you made my day ,Shylaja Lakshmi,8 ay önce,0
