text,author,date,like
I can't believe this is actually a thing - YouTubers out here releasing t shirts as merch and you did a frickin LIGHTSABER ,,8 ay önce,452
It was such a fun time collaborating with you on your own lightsaber!!! I’m so excited for this it’s gonna be epic!!!!,Sifu Nate,8 ay önce,73
I swear you're the only youtuber who has consistently gotten cooler and cooler with time. This channel is like a youtube national treasure lol.,Stu,8 ay önce (düzenlendi),30
"This was both surprising but also not that surprising at the same time, lol, congratulations on the launch, Justine!",ranaessance,8 ay önce,75
Justine is one of the best advertisers I’ve ever seen. I literally want her lightsaber and start training in Hawaii now! It looks so cool and fun! I’ve never even watch Star Wars,Nancy Urchak,8 ay önce,11
"Okay but like these looks SO COOL! I love how simplistic the design is, I think I need the gold one in my life. But any of those would be cool af to have.",Emily Jane,8 ay önce,20
"Congrats, Justine! I can’t believe you made it this far! I’m so proud of you! (Watching since 2019!)",tuia,8 ay önce,3
Thank you Justine for always blessing us with awesome content.,Randy Ragsdale,8 ay önce,3
"The gold looks super good! Congrats , this might be the coolest colab I have seen. It looks like you teamed up with an awesome and quality company!",Specific Pickle,8 ay önce (düzenlendi),3
Love your content and congratulations!! Keep up the amazing work!!,The Delaying Skipper,8 ay önce,6
"As someone who joined the FX Saber Forum in 2010 and been part of Saberland/Sabernation, I get a big kick out of watching other people starting their journey into the hobby and is numerous facets.  Great vid!!",scrimpypie,8 ay önce,3
Awe so proud of you Justine!!!️️,Quin,8 ay önce,4
"That's really nice. Love your videos! I might at one point add it to my collection of so far 21 lightsabers, most of which I upgraded to a removeable blade. The collection consists of MR Force FX, Hasbro Force FX and others. My most valuable one (around 1.100$) is the original lightsaber of Mace Windu (high-end collector's edition from 89sabers). It has 6 fonts, diferent blade colors, etc.",Tony DiCostelli,6 ay önce,0
"OMG!!! No way! That’s so awesome! I can’t believe you’re launching your own lightsaber brand! (Edit: it’s actually a collab! Special thanks to Jessica Seven for pointing that out! Sorry I didn’t get that far because I got distracted by the short launch film which is amazing by the way!) As a massive Star Wars fan, I’m definitely going to consider buying one! You really are Jedi Master Ezarik indeed Justine!",Edward Hulse,8 ay önce (düzenlendi),18
Justine nerding out over a couple of lightsabers just gives me so much life! I love that energy!,Wolfstar Games,8 ay önce,1
"Great video  was fun to watch and see your excitement towards sabers I as an installer and long time fan of Star Wars get excited right along with all you new people just discovering the lightsaber world you are just hitting the tip of the iceberg when it comes to sabers while they make great sabers that are cost efficient they are still at the bottom of the barrel you need to step up the Golden Harvest 3,CFX or proffie and you'll be totally blown away by the effects and capabilities these boards can offer the user experience ",Jerrod McDaniel,2 hafta önce,0
"Yes my queen, you have already convinced me within a few seconds of watching and I will order this  looks amazing",ApexStreamerTroll69,8 ay önce,10
I remember when I was still in high school my friend had some amazing light sabers we fought with in his backyard for his birthday party. Now that I see these up close I am starting to wonder if he had some of the imperial sabers. I am gonna have to ask him.,Greg Love,8 ay önce,0
I love how long the hilts are. So great for stunt work AND combat.,ZAKtalks TECH,8 ay önce,2
Ever since watching The Mandalorian I dreamed of crafting a Beskar Light Rapier. For fencing. Having the Beskar for the handguard to prevent the opponent from slicing my hand off. Seeing your sabre is really cool!,A Little Bit Epic,8 ay önce,0
The 'quick' lightsaber video was so cool & cinematic ,ecopenny,8 ay önce,0
Yo!!  Justine awesome to see how excited you get when you hear the sound of the saber,G Oudts,8 ay önce,0
"I knew it would be something lightsaber related but didn't guess this specifically, well done.",Dante,8 ay önce,0
"Congratulations, iJustine!  Two Thumbs Up!  Cheers!",Joseph Dubois 1,8 ay önce,0
Holy freaakinnn’ wow!!!! Big congrats and I need one!!!!!!  Those look amazing!!! The path of the Jedi is obviously the only way  ,RELkay,8 ay önce,0
"Just watched the new iJ episode, these are awesome!",,8 ay önce,43
