text,author,date,like
"I hugely admire Justine for what she's accomplished and the technical quality of her videos but I've yet to watch one that wasn't indistinguishable from a product's marketing brochure. Same goes for most YouTube ""tech"" reviewers.  They're mostly YouTube ""tech sales people.""",Greg Deocampo,10 ay önce,6
This laptop looks so awesome,Edward Sanchez Productions,11 ay önce,39
"Great video Justine! I can't wait to find out what that ""big project"" that you and Jenna were working on in Hawaii (with all the night filming) was.

I always enjoy you're videos! Your personality makes them fun, entertaining, and relaxing! I really really hope I can meet you and Jenna one day and be your friend!",Jordan Bergstrom,11 ay önce (düzenlendi),1
Thank you for this video! It helped a lot!,Bay Weli,7 ay önce,0
"I need this laptop in my life, absolutely love it!",Francielle Ayanne Da Silva,10 ay önce,0
"With the flip share, I afraid the hinges might not last very long.",Simon To,11 ay önce,11
"I love how this channel is expanding to other companies besides Apple. Competition is what makes devices, like our iPhone, better and it's important to analyse and see what's out there, too! ",ThreeTwentyTech,11 ay önce (düzenlendi),24
can we all agree that she's still gonna use a Mac for everything lol,Seamless 10-Hours,10 ay önce,45
Oh my god ...I want one like this... ...good review as usual ...I love you iJustine,Fatima Hannah,11 ay önce,0
"HI Justine, i'm from  Brazil. I love your videos, they always have amazing products for us",William Martão,11 ay önce,2
"Love this review , even if i love watching your apple unboxing videos and reviews nice to see you do a gaming lap review.. obviously you cannot game on macs ",Wajira Dissanayaka,11 ay önce (düzenlendi),1
Great review Justine. You killed it!,Randy Ragsdale,11 ay önce,0
Just purchased the beauty Z16….excited for unboxing ,Md Zaman Meha,10 ay önce,0
Justine I still love those colors and what you did with color grading when you are sitting in front of the window. So beautiful,Darko Wolf 369,10 ay önce,0
Imagine people saying I got this laptop for email,Lokesh Yadav Maripally,11 ay önce,9
I love msi! My pink msi laptop is my absolute favorite that i own!!,Anna Naranjo,11 ay önce (düzenlendi),8
"I like it more than the Mac but personally I prefer the much lighter Asus X13 Flow, there are versions that pack a decent GPU and it's a 2 in 1.",Dante,11 ay önce,1
Awesome laptop ,JAG,11 ay önce,1
"Just ordered one from Costco, it's on sale. Thanks for the great review",Abigail Turner,8 ay önce,0
It's a nice system,1k before June?,11 ay önce,0
This is a nice laptop! Do you play cloud gaming or make use of the laptop hardware? I mean is it similar to Google Stadia gaming or more like Steam/PC gaming usually is?,Joseph Barney,11 ay önce,0
Justine you are making really various videos that are really unforgettable. Best ever!!!,kirby's Dream Buffet,11 ay önce,4
Amazing review,dealtechno96,11 ay önce,0
I've heard a lot of good things about MSI laptops.,Randy Ragsdale,11 ay önce,0
Amazing laptop,starbook5,11 ay önce,0
Your officially on my list ️,Calvin Dean,10 ay önce,0
would yall recommend this or the uhd xps 15?,Lauren Christians,6 ay önce,0
Amazing leptop perfect performance best,KISHAN MAIYAD,11 ay önce,1
incredible! loved the video ,David Paris,11 ay önce,2
This looks like the best ,Narayana Reddy,11 ay önce,2
"It's always the same in these videos. Be objective!
You don't get answers to critical questions anywhere.
I bought this notebook (MSI Creator Z16 A11UET-209 ) and it is fantastic. Also the monitor. But there would be the first point.
---It's only 8bit on win10/11. Why is there no information about this anywhere? That's important with a CREATOR laptop.",birdy,3 ay önce (düzenlendi),0
Love the flip screen!,Randy Ragsdale,11 ay önce,0
Love your videos !!!,Ishaan Saxena,11 ay önce,1
Justine! Awesome video. I’m a huge fan! I’m still waiting for your GoPro 10 review video!,Monique Barela,11 ay önce,0
"Great video, It looks like a really interesting laptop :)",Amazon reviewer,11 ay önce,0
"Wow great video and great laptop, Justine !",Benedictus Vito,11 ay önce,1
Good laptop,Henry Nguyen,11 ay önce,0
I wish I could afford one. I still get things done with my ole apache.,Eddie Fields,3 ay önce,0
I imagine if I have a laptop like that in future I think I can be a success video editor ️️️️ btw greetings from Phillipines,"Bañes ,JohnMark",11 ay önce,7
Cool laptop Justine congratulations ,Alvaro C.C. 5/7/2006,11 ay önce,4
"Justine will be one of the first techy techy YouTubers that will make a video of a kind of laptop that will have A.I in it and that you can lift/take the screen out/up and literally use it in real time, in the air, eye level, in the future.....(sorry, lol, I’m trying to make as much sense alas I can).",Skyechaser L,11 ay önce,1
The touch screen is great - when are you going to get yours Apple ,ecopenny,11 ay önce,1
"It looks like a really interesting laptop, but I prefer the MacBook Pro all the way!",Stéphane Selikoz,11 ay önce,0
Love you mam  you are great ,Ismail sharkar Shuvo,11 ay önce,1
That was amazing! ,Sydney Helton,11 ay önce,4
"This laptop will be our company provided device, I can't wait to rock MS ecosystem in this sleek device <3",Karlo,10 ay önce,1
MSI Creator...for a split second when seeing the title I thought it was software to create windows installer packages,Seth Simmons,11 ay önce,0
"Justine, you look great. Your skin is glowing!",Randy Ragsdale,11 ay önce,6
Cool laptop Justine gaming too oh that's really ,Skull Krusher,11 ay önce,0
"wooow, Jussy showcasing us a real laptop (not apple) on this channel. 
Highlight of this year ",meme GOD,11 ay önce (düzenlendi),2
"I need either one of these laptops like right   
now. I don’t even know specs or if these laptops can video edit but I do know my HP Pavilion 15…cannot video edit. Not on iJustine’s level anyway. Don’t get a Pavilion trying to tolerate using it as a content creator. I’m already in that nightmare so you don’t have to",RTS Beyond,10 ay önce,1
Wow... ️,Eat with me,10 ay önce,0
This is so cool Justine!,Deon Spates,11 ay önce,0
Beauty with brains️,Tarun,10 ay önce,2
"Creator Z16 only beats the M1 in terms of GPU performance but otherwise any other category it's usually beaten by the M1 base MacBook Air. Pricing between the base M1 MBA and Z16 is drastic, M1 MBA base is $1,309.28 CAD (Included taxes and with education pricing) and Z16 is $4,443.50 CAD (Included taxes on Amazon). For less than $4,443.50 CAD I can get one HomePod mini, iPhone 13 Pro Max 256GB, AirPods Pro, Apple Watch Series 6 and Base MBA M1 for $4,306.40 CAD (Included taxes)",BABE DSTT,11 ay önce,0
"MSI, this IS a cool laptop and congrats Justine. ",AbnerPlayzMC Gaming,11 ay önce,0
Very nice video,ADITYA MEHTA,11 ay önce,1
"We're no strangers to love
You know the rules and so do I
A full commitment's what I'm thinking of
You wouldn't get this from any other guy",Janek Verhulst,11 ay önce,4
nice lighting,Joseph Ochego,11 ay önce,1
Greetings from Greece 🇬🇷 we love iJustine🇬🇷🇬🇷🇬🇷🇬🇷🇬🇷,Orestis Glezellis,11 ay önce (düzenlendi),7
this is horribly overpriced for a 3060 120hz screen and 512gb ssd,Choob,11 ay önce,1
5:20 this is not a soundbar. it is a ventilation grill for heat dissipation.,Darveter Darveter,11 ay önce,0
"You said that the 16“ MacBook Pro does only have 2 speakers.. But I am pretty sure that is has 6 speakers beneath the 2 speaker grills?

Besides that I can’t wait for the new generation of MacBook Pros with the new ARM chips.",Carl Eisenberg,11 ay önce,0
Brilliant ,Dr Caricature,11 ay önce,1
it would have been cool to mention the fans are loud in silent mode.,Greg Deocampo,10 ay önce,0
Apple should follow other company adding more ports connectivity in their laptop line up. This is a great device to own and use very beautiful and powerful.,Johnny Tampocao,11 ay önce (düzenlendi),3
Nice video iJ!,Campwise05,11 ay önce,0
Beautiful ,Porkchop,11 ay önce,0
"6:50 dont worry Justine, my whole family travels with controllers to xD",Liman K.,11 ay önce,1
"""""""""Someone who had accidentally found this channel and now addicted to this channel ""'""""",Winty gaming,11 ay önce,2
"Your voice is my favorite sound
FROM SRILANKA",Maathulan,11 ay önce,5
This video style and quality seems different.. wondering what’s the change ,iDillyD,11 ay önce,1
Justine is so beautiful and glowing! She is very glowing! I love her smile!,Jullian Ball,11 ay önce,5
Can't we have something on a budget?,Tamim Ashraf,11 ay önce,1
Helping Others In Their Tough Times Of Need Is The Best Gift Of Humanity So Your One Click Can Change My Whole Life God Bless You,أميرة الرقص.dancing princess,11 ay önce,0
"I'm trying to save up to purchase this for my wife she really wants it for light gaming and her work, sadly just  doesn't have the funds. Hope I can get her one soon",The Greatest Noob of All Time,9 ay önce,0
"I just watched u r iphone 6s first video , u looks same in 2021 ",Dhaval Bhatt,11 ay önce,0
"Investing in Crypto currency should be in every wise individual list, in some months time you'll be ecstatic with the decision you made today.",Governor,11 ay önce,3
These videos always makes our days better,Help me reach 38k subs without any Videos,11 ay önce,2
,Green world,9 ay önce,0
Hello Justine beautiful review. ,DiegoWeb13,11 ay önce,0
"Nice video
Love from Bangladesh ️️🇧🇩️",Gopal Roy,10 ay önce,0
Lots of love from India  ️ ijustine,Adab Khan,11 ay önce,2
I'm From Pakistan love all your videos but unfortunately I don't have any laptop just like you even I don't have for study..,Fasih Art Academy,11 ay önce,0
,KAYAL PHOTOGRAPHER,11 ay önce,1
I love u that's why i don't miss ur videos,Nethni De Alwis,11 ay önce,2
Justine you are the best,Edward Sanchez Productions,11 ay önce,0
that kinda make me wonder why apple hasn't make any of the mac touch screen ,GO _,8 ay önce,0
Very beautiful laptop n you too both,Gaichui Kamei,10 ay önce,1
yeah having touch screen is always the best!!! >.<,Zheliya2002,10 ay önce,0
What about ram and memory?,Talented Tech Guy,11 ay önce,0
MSI makes good laptops,Official Filmilen,11 ay önce,1
I love the videos,Sai Htet Aung®️,11 ay önce,0
Use me as an extra “Like” button,yeahitsme,11 ay önce,1
,Motion Captures,11 ay önce,0
I was just watching your tik toks and then you posted a YouTube video your the best Justine x,itsdylanhawley,11 ay önce,6
Does it have UsB C charging ?,Norkris,11 ay önce,0
I doubt you use anything else rather than Apple in your everyday life. ️,Languages with me,11 ay önce (düzenlendi),0
Did this laptop just beat the Apple one? Gosh.,Sunfrog,11 ay önce,0
Great laptop though,iDillyD,11 ay önce,1
Will you switch from Mac to Windows ?,Jay Patel,11 ay önce,0
So how do u edit videos frequently whiles u are travelled  because I know you are a final cut person  ,Motion Captures,11 ay önce,1
Earlyyy love your vid’s Justine ️️,Prabhnoor Kaur,11 ay önce (düzenlendi),0
Justine should be the next CEO of apple.,Francisco Valles,10 ay önce,0
Please for the love of god verbalize the GPU and CPU!,ipetloudog,11 ay önce,0
"Hi dear, Could you please can you tell me apple Do they release iPads every year?",Chandana Thushara,10 ay önce,0
A laptop for 2550$!!! Is this a joke??,Abdulkrim Ess,11 ay önce,0
"This is not a laptop, neither it's a tablet, its Laplet !",Kamal Sunrise,10 ay önce,0
Where did you get that pink Xbox controller at?,Rachel & Carmel,11 ay önce,0
"at least she didn't call this video a ""review""",Chicken Soup,11 ay önce,1
"2026: Hi, it's Justine here. today we have hit the 20th anniversary of this channel. so this whole year during the 2026 FIFA world cup, 10 viewers will get to go to the games with me",Naveen Gupta,10 ay önce,1
Your awesome Justine. Shout out to you. Say hi to Matty for me.,R-Rod,11 ay önce (düzenlendi),0
,sanket Gautam,11 ay önce,0
Sick add read  ,Anakin Skywalker,11 ay önce,1
<3,Arbab Jamil,10 ay önce,1
 like it...,Vash care Tampid,11 ay önce,0
Why are the colours wierd?,Raihan Ameen,11 ay önce,0
"Did she shot this on the iPhone?
If she did, everyone overhyped the camera.",Saul Goodman,11 ay önce,0
a 7:35 ad for a laptop she is only going to use once and then go back to her macbook pro,Maurice Conger,11 ay önce,0
i like the loptop,Dai KH,11 ay önce,0
WE LOVE YOU !!! ,SARTHAK,11 ay önce,0
After end this Video & Justine Going With MacBook Pro M1 ,Vaja Rakesh!,11 ay önce,1
tbh B&H is underrated... so are laptops these days...,Box,11 ay önce,0
Remember when Justine was in vampire diaries,LegoByte,11 ay önce,1
Heyyy Justine!! ,Hayley,11 ay önce,0
Hola Miss Justine and everyone ️,🐲 My Kitten Is A Black Belt 🐉,11 ay önce,0
,Re- Fix,11 ay önce,1
I’m ready for a giveaway,• Jathin •,11 ay önce,1
I LOVE YOU QUEEN OF RAPP,Jonathan Cortez,11 ay önce,1
Why this video seems so dark ? It's like there is black tint on the video.,JSyaprudin,11 ay önce,0
"I'm the first to comment, I never miss your videos",1k before June?,11 ay önce,0
"======Your voice is my favorite sound

FROM SRILANKA===================",BHAtTi SAb vlog,11 ay önce,0
"Great video Justine. BTW, guys, I saw many cheater in this comment section and they be like ""Im Justine and you are the winner of our giveaway!"". Be careful guyss !!! You can report that type of comment, dont trust any comment except from official iJustine youtube account.",Benedictus Vito,10 ay önce,0
I lovvvvve u justien,Rami Ghanem Pro,11 ay önce,0
"A windows ""Macbook""",ASHISH KUMAWAT,11 ay önce,0
MSI has such a poor after sales service in India. I have a modern 14 and god the service center guys are rude and ill talking.,Rajat Gupta,11 ay önce (düzenlendi),0
Awosome,Website 4 You,11 ay önce,1
Oh another AdJustine video !,Pascal Prugna,10 ay önce,0
Why is the A roll so overexposed??,Akhil Achanta,10 ay önce,0
Good,LEE CHIN LEONG,11 ay önce,1
Love you,Heather Astbury,11 ay önce,0
"Hey Justine, I assume you hire a moderator to monitor the chat (I sure hope you do).  You have so many spammers taking over the chat and it is not good for your channel.  Clean it up please.",Simon To,11 ay önce,0
i think MSI laptop is really bad because they are promoting their laptop so much,Balakrishna AV,10 ay önce,1
Where is the iPad 9 review???,Luke Mitchell,11 ay önce,0
WOA WTF happened to this colors of this video? Who color graded it?,Jaime Lacayo C.,10 ay önce,1
Your attitudes make you more beautiful,Maathulan,11 ay önce,2
"@iJustine Wow this comment section is so sad... tons of spam and 12 year olds drooling over your hair and unable to discern a mediocre ad from a review. You sure know how to cultivate a proper audience for a ""tech"" channel. But whatever brings in the views and engagement, right? I admire the whole spiel of you in these ads where you proclaim that you tooootally use this stuff and keep a straight face. I know I couldn't. Oh and please use another LUT next time, this one looks garishly washed out.",Doc Neron,11 ay önce,1
I subscribe your channel ,Rion vlogs,11 ay önce,0
please do unboxing Nintendo switch oled model,star,10 ay önce,0
I am sorry but I can’t imagine her touching a non mac to even send an email.,Sajith Prasad Samarathunge,11 ay önce,0
OMGJAHD,lemeoriy,11 ay önce,0
I love your hair,ricardo reyes,11 ay önce,0
I love you,charlie love,11 ay önce,0
Trash company,mx1701,11 ay önce,1
If u have a spare laptop laying around and wanna help a sis out I need one for school I’m in marketing and merchandising like ️,DOM,11 ay önce,0
We all know this chick only uses Apple products,Mr Raccoon,11 ay önce,1
All ur videos have pink touch  comeon dudeee,TECHXO FIX,10 ay önce,0
What is wrong with the color?,william Horn,11 ay önce,0
Hi ijustine nice video you luck  beautiful I love you,pothuraju udayakiran,11 ay önce (düzenlendi),1
I’m from your fan and also I have art channel called Sherif’s art,Sherif’s Art,11 ay önce,0
I am sorry but flipshare is like so pointless... if you wanna show something to someone just rotate your device lol,Shia Majer,11 ay önce,0
where is my cheesburger?,Rahul Shankar,10 ay önce,0
What is that game?,Maria Madrigal,11 ay önce,0
I’m sorry but I have to downvote this video… it was more like a commercial. Did she even say anything negative about it? Please let me know if I’m wrong Justine and I’ll change my vote!,Robert Mitchell,11 ay önce (düzenlendi),0
Price,Mohammed Sameer,11 ay önce,0
Do you remember doing a collab with tommy wiseau ?,WASP,10 ay önce,0
Wait ....justine also games???whooaa,@Pascalwalter7 : TWITTER,11 ay önce,0
"Helloooo, hellooo……….I was the winner of a raffle they did on this channel, and they sent me a wrong number. I wrote again and never but never responded. I hope they respond, I even emailed them and they never responded. I hope after this message write. Greetings",Manuel José Serrano López,11 ay önce,0
Can upload the ipad 9 vid pl,Arati Nadkarni,10 ay önce,0
Ijustine will you marry me?,BABY JUNIOR,11 ay önce,1
I’m so early,AppleJuice&Pancakes,11 ay önce,0
a==a==Congratulations to everyone who comes in every single seconds====a==a,BHAtTi SAb vlog,11 ay önce,0
Mam please give any phone mam please,ANY ŠHØRTS,11 ay önce,0
2and the best,Sherif’s Art,11 ay önce,0
Im sri lanka,sm damayanthi,11 ay önce,1
MonkE,Janek Verhulst,11 ay önce,0
how can 2 people e first anyways have a good day Justine!,Ayvlee,11 ay önce,0
seriously ??  It’s getting obnoxious,KDrop,11 ay önce,0
MsiJustine,KLC Ken,6 ay önce,0
Hi Justine!,Wyatt,11 ay önce,0
Can u pls give me iphone 12 pro max blue color,Mya & Shwe sisters,10 ay önce,1
hmm...,Mariachee Bandidos,10 ay önce,0
I don't like,joseferreira_ms,11 ay önce,0
woo,MD. Imrul Kayes,11 ay önce,0
Yeay,Onur Şentürk,11 ay önce,0
Hi,LILYSCHARMXO,11 ay önce,0
hii,3d1th,11 ay önce,1
1 first,MALLU VLOGS,11 ay önce,0
Hi baby love you ,m master 2,11 ay önce,0
HIIIIIIIIII,Maylee Hurtado,11 ay önce,0
Okay,Spyridon Antifalos,10 ay önce,0
Frist comments,iPhone solutions Rajat,11 ay önce,0
First!,Katiewhelan,11 ay önce,0
1st,jAc,11 ay önce,1
E,Janek Verhulst,11 ay önce,0
7 min in,Apple Fan,11 ay önce,0
Use me as an extra “Like” button,yeahitsme,11 ay önce,0
cool,sunny simmons,10 ay önce,0
Hi,Lochlan Preston,11 ay önce,0
1st,Ranjithkumar Review,11 ay önce,0
Hi,OMAR,11 ay önce,0
2nd,Damian Robotics,11 ay önce,0
4th,Majestic Beast,11 ay önce,0
The use of color in this video is horrible.,theatremusician,11 ay önce,0
"coinbase scammer no one got worth of $10 dollar bitcoin 
vedio remove give reason ?
plz",MOHAMMAD Faizan,10 ay önce,0
Hi I Justine how ru ...,James uk,11 ay önce,0
“Congrats to everyone who is early and found this comment”,I’m subbing to everyone who subs to me,11 ay önce,13
