text,author,date,like
"I love how this channel goes from Apple products to dogs, my 2 most favourite things in the world! ",ThreeTwentyTech,11 ay önce (düzenlendi),145
Love the video. So nice seeing more of Matty. And nice meeting Bo. Matty is so well trained. Such a good boy in choosing his new accommodations. We need more videos with Matty.,Frantic Rage,11 ay önce,10
Everyone tell Matty he is a good boy!!!!!!,,11 ay önce,172
"Matty is simply adorable 
I love dogs more than people ",Pablo Iturbe,11 ay önce,13
always remember one thing when u go shopping for ur pet think what u would want if u were the petthat's what I would do,Charming Death,11 ay önce,3
Love dog shopping trips! Big haul. ,Creative Diamond Dogs,11 ay önce,0
I remember when Matty was a puppy chewing his paws ..now look at him on a Pet Smart  shopping spree!,MALO_ 213,11 ay önce (düzenlendi),5
so cute!! tell matty that i say hi and that he is the cutest! i love when you scooped him up as a burrito! ,Emily Sousa,11 ay önce (düzenlendi),3
I love Justine and how one minute its Tech reviews to animals!!!,Raine,11 ay önce,11
I love watching Matty content!,Miguel José,11 ay önce,1
Hi Maddie!! I love everything in this video. Macie is my 7 month old dog and I need to get her new toys also. Gonna go to petsmart later this week. ️ Love all your videos! ️,Taylor Black,11 ay önce,0
"If Matty had actually said ""Top Paw"" that would have been hands (or paws) down even more amazing than that two-sided crate.",Fuzzy Stripetail,11 ay önce,7
Love you mam  you are great ,Ismail sharkar Shuvo,11 ay önce,0
Awww!!  this is my favorite vid you’ve made in a while!! (And I’m a huge Apple fan lol),e higgin,11 ay önce,3
"I love those Wyse cams, although you might see the battery go down kinda quick in a high traffic area... I've had one in my back yard, it detects motion a couple times a day, and only had to charge it after a few weeks. And it only takes like 30 minutes to charge up!",DoctorX17,11 ay önce,1
What adorable dog!! ,Alvaro C.C. 5/7/2006,11 ay önce,3
Very nice vlog! ️,Sourav Das,11 ay önce,0
"He is so cute and innocent
He never breaks your tech, he only snifs and go away
He is so cute     ",Radhika Shantanu's Kitchen,11 ay önce,5
We went to Petsmart last weekend and bought our dog a new bed. She is such a fraidy cat she won't get on it. She stares at it like it's from Mars ,Bill Hosler,11 ay önce,8
I love your videos justine <3,iLlxyd,11 ay önce,2
The stuff you brought is really nice. He look like he enjoys the items that you brought.,Enjoy Life,11 ay önce (düzenlendi),1
Love this video- trying not to watch your Apple videos soz as I don’t want to be tempted to upgrade- going to wait until next year so will be watching them then!,Gillian Hill,11 ay önce,3
"Love you, Justine!",Claudia Barchilon,11 ay önce,0
"I love Petsmart! Matty said, ""Jus open?"" 5:35 Hahaha! You are the unboxer of the family. :D",Sunfrog,11 ay önce (düzenlendi),1
LOVE    your videos Justina!!,Temy Nator,11 ay önce,0
What we all are waiting for after this video is a shopping spree at the Apple store vidéo ,Ismail,11 ay önce,0
You should totally do a video on Wyze home monitoring they are an amazing company!,example,11 ay önce,2
He is so cute!!! I need that bed for my bull terrier,Vivian Fabiola V,11 ay önce,15
"Matty looks like my childhood dog, Biskit! Like could be brothers ",Georgi Hughes,11 ay önce,0
Wyze cameras are a steal! I love mine.,Scott W,11 ay önce,2
Matty is so cute ,Eddie Munson's wife,11 ay önce,1
nice to see Matty after a long time..... he's really a goobboy...,BassAnup xStringer,11 ay önce,1
So cute  ️,Aesthetic rose 🌷,11 ay önce,0
Marty is so freaking adorable,Snow Leopard,11 ay önce,0
New justine video? Like on the same day I drop one? I’m here for this. ,Peterman Valley,11 ay önce,0
Thank you for posting it really makes my day,elijah norton,11 ay önce,0
please make more videos like this! i love that damn dog so much,Muaynudeen Sangay,11 ay önce,2
"Hi Justine, hi matty.",William Patrie,11 ay önce,0
matty is so cute n is such a good boy ,Emily Loh,11 ay önce,0
awwwww wish i had a dog like matty hes boss,Djflossy,10 ay önce,0
So cute ,Dr. Neha Yadav,11 ay önce,0
IJUSTINE I LOVE YOUR VIDEOS :) Ive been a fan since your iphone 3gs unboxings and I just wanted to let you know that your content is absolutaley AMAZING,Maverick,11 ay önce,2
Merry Christmas Justine ,George Saviour,8 ay önce,0
I actually have that same crate for my cats!,Grayest fir,11 ay önce,0
I love petsmart. I need a new cat perch. My cats clawed it up and are wanting a new perch by clawing the furniture now.,EDMelevators,10 ay önce,0
I love these vlog type of videos,joseph M,11 ay önce,0
Wyze Cameras are my favorite! They are so affordable and they work well!,Sam Tech 468,2 ay önce,0
Mam I am from India your big fan your  nature is very good  ,lovish,9 ay önce,0
"You are the best Justine

When ever I wanna buy an apple product I watch u 
Amazing videos!",ControlFreak 14,11 ay önce,0
"""MATTIE""   Sweet and well behaved.",Inge Nunis,10 ay önce,0
Matty was thinking WTH is going on lol! I also thought at the end he had dyed his fur black until I realised it was Beau.,Andrew Ward,8 ay önce,0
Matty is so dog darn cute ️,Lydia Michaels,11 ay önce,0
I love your channel and your content is amazing,Jelly Mushroomm,11 ay önce,0
"i remember one of the first days u had matty, he tripped over something while running he is so grown nowww",msan,11 ay önce,0
which camera did you use for this video? that shot was amazing and i like that bokeh 0:04 ,Ricardo Stanley Alvarez Corea,11 ay önce,1
Getting a reply from @iJustine is a dream come true moment ️,Ackerlyyy,11 ay önce (düzenlendi),3
Matty you are such a good boy!!!,Z W,11 ay önce (düzenlendi),1
Omg!! Your dog has a better life then me ,UrPetMoleratIvy,11 ay önce,1
Maddie you looke like you had fun!,Kris Landaaro,11 ay önce,0
new vlogs from Justine,JL’5,11 ay önce (düzenlendi),1
"I had no idea, Justine could juggle lol. That was impressive.",Riley Benns,10 ay önce,1
Hoorah Matty!! You are a really good boy!,Sarah Young,11 ay önce,0
awesome video ,Sam The Clam,11 ay önce (düzenlendi),1
Matty is a good boy! I have questions. How old is he? And how many pounds?,Ethan Jefferson,11 ay önce,0
You have a amazing dog,starbook5,11 ay önce,0
"Matty you're a good boy! 

I didn't know about the door dash thing with pet's mart.",Adrian Cruz,11 ay önce,0
"Yes, a video that's not about an Apple product yippy, yippy yeah hahaha. Awe, I was looking forward to seeing a security camera video, to see how well it worked all in all, Matty looks really happy with the new digs",phynx2006,11 ay önce,0
What a cutie ,Chic from Da South,11 ay önce,0
"Shout out to you, Jenna & Matty. Awesome video. Hope you're ready to play some n64 games next month for your Nintendo switch.",R-Rod,11 ay önce (düzenlendi),1
Good Boy Matty!! ,Michael R,11 ay önce,0
FINALLY MATTEY CONTENT OMG I WAITED FOR YEARS ,Iconic Shorts,11 ay önce,2
