text,author,date,like
Exactly the opposite reaction to Marques . Love it! It's cool to see two different reactions to the same device.,AYAN SINHA,10 ay önce,139
"Love you ️ Justine, you make the best unboxings and reviews ️",Miguel Perez,10 ay önce,19
"This review is so bright compared to MKBHD’s video, I like to see positive aspects on different approaches with this kind of devices, most popular form factors are not perfect either",Mauricio Montoya,10 ay önce,25
"Wow, great review Justine!!  I love watching your videos because I can tell that you really enjoy what you are doing, and seeing you happy makes me happy!",Time 4 Tech,10 ay önce,8
Justine always is and will always be excited for a tech unboxing! And her knifes.. obviously.,Jonathan Cortez,10 ay önce,10
"Duo 1 made me a believer. My Duo 2 is on the way and I'm excited. Definitely a device not for everyone depending on their needs.

I love using it as a DS to play games on gamepass or Among Us lol.",Eli,10 ay önce (düzenlendi),16
This is a much more pleasant positive review of the device. Even informed us of new features. ️️️️️,Peter Howell,10 ay önce,4
"I wish iJustine would do an All-Knife episode. Devote the entire episode to the knives she has and her thoughts about them. Like, she might really like certain knives, but which ones are her favorite daily use knives? And for which functions?",Allen Schubert,10 ay önce,15
It looks like an advance Nintendo DS when in Landscape mode,ImAlexSaur,10 ay önce,61
"I was just talking to my wife about the Microsoft Duo 2 and... Nope! I am passing on testing this gadget this year. If they decided to release a Duo 3.0 in 2022, sure I may give that a go. Sticking with my OnePlus 9 Pro, Apple iPhone 12 Mini, and the Samsung Galaxy Z Flip3 - those three portable gadgets are enough for me. Nice review & promo Justine ",Peter Herget & Gadgets Anonymous,10 ay önce,1
I love your videos! So entertaining!,Ishveer Bhogal,10 ay önce,6
"Although the Surface duo is a great device, it still has some flaws that I hope Microsoft fix soon.",M i Α vℓσg gσ тσ му ¢haηηєℓ!,10 ay önce,4
"Best overview of the Duo today Justine! I can see you understand HOW the device is supposed to be used.

Most other videos are harping on the fact that when you span 1 app to both screens that there is a gap.... Duh!",iTuber012,10 ay önce,13
"When Apple does their dual-screen and/or flip versions of the iPhone someday, Justine will probably buy 5... 

One for each color.",Jordan Bergstrom,10 ay önce (düzenlendi),2
These videos is the thing we need,Help me reach 38k subs without any Videos,10 ay önce,2
Always love your video Justine ,Aditya Raj Tiwari,10 ay önce,2
I think microsoft is underrated. This device looks awesome ️,Henrŷ Perez,4 ay önce,1
"Good video, informative.  I'm surprised at the price tag though...",DaPoets,10 ay önce,0
