text,author,date,like
"Really considering this keyboard, looks neat! On a completely irrelevant side note: The amount of content creators I see who were glad the TouchBar has gone have their MacBook closed and plugged into a monitor ",Eric Cartman,9 ay önce,100
"The MX Keys Mini is a lovely keyboard. I'm very happy with mine. My only criticism is Logitech's decision to go for non-standard F-keys. Not having the normal shortcuts for screen brightness, launchpad, and mission control is a little annoying. You can remap the F-keys in Logitech Options, but standard Mac F-keys would've been better. Other than that, it's great to type on and looks lovely.",Ben Adamson,9 ay önce,31
Just watch the video showing the capabilities of the MacBook M1 MAX I really love it,,9 ay önce,37
"I just want to say that Justine and her team are amazing... I have been watching you for many years, always checking your reviews before making a purchase. It is truly an honor and a privilege to see how this channel has evolved over the years. You are an inspiration to myself and many others. Don't ever stop what you do and how you do it. Hope to meet with you one day in the future maybe. Blessings and Forever love to you... The queen of Gadgets. and the next CEO of Apple marketing.",Ryan Durgacharan,9 ay önce,2
"Great vid!  Thanks for the tour of your space and accessories, Justine.  I have the gray and white logitech keyboard and love it.  My only concern is that it doesn't have computer brightness settings, which is a strange choice to have left off the keyboard.  It's easy enough to go to the control center, but it would be quicker to have it on the keyboard.  Otherwise, I love it.",Dennis Perkins,9 ay önce,1
"Thank you so much for the video, Justine! I love how you're able to run your two massive displays and all those drives straight off of your Macbook ! Can't wait for more news about the studio! If you don't mind my asking, is it your new house or just an office you drive to?",Jordan Bergstrom,9 ay önce,8
"That reminds me of my MX Keys wireless keyboard, it has a numpad so it's bigger, the key stroke is excellent, but the main point is that it's compatible with both PC and Mac, with a single key press I can instantly switch from my PC to my Macbook, so convenient.",Ching-Chen Huang,9 ay önce,4
"As always a great video Justine! I noticed in your videos that you could take a great advantge of a motorized standing desk. I had back problems in the past and as I started changing positions, it improved 100%. Greetings from Slovakia ️ (if you know where that is )",Jakub Stafa,9 ay önce,1
"I got this keyboard in September, and it is so amazing! The fact that you can connect this to your iPad is absolutely amazing for when you are writing/editing on the go. I also really love the feel of the keys on my fingertips.",Ash,9 ay önce,0
I have the MX keys mini and MX anywhere 3 and LOVE them. It’s truly a perfect combo ,Lizz Dimaano,9 ay önce,3
Thank god you got that Mac Pro so you have a place to stack your drives on.,mogolfiero,9 ay önce,35
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,1
