text,author,date,like
Another good feature with the Live Text is that you don’t even need to take a picture of what you plan to get a text from but just point your camera and press the live text button on the lower left screen and you’ll be able to grab the text in an instant without actually taking a photo of it. Very useful feature indeed.,Steeephen,10 ay önce,241
"Whenever I need to see how an product looks, cost, works, I always lead my way back to your YouTube account. You've never failed me during all these years.",justice martinez,9 ay önce,12
"My biggest issue with Focus Modes is that I feel like for it to be truly useful, we need to first have Contact Groups! Having to enable contacts one-by-one for every single focus mode just isn't sustainable for me.",Red Nocturne,10 ay önce (düzenlendi),88
Focus Modes is my favorite thing to come out of iOS 15. i like how it challenges me to change up my day to day experience of using iOS like Widgets did with iOS 14.,nuglife247365,10 ay önce,12
My favourite feature of IOS 15 so far is live text in photos. Absolutely amazing!,NOLAN HAIDER,10 ay önce,7
LOVE LOVE YOU JUSTINEE  always able to make my day amazing! Love hearing you so excited about technology ,Jony M,10 ay önce,24
"Thank you god for iJustune. With every other video being saturated with “reasons why you shouldn’t buy the iPhone 13” or “Apple is giving us bs”, it is so refreshing to have a tech YouTuber who is just giving her opinions on the good things about the phone. I’m going from an iPhone SE 2020 and it’s my first iPhone I ever purchased and wanted to go to the 13 Pro Max. All the video I keep watching, looking for good reviews, always keep going back to why the phone sucks. Like I don’t have an iPhone 12 so for me that’s a big jump. I just feel like too many people are just talking about the bad stuff just to get views because the all be saying the same exact things. Again, thank you Justine. ",Antoine Deanda,10 ay önce (düzenlendi),7
"Justine, your videos helped me a lot in covid home quarantines  and even now as well. You always bring fresh energy to your videos and its not just a review of tech , its a fun  and  joy to watch your videos ",Ramesh Kumar,10 ay önce,1
"Love it! Just moved to an iPhone 13 pro from a S9+ and absolutely love it, still getting used to some things but it’s so much better!",Steven S,10 ay önce,16
Live Text is my favourite feature ever. It makes extracting information from pictures SO MUCH easier!,ThreeTwentyTech,10 ay önce,11
Oh I LOVE Focus Mode! So we aren’t really allowed to use our phones at work cept for certain Circumstances. Focus mode helps not only see when I get to work but also what notifications I would want to see (aka my husband and weather). Also I love how bedtime and the other types are all together but still have separate settings,DaniKat21,10 ay önce,4
"Great Content! Even, I’m upgrading from 32 Gig 2016 SE to 256 Gig 13 Pro. So, that’s going to be like going from 144p to 1080p!",Prakhar Tiwari,10 ay önce,54
Always get so excited watching your vids :) Keep up the good work!,Bjorn Bedee,10 ay önce,8
"Great videos as always plus, I got the iPhone 13 pro max yesterday. I am now one of your many subscribers! It is lovely to see you in your element. Instead of 'you should have your 5 a day' it should be 'you should watch your 5 ijustine videos a day', literally! YOU ROCK!!!",Typhoon Pilot,10 ay önce (düzenlendi),0
Awesome! Thank you for this. I have been hesitant updating my phone to IOS 15. I am all for that picture copy paste thing!!! Hell yaas,Amara,8 ay önce,1
