text,author,date,like
"I just got the pros, apparently the crackling issues have been fixed in the new batches, and let me say oh my goodness are they incredible. I wonder how these stack up against those considering there’s no noise cancellation
Update on the pros: these things are so kickass ",FooGaawz,10 ay önce (düzenlendi),355
I only recently upgraded to AirPods 3…I was nervous about it because the older AirPods would make my ears hurt quickly. I was actually considering over the ear headphones but in the end took a chance and boy am I glad I did! Even though these are larger in the ear they don’t hurt my ears at all! Totally pleased!,Phillip Paree,7 ay önce,54
I think I’m sticking with the pros. I got memory foam ear tips for them and they’re a perfect fit. I can’t give that up,Joe Quinn,10 ay önce,147
Now this looks like a Christmas present worth investing in,,10 ay önce,"1,7 B"
I love how she brings out the big battery to charge the case.,Tyler S,10 ay önce,136
"Thanks for the quick review iJustine. I am glad to hear that they are slightly larger than the previous generations. I have the EarPods 2, and they often pop out of my ears just walking down the street. Most often when crossing the street.  Last year I started using a tether for safety reasons.",Jeff's Misadventures,10 ay önce,35
"Thus far I have managed to avoid buying AirPods but these feel like almost too good of a deal to miss particularly with the spatial audio, I don't need ANC as I mainly use earbuds in my office on my own so may just need to grab a pair of these",ReviewClu,10 ay önce,77
"Thank You!  The fit is so much better with lay-in-your-ear vs silicon tip pro.  The other reviews are all anc, but the normal airpods are just more comfortable and easier to use.  Your review is awesome!",theAnswerIsFortyTwo,10 ay önce,36
I like how Justine’s just like “oh the case needs charging” pulls out a hole freakin battery pack,Johan Hozza,9 ay önce,54
"im really loving this new setup from the New Macbook and this video! Its so fun, clean and refreshing. The old set up was very aesthetic but sometimes it was too dark and made it hard for me to be mentally excited and hyped for a product. Im loving this multi studio set up",William,10 ay önce,9
"If I ever want to buy something from apple I always come to see Justine’s videos , been doing it for 5 years ️️",Mz,9 ay önce,15
Thank you for bringing out two videos that I was extremely excited about in one day!,Leland Levsen,10 ay önce,16
"Just picked up my Air Pods Pro from Colorware, the finish is immaculate, they look like they were made like this from new. You can also get the different colours in this new model.",Anthony Berryman,10 ay önce,18
Two videos in one day... I always love watching your videos Justine! ️,Fabrizio Carboni,10 ay önce,0
