text,author,date,like
Im so glad I started watching Justine this year - Sometimes you need a break from the heavily critical analyses and just need that friend to match your hype over new tech ,,10 ay önce,"2,8 B"
Really cool idea to bring in a guy who clearly wasn’t even aware these were announced but was still clearly qualified to have an opinion and get his unbiased and unfiltered reaction. Loved the different feel to this video!,Sam Roybal,10 ay önce,128
"I knew these new M1 MacBooks were powerful, but being able to apply Noise Reduction on Canon 8k RAW footage (which gives even the most powerful computers a hard time)  in DaVinci Resolve and then play back the noise reduced footage smoothly made my jaw drop. That is simply insane, if you work with DaVinci Resolve you'll understand.",Olu KZ,10 ay önce,194
"Out of all the MBP reviews, this was my favorite because it shows real world applications…not just here’s the unboxing, here’s the ports, here’s the performance.  Justine does a great job in all her reviews!",JY2234,10 ay önce,129
I watched 3 reviewers so far and none of them presented anywhere close to iJustine's video. She doesn't always get the credit she deserves amongst other reviewers. An amazing video and I appreciate the time Justine put into it to show the power of these new amazing MacBooks. Thank you!,Blending With Henry,10 ay önce,68
"I freaked when you said it feels like the old school MacBooks. When i saw the design i instantly knew they were inspired by the old white MacBooks in design and function. Those MacBooks were the best MacBooks in my opinion, for being plastic, they were solid and great machines with plenty of IO and enough power. I just miss the easy swap battery and ram compartments. Those were the days. I have my old MacBook right next to me and i use it as a charging station for my new Apple products.",PJ Broke,10 ay önce,47
So glad you were able to show a base model! Seems like everyone is so focused on the most beefed out machines. I was curious to see how the base model compares to regular M1.,Daniel Fiel,10 ay önce,177
"I'm so happyyy that Justine and Jenna stays who they are, still the same enthusiast and the passion regardless of how far they come ! They are just familyy for the Tech family already ! <3",JiaqiLoo,9 ay önce,17
"The 14"" is going to be an absolutely amazing portable workstation. Nearly as portable as an ultrabook, with amazing battery, but perfectly capable when you dock it and use it as a desktop. It's crazy that one computer can do all of those things.",Tom Pike,10 ay önce,25
"After years of having to choose between portability & power, I find it so fabulous that the 14” & 16” can get spec’d out the same. They definitely bring back all the feels of bygone MBPs, so great.",Jeremy Barber,10 ay önce,16
"Thank you for being one of the only reviewers that showed the base 14. Ordered and picking mine up today in store based off your video, more than enough power for my usage but still wallet and travel friendly.",KevChe,10 ay önce,19
"I love the fact that you literally approached this the way I would.  My 16” won’t arrive until November, but I shoot 8k on an R5 as well, and this will be game changing for me.",PLRPilot,10 ay önce,30
"It’s so refreshing to see two passionate people being completely excited, gushing over the new laptops",yongxuan,10 ay önce,195
I like Justine’s unbox reviews because she uses Final Cut Pro and that is a good barometer of performance testing. The cost of the MBP pays for the days of time you get back being more free and productive.,technole,10 ay önce,47
"Wow, great review! Yours is the only one I’ve seen so far that really did real life testing to show the true capacity. I don’t need the MBPs and I’m probably getting the 13”, but honestly the promotion and miniLED makes the 14” so tempting!",Luisa Elago,10 ay önce,0
Brilliant. Great to see the laptops in action. This really stands out in comparison to other videos that just list the specs.,Techytech,10 ay önce,4
I love Justine and her vids.  The part where she pans through the parts of the MacBooks is awesome!  She knows what we like!,Dennis Perkins,10 ay önce,10
"Out of all the review videos I've watched on these new macbooks, this is the video that finally helped me decide which one I'm getting! Thank you  Justine and Nathan!",Paul Pearce,10 ay önce,4
"This video is like a warm hug tbh, Justine back in her white background and being overly-excited about MacBooks.  Talk about an iconic throwback.",Nikos Varouchas,10 ay önce,312
So cool to see the actual application of processing these devices can handle. I will not need that functionality but definitely appreciate the technological advancement.,Dale S. Schneider,10 ay önce,2
"THIS is the video I've been waiting for. As a photographer who does heavy manipulations in PS, and also does image selections with clients in the field, I took a leap on a 16"" M1 Pro (scheduled to arrive tomorrow!) I wanted the bigger screen for editing on the fly, but hoped that since I'm doing image editing, but no video nor 3d graphics, the Max wasn't necessary for me. Of course, the moment I pressed ""purchase,"" I feared I had made the wrong choice. This video makes me feel more confident that I selected the right configuration for me: that even the Pro chip instead of the Max chip will be a dream.",Rachel Linkwald,10 ay önce,24
"Low-key, Justine is literally me when Apple comes out with a new product.",Emily,10 ay önce,22
"Thank you for review the base 14"", it really showed that for probably 50% of people is more than enough, I mean people in general, of course for actual pros, will upgrade to the Max and up to 64Gb, but for most people, even if they buy the M1 Max it; they won't be using all the overhead raw power of that chip, obviously anyone can buy whaterever they want. But I mean, objectively, the 14"" MBP base model is absolutely more than enough for over 50% of people in general. Also it was great to see Mr. Nathan reacting live to the power of M1 Pro!",enJesus_name,10 ay önce (düzenlendi),2
the excitement is real I was crying when you opened the boxes FINALLY THE GREATEST MACBOOKS OF ALL TIME love you Justine and keep making amazing content,Regdu Geht,10 ay önce,5
This MacBook is so impressive im mind blown how such a tiny machine can do so much within a small amount of time im very impressed Apple has grown so much during the past few years absolutely love it,Mr.pickle,10 ay önce (düzenlendi),30
