text,author,date,like
"Thanks for reviewing this! I’ve been looking for a good portable option.  I typically carry a selfie stick and separate tripod when I travel so this is definitely a better option.  Sorry about the break in to your car, such a bummer, but glad you guys were ok!",Grace Gil,11 ay önce,23
"Thanks for the awesome review! Im all for the improved portability! The OM5 had me at ""lighter and smaller"" design.",Ordinary Human,11 ay önce,2
That one looks great. I have another brand but this affordable gimbal tech has really helped people make smooth and stable videos all the way down to beginner levels of content creation.,ThatGuyJunJun,11 ay önce,5
I think it’s safe to say there’s never a dull September in Santa Monica with Justine doing these fun camera tests!,Andrew Salao,11 ay önce,12
"I remember when you reviewed the Osmo 4, and your review made me buy it almost immediately. Then I watched this review of yours the other day and yep, I fell for it again and upgraded my 4 to the 5 hahaha. One of the best gimbals for cell phones in the game. Thanks for this video.",Rich Technology Group,3 ay önce (düzenlendi),6
"Thank you! I hadn’t got a clue which one I was going to buy then found this one, looked up your review which totally sold it to me. It’s an amazing piece of gadget. Love it! ",The Evelyn Winters Adventure,6 ay önce,0
"I wonder if they fixed the panorama option as the photo is really low resolution. Also it would be interesting to see if they updated the app to take full advantage of the camera’s capabilities from the iPhone 12 or the Huawei P40 Pro, as current version is not able to use all capabilities of the cameras on those two phones.",Marius Camenita,11 ay önce,1
"I knew I was gonna regret buying the OM 4 shortly before fall 
The extension rod is gonna make low angles so much easier in underslung!!",Jonathan De Vink,11 ay önce,9
Hey Justine! Great Vid! I love DJI products and will probably be getting this bad boy to vlog and such. Did you get to test out how long does the battery life last? Many thanks in advance!,Madskizophrenik,11 ay önce,0
I just wanted to stop by and say thank you for everything you've done for this platform. You've helped pave the way for women creators. Keep up the hard work queen ️,TyFighter,11 ay önce,4
So jealous you got to try the OM5 already! There's so many things I could do with that!,Jason Meade,11 ay önce,99
"Really Amazing  video, with tons of fun and energy. Loved it. Lots of love from India 🇮🇳",Mayank Nimbalkar,11 ay önce,1
I've been searching for a tutorial of some of the features and this is THE BEST. Thank you!,HillSellsDMV,10 ay önce,5
"Hey Justine, love the content. I've got a question, I've got the OM4 and I did not like (actually hate) the fact that the videos and photo taken with the DJI build in APP did not save the geographic information. On my iMac the photos and videos didn't have the location. SUCKS. The OM5 is the same?? Thanks",Alexandre Leonardo,11 ay önce (düzenlendi),1
