text,author,date,like
The OLED screen is so incredible compared to the original. My flatmate bought one and I can’t look at it without sheer eNvY,The lil comment ghost,9 ay önce,584
"Watching an adult get so excited about video games is my favorite thing ever. Literally can’t stop smiling, thank you for that ! ️",Alex,7 ay önce,58
The screen is noticeably better so it definitely improves the on the go experience.,Dante,9 ay önce,118
"Haven’t watched this channel in a while, and it’s honestly refreshing to see this level of excitement on YouTube. 
Makes me feel giddy (Which I haven’t felt in over 10 years)",Diego Villarroel,7 ay önce (düzenlendi),59
Managed to create a better demo/review than even Nintendo could hope to do with the commercials. Incredible!,Kyle Presley,9 ay önce,48
I was curious as to when you'd be able to do this unboxing. We all knew you were getting one but never knew when you'd reveal it. Well worth the wait! ,CaseyNoK,9 ay önce,401
The oled model definitely looks cool. I'd love to try it out one day.,Hawk Feather,7 ay önce,33
I actually love every single video that you do…I love seeing the joy and legit happiness that you show,Mr Meats,9 ay önce,19
"00:04:39 LoL is so rare a hands on video where we can see someone that actually knows how to play the game, in that case doing the Power Slide!!! Well done Justine <3",Rafael Alves Sequini Martines,9 ay önce,80
"Watching this again because my friends got me hooked on video games. And after watching animal crossing and Pokémon streams I kinda have been researching which switch would be better for my technology availability. 
Now I think I definitely should save up for this one. I like bigger screen option and newer version. Can’t wait to see it available on local stores as I just discovered I could possibly even get it on my mobile carrier contract for less than my iPhone 12. ",RainbowRibbonVisions,8 ay önce,7
The OLED screen is truly amazing and the games look way more detailed,F C,8 ay önce,18
"I pretty much play 100% handheld for now. Especially with a grip, it's pretty much the perfect size and weight. My only gripe now is I wish the buttons and sticks were better and it had slightly better performance (and 's). And if they do essentially do this with a revision down the line, just a teensy bit more screen wouldn't hurt.",Alexander L,9 ay önce,47
"Hi Justine! You always bring a smile to my face :)
Thank you for everything you do!",Viv,9 ay önce,12
"Love my Switch OLED! The screen improvement (size & colour) is REAL! Mine also took a bit of a journey too, from Australia to Tokyo, Japan so I could play it during our two-week quarantine in our AirBNB! 
Metroid Dread is AMAZING! Animal Crossing transfer and the process of redownloading all my games was a bit of a mission though… but it all worked out well in the end! Wish the N64 controllers were easier to get… great video iJustine!",Daniel and Yuka,9 ay önce (düzenlendi),15
"Who wouldn't watch Raymond working, in OLED. He is iconic.",iSkaarf,9 ay önce (düzenlendi),85
I’ve only recently tried a switch for the first time and I really liked it. The A Roll in the new studio looks great,Conor O 'Regan,9 ay önce,34
"That Zelda/airplane story.... I can totally see that in my head!  It's like, ""Yeah, I'm an adult! Don't judge me!"" We all have our own ways of being joyous!",Wolfstar Games,9 ay önce,56
"I got an OLED switch recently just to play Metroid dread, and I do not regret it at all. It looks amazing",YaboyReege,9 ay önce,66
That moment when there was a release of a new console and you just wait for iJustine to unbox it. That's the way to go :),Pjeter,9 ay önce,20
"I have been using the previous version......seriously, it was fun. The controls are very good and even it feels very comfortable.....nice",Soumyajit Deb,9 ay önce,6
I think I'll wait to see what happens after this OLED model. I like the Lite model. I just wish you could connect it to a TV.,appletsauce,8 ay önce,1
I just purchased the OLED switch today and I’m glad I did. Personally i think that this should have been the first switch when i have put the first one side by side you can see the changes and its great,craig woodgate,7 ay önce,2
Justines videos are such a treat to watch throughout the day,Caesar Delgado,9 ay önce,5
great review. no volume and i still feel how great it is.,pr0ject25o1,8 ay önce,3
"Justine: “Look at this new little kickstand!”
Nintendo Switch OLED: Am I a joke to you?",Hypernova,9 ay önce (düzenlendi),79
I preordered the OLED and it was SO worth it !! Hope that you use it well!!,tiLLy,9 ay önce,2
I bet my kids would love this for Christmas! Thanks Justine!,Tutorials Mag,9 ay önce (düzenlendi),4
Loved your childlike joy when you launched Mario Kart 64 with the N64 controller. Games really do bring us back!,Stephen Helwig Talks Tech,9 ay önce,4
The color combination looks nice. ,GameStudio,9 ay önce,16
Goddamn I really am gonna need to buy this! I have played so much with the nintendo 64 when I was younger ,Michiel Boerjan,9 ay önce,2
Your excitement and joy for technology is infectious and makes me excited too. :D,Kevin Hampton,9 ay önce,11
"Justine's so keen! lol, it's infectious! Thanks for yet another fun video.",James Snell,7 ay önce,1
"Hi, just come across your account, great video… Love how excited you got when opening the old skool controllers, they still look amazing! Quick question, and excuse me if I come across dumb, how do you play the old games, do you have to subscribe to the Nintendo online account? I look forward to hearing from you. Thanks ",Enzo Bruno,7 ay önce,0
"You just made my day watching this I got so excited when I seen the controllers then my childhood came flooding back when u played Mario kart  can't wait to get mine, love your channel and love u",paul stingel,7 ay önce,0
I just wanna say thank you for making my childhood way better ur videos were everything and still are QUEEN,Francisco_zx,9 ay önce,1
"Makes me kind of wish I had waited for the OLED model to get a Switch, but I didn't. Got one before the OLED came out. Eh, c'est la vie!",Wolfstar Games,9 ay önce,3
Love your content ️,Michał,9 ay önce,3
does this version of the Switch come in tamper-proof/factory sealed boxes(so you know if it has been opened/used)? does the Pro Controller come in sealed packaging?,Lewis Gustav,8 ay önce,0
and the fact that you can hook it up to your tv. its totally worth the buy!!,R T,8 ay önce,2
Finally bought the OLED model.  It's a....game changer? . Got it just in time for MAR10 day. .,Skullcrusher_1,5 ay önce,2
Wow the new OLED Nintendo switch looks so cool!,Ana Membreno,9 ay önce,1
I bought the Oled and as soon as I started playing it I realized how GIANT the bezels were on the original.,CrystalGaming,3 ay önce,0
"i love your energy, super inspiring to see women in tech!!",Tim Buckeridge,9 ay önce,8
Looking forward to getting a OLED soon. Great vid btw.,Hanif Mustapha,9 ay önce,2
"WOW I was expecting a typical Switch unboxing, then I fell in love",T Greg,4 ay önce,0
I play handheld 95% of the time and I love the OLED display so much better,Lance,9 ay önce,2
i kinda want to trade my old switch for the oled but beside the screens idk if there’s any improvements,DMND GINA 💎,8 ay önce,1
That’s so nice that you finally got the Nintendo Switch OLED model!,Bad Puppy,9 ay önce,1
"For those who play handheld more than docked with tv....
  The OLED version is VERY beautiful!!
Sold my old Switch, so it was a hundred dollar upgrade. Worth every penny!!
    The bigger screen, and white joycons, just give everything a better look. It's really inviting to play. Love, love, love it!",strawberry,8 ay önce,4
Nintendo and Ijustine goes so well together.,hotdognobun,5 ay önce,0
Omg  just got mine today and I was really impressed. Thanks Justine for this. I had to save for three months and it’s worth it.,John Raymond Alberto,5 ay önce,0
Always brightens my day to watch your excitement.,Niinja Slayer,9 ay önce,1
N64 was also next level with its saving and rumble packs etc not to mention you had so much more control of games like starfox,DD,9 ay önce,1
Wow this is the first time i unboxed a product for myself before iJustin made a video ,WORLD PRODUCTION,9 ay önce,0
Bought my boyfriend this for Christmas I can’t wait to see his reaction,Hazellax,8 ay önce,4
"Brings me back seeing the N64 controller. Used to play Mario kart, banjo kazooie and perfect dark",Zach Budnick,9 ay önce,0
So jealous!  I want one of these.  What a journey to get it into your hands!,robmille,9 ay önce,0
