text,author,date,like
"I own the Oura ring gen 2 and love it. To those who are thinking about purchasing the gen 3 ring here is something to think about. The only down side is that Oura's gen 3 ring is that it has a new subscription plan. If you add the price of the ring and the subscription for about 3 years, you are better off getting the recent Apple watch and still save money. Those are just my thoughts.",Joshua Baker,9 ay önce,308
"The ring itself seems pretty great but there is no way I'm gonna spend this much money on a product that then forces me to also get a (very expensive) membership so I can actually get all the stats and data. That's as if one would have to pay for the health apps (blood oxygen monitor, EKG etc) on the Apple Watch on top of buying the watch. No way.",Trish204,9 ay önce (düzenlendi),87
"I'm sold. And I mean that literally! As a recent cancer survivor who's more concerned with his health than ever, this looks downright amazing. It is a commitment with that subscription plan (bummer, but I understand it from a business perspective and still decided to take the plunge because of how useful I think this would be to me) so how ironic it's a ring lol.",DanRyb,9 ay önce,48
"I love all of your videos, but this one was really something special.  I love my Oura ring and I just upgraded to the Gen 3 and gifted my Gen 2 to my pilates instructor who loves it.  I am so glad that you did this to show everyone how much great information your ring can provide.  I am a jewelry designer and I wear it next to my other special rings.  I would love to help them design one that maybe has a few diamonds on it for those who need a little extra bling.  The original Oura ring did have one that had diamonds in the $900 ish range and that went away since.  Maybe you can put me in touch with the owner and I could talk to him about designing one with a few stones for added glam.  Thanks for all you do.  I have been following you since the early Apple days and like you I used to go to Apple store openings for the fun and excitement of it all.  Tech rules and so do you!",Karen Bleifer,7 ay önce,1
"I really think the ring approach makes more sense than a watch. The watch is really a fitness monitor or that is what it is really good at, something the phone (which you carry everywhere) can't do.

If Apple or Samsung released a ring focused on sleep, health and tracking, that would've been perfect",Rudra,8 ay önce,13
"Thank you for the very informative video, Justine! I've had sleep issues since early 2013, before I gained all the weight I've gained (which probably hasn't helped). Depression makes me feel even more tired, so that just confuses things. I used to use a Resmed S+ and track my sleep, but I can't remember why I stopped. ",Jordan Bergstrom,9 ay önce,0
This looks like such amazing tech. But the fact that they charge $6/month AFTER you bought their $300 proprietary tech is literally insane. I'm having trouble finding the words just how consumer unfriendly this kinda scam is.,Hellios,9 ay önce,78
Great video! We have had a Sleeptracker device for years and have learned so much about our sleep. I personally don’t like wearing rings but I agree learning about the data is life changing. Establishing a regular sleep schedule is so great and I love when I am able to wake up before the alarm.,AppMyHome,6 ay önce,0
I have been wearing an Oura ring for about a year and a half. I have Lupus and other Autoimmune conditions. It helps me more than anything else to track all of my data. It is very accurate.,Tammy Paslay,9 ay önce,82
"Thanks for this video because all my running life I was probably overworking until my varsity xc coach told us some stuff about getting better sleep. Since then I have been looking at this ring for sleep tracking, (and have tried to get better sleep in my own) and now I have been feeling better with upping my weekly mileage and got a pr 16:38 5k at states!",Josh Speed,9 ay önce,2
I always use my fitbit for sleep and they have an SpO2 sensor which it looks like Oura doesn't have or isn't working until 2022.  I was thinking about getting an Oura to retire my fitbit and move to a Apple watch instead.  Glad to see the sleep feature has good information and on par with the FitBit that I currently use.,MobileChaos,9 ay önce,7
"Justine, the effort and quality of the footage in this is amazing.",B H,9 ay önce,58
I was looking to write my final paper for my masters on this ring and seeing you upload a video made me choose to write about it! Thanks Justine!!! Love your videos!,Dan Tarchala,9 ay önce,37
This is honestly incredible. Thanks for making a video about this and letting us know .,Just a fellow human being,9 ay önce,17
We love you Justine!!! Happy holidays ,Edward Goin,9 ay önce,8
"The tech is just getting better and better and more amazzzing. Health tech is the future. Thank you for this Justine! 

""We only get one life, so we need to make the best of it"" . Amen",kimlovesfun,9 ay önce,8
Thank you for telling all of us to get this amazing ring,Cherry Blossom,9 ay önce,0
"Great review, thanks! I have a Fitbit which seems to have similar sleep tracking with additional health features. Is there a reason to try Oura if I already have a Fitbit?",Alex Salias,9 ay önce,9
This was gorgeously shot. You’re killing it.,Jeff Miller,9 ay önce,2
"I want to get it so badly, but having to pay a subscription just to have access to my own data is just so wrong...
Surely there is a way for them to keep the subscription and actually adding value, instead of selling you a ring that is useless without a membership",Mentifresh,9 ay önce,11
"This was an incredible video from the content to the editing.  
The oura ring is something I have been very interested in but a little hesitant to get. I’m glad you made this in-depth video on it!",Sarah Young,9 ay önce,8
"Hi, Justine! I've been watching your videos since 2008! I love your content!",Miguel José,9 ay önce,1
"Justine, I must say this is the BEST video I have ever seen you do. While I use the Apple Watch I have never configured the sleep portion of the watch. I know this is strange because of the sleep problems I have. After watching this I am going to configure it. I sure wish the new Apple Watch did the temp monitoring. Have a great day, James",James Doerr,9 ay önce,4
"I'm an engineer at Oura. Thanks for doing justice to our product with this video, Justine ️",Marcus Ziadé,9 ay önce,7
"WOW! You received the OURA Ring generation 3 four months before anyone else? Okay, that is pretty cool Justine. What is your favorite feature and do you find the step count of the OURA 3.0 more accurate than the 2.0 ring...?",Peter Herget & Gadgets Anonymous,9 ay önce,0
Great video Justine!! I’ve been waiting for this for a while! You inspired me to start my own tech channel!!!,Time 4 Tech,9 ay önce,10
"I started looking into these when you mentioned them before - but the website said the G3 was coming, so I waited. 

Now if I want the G3; I have to pay for the ring, pay approximately £47 to get it into the country then pay £6 per month to access my own information! ",Puddytatpurr,9 ay önce,3
"Like #7.4 here. Great video, and very helpful info regarding the Oura. As you just said, good sleep and recovery are the best to keep one’s health in the loop. I am ordering my Oura, can’t wait to have all that tech in a very elegant trendy device. Stay awesome!",Rubens Barrios,7 ay önce,0
Thanks for the overview. I have been thinking about buying one for a long time. I ordered it and can’t wait to start using it. I sleep with my Apple watch on it doesn’t bother me but I think Apple is way behind in sleep tracking.,Felicia Williams,8 ay önce,0
OMG congrats  to better health!!,Alex Berry,9 ay önce,4
"This has been very eye opening, I took a look at how I sleep and never realized how many things I was doing wrong that need to change so thanks again.",山乇丂ᑎIᑕᕼOᒪ,9 ay önce,0
Wow. It's amazing how nano tech has developed. I guess I know what wedding ring  I will be getting ,aaron mbuzi,9 ay önce,0
Justine is always even more of a badass than I thought previously,googleboughtmee,9 ay önce,0
I've had an oura ring for a few years now and absolutely love mine. My gen 3 ring is on its way :),Slightly Decaffeinated,9 ay önce,1
Thanks for such an informative video.  I’ve gone from thinking about getting an Oura ring to clicking on the link and purchasing the ring!!,Bags_and_bytes,9 ay önce,2
"Have had older Oura ring for some time now.  Love it, and if not now on fixed income would purchase Gen 3 in a heartbeat.  Thing is  more than likely will not replace until the one I have now fails.

Use ring along with my Apple Watch 6 like you are doing.",Brent Smithline,9 ay önce,2
Thank you for sharing this product. I just placed an order for my wife and another one for me. Thanks again Justine.,Dario Puche,9 ay önce,1
That sounds fantastic  Might have to look into this Oura Ring!,Eliza,9 ay önce,20
I need the same enthusiasm Justine shows in her every other video ️,Toulik Maitra,9 ay önce,4
I love your videos Justine! ️️,Fabrizio Carboni,9 ay önce,0
That’s a cool device! I’d love to have one to review it!,Tech me around!,9 ay önce,1
Mine has shipped!! I got gold cuz my Watch 7 is gold. I have loved Gen 2 and looking forward to Gen 3. You are so inspiring.,EvaLee,9 ay önce,3
"Interesting idea to look into, though I'm wondering as to who has access to your health data? ",Toran Shaw,9 ay önce,1
Always!! Great reviews and content!!!️,Tameka Turner,9 ay önce,1
This seems like such a dishonest review as you're advertising an affiliate link in the video and seems to lack the depth of an honest review.  I feel like I just watched an informercial for oura and I own one.,theAnswerIsFortyTwo,8 ay önce,11
"I know what that over training was like, Mon through Friday was jiujitsu and kickboxing, and after class I would run 3-4 miles. I had amazing cardio and from over doing it I would crash during training  and I’ve been getting that jiujitsu kick again",Joey De La Rosa,9 ay önce,0
Thanks for sharing.  Looking forward to getting my ring in the next week or so. Hopefully it will help me improve my sleep habits.,Rolando Nispiros,9 ay önce,0
"Long time Oura ring user here,, it's amazing piece of technology. I've had Oura ring gen 2 since 2018 and had gen 3 since late 2021. Big downside for new Oura ring users is this new subscription model. I wonder if they continue with it or how it will be, I wonder how much it affects their sales.",Zone MK,3 ay önce,0
"Thanks for your video, I did enjoy most of it, however, I wish you had mentioned the subscription cost, and the fact that most of the options that you talked about it in this video are only available through a subscription plan. Once you add the subscription plan to the cost of the ring, now we are talking about a ring over $500, that has changed my desire to purchase one.",Omar B.,7 ay önce (düzenlendi),0
"When you said you were taking unboxing to another level!!! 
This is insane! Absolutely love this. That fight scene? Mind blown!! ",Victor Nwankwo,9 ay önce,2
Having severe PTSD I’m lucky if I get 2 hours a night…..am at the point of trying anything. This looks promising…..a big hello from Wales. Yes…..we have a fricking dragon on our flag!!!!! 󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿,Dean Cooling,9 ay önce,1
I needed this! Thank you so much for this review! ,KoCa Kitchen,9 ay önce,1
I like your content.  This technology really interests me.  A few years ago I had a stroke and I now track as much data as I can.  Thank you for posting this.,JohnnyJolt,7 ay önce,1
I love Oura ring!! Tracking my sleep forever!! :),Nick Russo,9 ay önce,1
almost purchased it couple weeks ago then I was reading about the subscription and they lost me.  Kind of mad about it because I purchased the stainless steel Apple Watch 7 so the ring would go with it then the subscription email and I was like nope next!,Tracy Grabman,9 ay önce (düzenlendi),4
"Love the Oura ring, but since I have an Apple Watch I can’t justify that much money for a ring that does something very similar.
Edit: I too love the apple sleep app lol",Ryan Lennox-Bradley,7 ay önce (düzenlendi),0
"I ordered one today!, Waiting for the sizing kit and hopefully by Easter my ring will arrive. I chose gold too. I am hoping it will improve my sleep and will use it to complement my Apple Watch. So excited! My Easter present to myself! ",WirralBagpuss,5 ay önce,1
people that thought Justine really said yes for engagement.,Matija Vuksanovic,9 ay önce,270
Ordered it!  Thanks Justine for the video!,DEONDA,9 ay önce,0
"Thanks for the video, will consider getting one ",Jonhatan Verdugo,9 ay önce,0
I remember back when you made that video with Hardwired about something similar to this! It's amazing to see how far tech has come since then :D,CashAustin,9 ay önce,1
Nice video ! Thank your for sharing your experience with this Oura ring. Might actually buy one ,Jérémy Midroit,9 ay önce,1
Love mine. Hate that I can’t grip a barbell. Btw. I do Jiujitsu too Justine. Cool!,,2 hafta önce,0
Great product from here Finland!  Glad to see  you like it.  Have a good day Justine!,Antti Silenius,9 ay önce,3
You’ve convinced me… Apple Watch Series 8 needs a temperature sensor .,philippe Van der Gucht,9 ay önce,3
"Forgot to mention the Fitbit interface with the Fitbit scale, which measures your weight and body fat ratio.  It's excellent!  Not sure if Orua interphases with the Fitbit scale.",Deborah DLA,7 ay önce,0
They were OUTSIDE the studio and this video was beautifully shot. How impressive is that?,James McCormick,9 ay önce,1
"Hi Justine, wish you best health.",George Saviour,9 ay önce,0
"Wait, Justine trains in combat on the rocky beaches? That's so iconic and cinematic. I would love to do that TBH",WhiteRaven696,9 ay önce,14
"I would love if this ring could tell me whose dreams I stumbled upon a few days ago ... they must have watched one of those Vampire movies that were popular a decade ago just before dosing off ...
when I joined in it had already gotten convoluted and strange so we just flew about the courtyard ... 
I do not wear rings or watches and for that matter have never gotten tattooed ... I do meditate while performing ritual daily tasks ... ",Martin Frog,9 ay önce,1
"This is nice. I love tech, I love accessories, win-win. But the high price and subscription is kinda putting me off. 
Gonna wait until competition bring the price down.",Rex,9 ay önce,2
