text,author,date,like
My favorite thing about the Galaxy Z Flip is that it makes me excited about technology again! It sparks wonder and nostalgia in all of us and it's a splash in a stagnant market! Love it !,Brandon,11 ay önce (düzenlendi),210
The fact that how much more affordable this is compared to the previous models is dare i say flipping awesome…,JoJ LaL,11 ay önce,301
"The Z Flip looks absolutely incredible! I can't believe how much they've improved it from the last version, and can't wait to try to get one for myself! Great video, Justine! Have fun in Hawaii!",CashAustin,11 ay önce,148
She has a way with words and energy when doing her reviews that makes me feel so confident in getting any device she talks about. I been thinking of upgrading to the Z flip 3 and with this review it really made me comfortable and confident that I am making a good decision :),Jerry Woods 13,11 ay önce,132
As an avid apple fanboy I’ve never been so attracted to an android device before the flip first came out and now with the new design it’s at its peak.,Brandon Wilcox,11 ay önce,84
"The coolest feature of the Flip, which not many people talk about, is that it""s a lot less likely that you’ll end up cracking the main screen. Having it fall while closed lowers the probability of the screen cracking by a lot. This phone I would definitely use naked.",Só Victor Mesmo,11 ay önce,105
I have used this phone for a about 4 days now. ITS AMAZING! The camera quality is crisp. The crease is barely noticeable when using it. And it has  so many features! I don't have one thing I dislike about this phone. I never wanna switch,Taco Quesdilla,11 ay önce (düzenlendi),30
"Something to consider for sure! I’ve had an iPhone since the iPhone 3. I find myself getting bored with them. It gets a little better with each version, but not different. I don’t love the Android software, but the hardware on these different phones has me looking ",Roadrider_27,11 ay önce,82
"I went from a iPhone 12 to a Z flip. After watching this video and the MKBHD video as well, I am more happy with my purchase. This is a stunning, eye catching phone. I took this phone to the September 6th to the Milwaukee Brewers game and took photos, videos etc with this phone and it was amazing. Must have.",Michael G.,11 ay önce,19
"I love this phone, it's inevitable for all phones to use this screen tech eventually when it becomes affordable to minimize the sizes of big phones.",Dante,11 ay önce,4
"We love you, Justine! Your video editing and elaborations in this video are outstanding. I’m glad you’ve had a great time in Hawaii. :)",LauraOnDuty,11 ay önce,1
"Hi Justine. Greetings from Malaysia 🇲🇾  
Love your video and the showcase of the camera and usage. Not the mumbo jumbo about the specs, antutu, boring stuffs. It is a unique phone and you have shown us the fun side of using it in your daily life. 
I’m waiting for my unit here in another 10 days. Keep up the good work. Cheers. ",HobbyhavenKL,11 ay önce,0
"Thank you for this video Justine, love your videos and excitement for tech! Having my Z Flip 3 delivered this week and now I’m even more excited for it . Also I work for Best Buy! Haha ",Henry Lopez,11 ay önce,0
I wish they had this phone to play with at Best Buy! Dying to finally try a foldable!,Caden Churchill,11 ay önce,3
"Great review Justine, I picked up mine a few weeks ago and it is one of my favorite phones, Samsung killed it with the z flip 3 ",The JK Show,11 ay önce,1
"JUSTINE YOU ARE GLOWING!  The video, the music, the review !! you are so good at what you do  you’re the best!!",David Paris,11 ay önce,64
"Can we appreciate how much iJustine has grown, she gives far more products the credit they deserve",LightenStar,11 ay önce,7
"I love the flip . I am still within the testing process tho, I am thinking of trading in my s21 ultra just for comfort and compact size of the flip . I can't get over the battery and the camera :(",Stoyan Stamatov,11 ay önce,5
This looks like a great phone! Awesome review! I'm definitely gonna go to a Best Buy to hold one.,Joseph Barney,11 ay önce,1
"I love this phone, but the 2yr old cameras (which are from a mid-range 2019 'A' series phone) are really showing their age.
Understandably a couple of concessions had to be made to bring down the price so much compared to last yr.
Cant wait to see what they bring out next yr!",Omar Faruk,11 ay önce (düzenlendi),2
Very nice photos and recordings whereas it uses last year's optics. it can be seen that samsung also tries in terms of software . Finally it becoming affordable. Looking forward to buy one :),David Pálka,11 ay önce (düzenlendi),1
"Totally agree.
I used to my S21Ultra since it came out 9-10month ago, but I also purchased the ZFLIP3.
And got to say, that this is an Incredible experience with a Fold Device.
Unfortunately, something happened  after 3 days of using that Flip3, I unwillingly compared the Stabilization on both Phones, and I really have come to the conclusion, that it's better on the Flip3....",HüssoBLN,10 ay önce,5
I've had an iPhone for so long and just recently I finally switched to thr purple s21 plus. I'm inlive with it! When it's time for me to upgrade I'm going to get the purple zflip!,Hannah Watts,11 ay önce,38
I am so happy using my Z Flip 3. The screen so bright even put it in half. Built quality so nice. The crease dont even see it when using it.,Goku Ultra Instinct,11 ay önce,2
I’ve been waiting for Justine’s take on this phone,Conor O 'Regan,11 ay önce,59
Hi Justine hope you had a blast here in beautiful Hawaii! Love your review as always and am very much looking at getting this phone!,Ghosts of Hawaii,11 ay önce,0
I love you queen The Z Flip is really an intense device and such an amazing performance and looks especially the back screen.,Jawad Hashem,11 ay önce,1
A review... in HAWAII? I couldn’t of asked for a better location to film this video! ,ThreeTwentyTech,11 ay önce,21
I really loved the Galaxy Zflip 3 it has a beautifull style really happy to see Justine having a revieuw about it! Enjoy your vacay Justine :),Hamza,11 ay önce,3
Aloha Justine! I’m so sorry that your car got broken into while visiting my home. Hopefully everything got sorted out well.  love your videos and your joyful spirit!,Pua Watanabe,11 ay önce,0
but after a while does the crease get worse? i would like to see a review of someone who has had it for a while and see how well it holds up,Lillian Grace,11 ay önce,28
I can't wait to see Justine freak out this week over the new iPhones. Stoked!,TechOutAdam,11 ay önce,2
"Very tempted by this Flip 3, but still holding out for the iPhone 13.  But this flip phone is totally cool.",Rolando Nispiros,11 ay önce,0
A dream settings to present the high tech smartphone thank you for this beautiful landscape ,Jean-Claude Henriques,11 ay önce,0
Samsung is changing everything in technology.,Khers Fabregas,11 ay önce,2
Bought the most unrated foldable phone at bestbuy a couple of days ago.  The Motorola razr 5g and I'm loving it. ,Awesome One,5 ay önce,0
This is flipping awesome phone!,sebasrjsrdz,11 ay önce,0
"Im Normally an iPhone fan but damn, I kinda want that phone now...",Miyomitsu,11 ay önce,3
"great review, love it",muhd ghzli,11 ay önce,0
Cool vlog Justine. I've seen the new flip in person and it is a cool phone. I know that your a iPhone user but would you consider switching to Android because they just innovate and make cool phones that I think that iPhone doesn't do. I think that iPhone will have to step up to the plate and make something really crazy to beat Samsung.,Kris Aunedi,11 ay önce,0
I will always be an Uncle's person.  His energy just makes the ice so much better. :D,asdfasdf1331,11 ay önce,1
Your vlogs are so entertaining goshhh. And I agree who cares if there’s a crease it’s a FOLDING SCREEN,Brandon Lloyd,10 ay önce,4
Is the video tracking feature also available for the s21?,Sean Buenavista,11 ay önce,1
"To be honest, on the first day I used my Flip 3, I have gotten addicted swiping on the crease, cause it felt so satisfying. Now, when I'm using other phone, I'm kinda looking for that crease feel. Now, I feel like if ever I'm upgrading my phone, it would be on another Flip cause I got addicted on the crease.",Fennekindol,6 ay önce,0
Gameboy advanced sp emulator for z flip 3 with a gameboy like inspired case would be spectacular.,Ultramonk27,11 ay önce,4
I love this special new smart phone ,Lai Sam,11 ay önce,0
Perfect location to showcase such a brilliant phone,Syed Akib Uddin Alam,11 ay önce,0
hey question how were you able to get to Hawaii they canceled our trip??  bc of the covid testing even if you have the card they still say you need to test every 2 days as i can't even imagine the lines that you need to do for the testing... any advice would be much appreciated thank you,Nicole The Purple Dinosaur,11 ay önce,0
Seriously considering this for my next phone. What's your take on battery life? Reading a bunch of reviews saying it barely lasts a day with normal use. What say you?,Joey Pontanilla,11 ay önce,0
"Seems like Apple needs some samsung idea’s, as feels like to me the iPhone 13/14/15 will all look the same(bets on please), at least samsung is looking at things differently, as apple “USED” too.",Willports,11 ay önce,7
"its cool but still pricey for my taste, that shaved ice looks very good!",Ad Den,11 ay önce,1
"Off topic, but I've been watching your videos for YEARS! I took a few years off youtube and just came back, but Justine you do NOT age! You look incredible!!!!!!!!!!!!!",Karmin J,11 ay önce,6
That phone is amazing! That and the 360 Go 2. Yes please!,Sunfrog,11 ay önce,0
"yo the first shot of this video is Awesome. The light, background and the whole composition is beautiful.",Jagan,11 ay önce,1
Nice .. I think tech review in nature outdoor is amazing,Krishnamoorthy Natarajan,11 ay önce,1
The camera quality is insane,Emmanuel Ezenwere,11 ay önce,0
I actually find the crease satisfying to the touch.,Just in Case,11 ay önce,1
Great video.  I would love to have this phone.,David Bales,11 ay önce,0
"Sorry to hear that your car got broken into while in Hawaii. Besides that terrible experience, I hope your trip went well.",Christi Palacat,11 ay önce,0
"Hey great video Justine!! Currently I watching this on my cream Zflip3!! Also, I saw your post on fb on what happened while you guys were hiking, that was terrible. I hope you got at least your driver's license back ",Allana Nicole,10 ay önce (düzenlendi),0
Really good review!,Niklas Gs,11 ay önce,0
