text,author,date,like
Everytime I watch your videos I think about the professional I wanna be all the time. Doing everything by myself and learning everything that I can. Such an inspiration. I love it. Thanks for your content.,Antonio Meres,10 ay önce,7
"Hey, there is one thing holding me back from buying the a74 and that is the much talked about rolling shutter issues. How did you find it? Did it limit your shooting in any way? Ta :)",Darren Naughton - Life Stories Captured,9 ay önce,0
Wish this was uploaded in HDR for the lighting effects! Any plans to move to HDR recording in the near future?,ToasterViolation,9 ay önce,1
"Wow, this is an epic video, epic location, epic camera!",,10 ay önce,75
"I was so happy for you and Jenna when you got to go to Hawaii for a month-long vacation, even if part of it was a working vacation. I'm even happier knowing that you two had so much fun working and that you got to fulfill a dream of yours! ",Jordan Bergstrom,10 ay önce (düzenlendi),1
I will have to put it on preorder. I love the background music for the vlog. ,Ced,9 ay önce,0
"Justine has the audacity to tell Sony she just edited this last night DURING the their presentation. Everyone, go be like Justine. Be bold.",Trish,10 ay önce,48
The shots were just  ,ZarifPro,9 ay önce,0
I LOVED the way they used that shot of you with the headlamp at 3:54 in the Sony video! Next to the lighthouse beacon and all that. Brilliant.,Lindsay Daly,10 ay önce,6
"Great job , exciting shots . Appreciate seeing new products making life easier . Thnxs for sharing .",SECRET CREEK PROSPECTING,10 ay önce,0
"It's a amazing camera...  The video and editing is awesome..
Justine ",Aditya Raj Tiwari,10 ay önce (düzenlendi),1
Beautiful video…it’s incredible how sony were unable to make great smartphones????,rohan ingle,10 ay önce,1
The fact that Justine decided to shoot this video in Hawaii shows you how special this camera really is.,Randy Ragsdale,10 ay önce,0
"Thanks for the video, I’ve been trying to decide between the Sony a7c and Sony a7 iii and Sony A74 for film making. Which Sony camera Do you think that would be a great camera for Film making?",Carles,5 ay önce,0
Awesome! I has so much fun working on this with you! ,Tobi Nova,10 ay önce,0
"So cool to see you and your sister in the Sony Alpha campaign! Also, love the new Macbook Pro unboxing video. I'm looking to get this camera and the new Macbook Pro.",Nathan Bryant,10 ay önce,0
This is what you do for a living!!  Good for you guys! :). Thanks for sharing.,Michael Ch,10 ay önce,1
"Ok, but real talk. How many cameras does Sony release every year ? It seems every few months they add one to their existing lines that are always better than the last",Jose Gonzalez Valle,10 ay önce,25
I purchased this camera to explore my retirements with. While the auto functionality is outstanding the other modes change this camera to absolutely amazing.,LOL,10 ay önce,2
Quality content!,Monroe,4 ay önce,0
"iJustine, can you please share what settings do you use on your videos to get such a clear, great image quality, and strong colors? Most youtubers like the cinematic look but yours look more vibrant and colorfull. Thanks for the reply",Como Ganar Dinero En Internet con Manny Zárate,10 ay önce,2
Your videos are always so high quality. Keep it up,Mreggbertgurt,10 ay önce,0
Justine be putting a friggin entire telescope on her camera ,LXR,10 ay önce,30
Thank you for all the test footage very helpful,Andrew Ma,10 ay önce,1
can we appreciate that the her posts everyday to put a smile on our faces,Click'Me Now⚠️,10 ay önce,13
The sound effects the camera quality and the scenery this video is so CoOoOL,Shalini K,10 ay önce,1
Great video Justine and the quality of the camera and the cinemaphotography was excellent! Does any have the link to the Sony video that they were in?,Scott Wallace,10 ay önce,0
This camera is amazing . . .,Tawhid Alexander,8 ay önce,0
Do you recommend the a7 IV over the a7 III? Doing mainly amateur photography / occasional video creation,Jae H Song,3 ay önce,0
"Congrats on 6.96M, this by itself is a milestone to celebrate.",Gyro,10 ay önce,6
"Really nice camera, love you videos!",Tim Buckeridge,10 ay önce,1
You are really an excellent video creator. I love your videos.,Moinul Haque,10 ay önce,0
WHOA! I was not expecting this from Sony…,EMGT VLOGS,10 ay önce,2
"Newbie here with bell~~ I've been researching for camera for my channel, and this video was recommended to me, and I'm SOOOO grateful~ Thank you so much for sharing, honestly. Amazing!! Looked so beautiful, can you dontate that shirt to me?? lol :) Stay safe and God bless you girls~~",KoCa Kitchen,9 ay önce,1
Waiting for Detailed review ,,10 ay önce,0
WOW! Another video! I love it when you upload frequently! You just made my day!,Miguel José,10 ay önce,6
"I love watching your videos! Makes me wanna buy apple items, Oahu is beautiful, every place you can hike you will have beautiful photos and videos.",Amsely Nieves,10 ay önce,0
Hello! Love your videos... This camera is Amazing!!,Ishveer Bhogal,10 ay önce,0
"Awesome video sweetie. Never had a professional camera. This could be my first!! 

Mikey",PhillyDroneLife,10 ay önce,0
"Superb video️ love from India ।
Which camera used to shoot this video?",TECH & TRAVEL 😍,10 ay önce,1
You guys are insane!!! Love you!,Sergey Zabornikov,10 ay önce,0
Wowww !! Incredible Footage ,Fact Night,10 ay önce,1
"Justine you are a genius, I have been waiting for this for a very longtime to compare it with the Leica",Icki Madrasi,10 ay önce,0
wow it looks like an epic camera !! cannot wait !,Marcus & Warren Studios,10 ay önce,1
This camera looks so awesome,Edward Sanchez Productions,10 ay önce,0
on a boat without any straps on the camera - this gives me shivers,kraszyniak,10 ay önce,14
Here come all the A7IV reviews from all our favourite YouTubers! ,ThreeTwentyTech,10 ay önce,4
There's a chance this camera or a7c is in my future...  And good job with the slomos!,JonSnowxx,10 ay önce,0
"Like your vids
And you’re personality as they’re expressed through the video it’s very funny
But I little wish the conversation would focus more at the subject and about your experience of it",שריה הכהן,10 ay önce,1
"""What was your favorite thing that we did here?"" Jump cut immediately Sorry that made me laugh.",MEDiAgamer,3 hafta önce,0
This may be the most painful wait for a pre-order of all time.,Andrew Van Beek,10 ay önce,1
Amazing and high quality!,NATUREMAN360,10 ay önce,1
GOATed camera!,Fadel Alturki,10 ay önce,1
That was an EPIC camera from dreams,Richardsen Thomas,10 ay önce,2
I need this camera! ,Gregory Jean-Marie,10 ay önce,0
"I was nervous for you on that boat, I swore one of those cameras were going to go into the ocean when you hit a small wave.",Brian Dunkel,10 ay önce,1
So many videos lately.  It makes me sooo happy!!,Time 4 Tech,10 ay önce,1
"Hello, I follow your videos from Iran. You are very energetic. I pray that you always feel good. What camera do you really use?",iranianfoodart,8 ay önce,0
incredible video!! ,David Paris,10 ay önce,1
nice sony commercial i love it ,Nature and Gaming,8 ay önce,0
I was nervous watching you two lean over the side of the boat with those cameras!,James Barlett,10 ay önce,0
Who else gets motivated by her videos ,Chanda Mulenga,10 ay önce,2
"I have a question. I got the Sony ZV-1 and my battery go’s dead so fast!!! I found myself just not using it cuz it irritates the crap out of me!
Is there Anything I can do or use for a longer battery?",Monica McGahan,10 ay önce,0
CANT WAIT to see the product!!!,Nick Carson,10 ay önce,0
Wow I need to buy a new camera this looks awesome,Alex Singh,10 ay önce,0
Be a great man  so that he can fulfill every desire of his parents ,أميرة الرقص.dancing princess,10 ay önce,0
wow 2 vids a day! Keep the grind on going!,Rick,10 ay önce,3
WOW MAN! THIS CAMERA IS AMAZING!,Jonathan Cortez,10 ay önce,0
Thank you so much for posting so frequently love you,Fun with Milan,10 ay önce,1
NICE VIDEO JUS!,,10 ay önce,110
"You need to get tthe DJi RONIN 4D, it is definitely something that would take your content to the next level x3",RightCopy,10 ay önce,5
"Its going on my Christmas list, I hope Santa brings it as I cant afford it lol",,10 ay önce,1
"Justine you are amazing few days back you showed MacBook Pro that u like most and now this camera Sony M4, I was waiting for more than a year 
I will work hard to get these and make more content 
Thanks for amazing video",Auto Tech World,10 ay önce,0
The QUALITY in this video is beyond words!!!!,The Christian Pianist,10 ay önce,0
Why is every new camera released quoted as a “Creator’s Dream Camera”……Well until the next one is released…,Haggis305,10 ay önce,1
definitely need this a74!!! The power it has!!!,Harry Vue Media,10 ay önce,0
Love how your so adventurous,Artsbyag,10 ay önce,1
Amazing camera! wondering 6:57 interview section too shot with Sony A7 IV?,Santanu C,10 ay önce (düzenlendi),1
AMAZING!!,Soloist,10 ay önce,0
"This is a natural wonders more than a real review of the Sony A7IV ??
Why not ? Sony is playing around !",Mourad ARGOUB,10 ay önce,0
"does it support dji ronin series 2. that's also a question for creators, who are looking for a cheap als3 alternative",Naveen Gupta,10 ay önce,0
"Right after we just got the A7C...  lol But I can't see myself updating to this.  I know it's a nice camera, but this A7C is just everything I've ever wanted...",Explorenit,10 ay önce,0
What camera where you guys shooting at 5:28 ? Thanks ,Raihan Ullah,9 ay önce,0
"Here to watch and make you happy as requested from your stories, pleasure to serve you my queen ️",ApexStreamerTroll69,10 ay önce,0
"Very nice video 
Justin's videos are the best 
Congratulations for 7M subscriber in advance 
6.96M subscribers",ADITYA MEHTA,10 ay önce,1
quality of this video is unbelievably awesome,Tony,10 ay önce,0
"Okay that intro was Dope! Shout outs to You & Jenna, this camera is NICE!",Johnny Cash III,10 ay önce,0
Was the A7 IV used to film this whole video?,@davidcenaffra,5 ay önce,0
