text,author,date,like
After I have a miserable day Justine is here to brighten it up with color ,Dj A,9 ay önce,104
"Justine in the morning is almost as good as coffee!  Positivity, energy, and a great smile help to set the mood for the day.",Randy Suyematsu,9 ay önce (düzenlendi),211
Hey Justine! My Computer Illustration Professor Mr. Ankeny showed us one of the projects you did in class today! (It was a Mac btw) and he talked about how you graduated from my college and went on to do what you do now! It was crazy seeing your work and I was in shock! I never knew one of my favorite YouTubers went to my college! Love what you do! ️,S.L.O Kookie,9 ay önce,33
"Love the new ""scene"" in the studio! Can't wait to see what the completed set looks like!

Thanks for the video!!!",Jordan Bergstrom,9 ay önce,2
Hey Justine. Been watching your videos for many years. Just wanted to say ‘hey’ and to say thank you for all the lovely entertainment over the years ️,Ben,9 ay önce,28
"you missed out on the perfect chance to ask the homepod ""what does the fox say?""",Anisha Alluru,9 ay önce,35
You know for Justine to review a product that is almost the same as the past. I admire her for making a video about anything 7 more minutes or longer.,Dis Familia,9 ay önce,5
Love you Justine! Always watch all you you tubes and share the apple love with you! Your reaction to opening new apple products are awesome and similar to mine every time. I want the purple mini as well except I don’t have the iMac to match it yet! Love love purple wish they made an iPhone pro purple too!!!,Maria Arbex,9 ay önce (düzenlendi),0
"Justine always finds a way to make people's day happier, she has inspired me to start my own channel️",Shellify,9 ay önce,80
Great review and editing/transitions! Orange is my current fave; I want new iMac (dark) purple too!,iBrianRocks,9 ay önce,4
"Love the video! Btw, it actually does work with the 18W adapter. It did not when the HomePod mini was originally released, but support was added with one of the later OS updates.",Michal Farana,9 ay önce (düzenlendi),2
We're redecorating our apartment in ALL mid-century modern. The new colors are the exact colors of that style. So pumped!,dgeviper,9 ay önce,37
"People at Apple: ""It's her again!""

Apple: ""What color do you want?""",GabrielF11,9 ay önce,75
I love the orange but I wish they’d make red! For a more Christmas look ️,Sarah Gilland,9 ay önce,2
"Every time Justine uploads a new video, I know it's going to be a good day.",Randy Ragsdale,9 ay önce,2
