text,author,date,like
I love how Microsoft is evolving and innovating.,Maarten Midden,11 ay önce,137
Not gonna lie that surface studio/pro/go/coffeemaker/financialadviser laptop thing is an interesting combo of all of them and I’m really intrigued about it,Gary,11 ay önce,216
I love how Zen she seems when it’s not an Apple product. ,Ralph Sarza,11 ay önce,123
Would love to see more on the adaptive kit.,fantombeach,11 ay önce,2
"The way I gasped at the laptop studio!!!!  

As someone who loves their surface pro but also wanting the sturdiness of a laptop, I might just have to get it!",DamnJackie288,11 ay önce,112
Definitely wanna checkout the duo. I really hope in the future windows comes back as a mobile OS while taking advantage of the new windows 11 android apps capabilities. I used windows phone for a few years (now back on iPhone) and I miss it so much.,Builds With V,11 ay önce,22
I’m really exited for the Duo 2!!! These devices all look so fantastic,Tyler doop,11 ay önce,10
Absolute amazing devices!,Sterlon B.Digital,11 ay önce,0
The Surface Laptop Studio is similar in design to the leather HP Folio only it's a bit more powerful. The screen flipping forward is a more elegant design than a laptop with a 360 degree hinge. You wont have a keyboard resting on your lap and there is a lot less chance of potentially damaging your keyboard or getting gunk or fuzz on it from your clothes or legs. The intake intake grills look odd but its better than them being on the bottom to be blocked by your legs or clothing.,Rye Bread,11 ay önce,0
"Justine is killing lately, hope she gets more views ",Flávio Fonseca,11 ay önce,2
"I love Justine went from almost exclusively reviewing Apple products to now expanding to Android and other companies, too.

Smartphone and technology advancements are occurring in every aspect of the spectrum and it's important take into consideration of all the competitors, too.",ThreeTwentyTech,11 ay önce,41
"I feel like Microsoft has finally really arrived, the products are well thought out and I'm excited to be able to use all of these devices. 
I hope that the hardware can continue to make steps forward with the same elan.",Ben Hellmundt,11 ay önce,2
Been enjoying your videos more than my usually-watched tech YouTubers. Your enthusiasm is contagious,Krayz Tech,11 ay önce (düzenlendi),4
I'm so excited for the Surface Laptop Studio!! It just looks so freaking cool!!!!,Mason Baldwin Music,11 ay önce,0
Woah the Laptop Studio is actually something innovative ,Tejaswee Tej,11 ay önce,0
Aww that duo looks amazing looks so good and the new surface seems so good great video,kyle stewart,11 ay önce,0
"If there's one device that I'm very conflicted with is the redesigned surface duo. Sure they have handled the issues that were there in the first one but it's lost its aesthetic elegance. It's a device that doesn't want a camera bump because when you flip it in nolonger will be flush, plus somehow it's finish doesn't look as good as the previous one",Lester Kanali,11 ay önce,18
"This is actually pretty sweet. Phone-wise I'll still be going for the Pixel 6 Pro, but as I have a Surface Pro 6, the newer editions are looking pretty solid. I have concerns about the studio as I like the more tablet-oriented format, but I'll have to check it out to see how it goes as it looks promising. ^^",Jared Arnold,10 ay önce,2
"I hope they nail it this time. Even though I’m with Apple,  a great part of me, still want them to succeed. I want them to “push the envelope.” ️ Besides competition is always good for business. ️",Justice Forall,11 ay önce,5
"Love your videos, love the duo 2 and laptop studio but I know the last one is going to be overpriced",Ugo Nwogwugwu,11 ay önce,0
I like how different the surface studio laptop is!,Robocore02,11 ay önce,0
Looking forward to getting my Duo 2. I love my Duo despite its shortcomings so this has me so excited!,Fatman Entertainment,11 ay önce,0
Thank you for showing the Surface Adaptive Kit to bring accessibility to the stage.,David Dame,11 ay önce,5
I like how they addressed the bezels in this one. It really feels so retro. Like a 2008 iPhone,Stelios Kapet,11 ay önce,1
I have a theory that Justine is actually a twin. There is no way she can put out this much quality content,Wonbo Shim,11 ay önce,104
