text,author,date,like
I like how almost everyone was more impressed with the new minis rather than the new iPhones ,Lucas Yansie,11 ay önce,"1,4 B"
The reasoning Justine gave for why Apple actually included a charging brick with the iPad mini is the exact same reason they should still include it with the iPhones ,Ashley Arpin,11 ay önce,616
The included usb-c brick is so exciting. Makes it much easier when setting up the ipad for a senior or someone less tech savvy. I was anticipating having to go buy additional wires or bricks.,AllieMM,11 ay önce,48
"just got this iPad and ill say im VERY happy with it! one of my friends made fun of me for preferring small iPads over big ones, but I find this a lot more comfortable to use. small enough to use, yet big enough to take notes! much better than my old iPad! :)",R3nny,1 ay önce,4
I have always wanted an iPad mini for when I travel - I don't like to always rely on my laptop or phone for emails or watching videos. Looks like this is the year I finally invest in one!,Tyler James,11 ay önce,461
I am IN LOVE with the iPad mini this year.  I still have an old iPad but I think this is the year I am going to upgrade! I’m thinking the purple OR space gray. I’m when you unboxed the purple I totally agreed about the great color. This would be nice to see iPhone 14 in too. Maybe the iPad is a prelude to this  we can only hope!,Sarah Young,11 ay önce,5
"I ordered Starlight and Orange right after the event.  Orange is my favorite color, so I was sad the iPhone 13 Pro didn't come in that bronzey orange that everybody was leaking.  So I was super happy when I saw this electric orange cover.  Honestly, the lavender Mini comes across very blue in your video, so it looks decent as well.",CBRboy1717,11 ay önce,175
Makes me so excited seeing Justine unboxing all these tech as techy myself the iPad mini looks fabulous and very consumer-friendly in price and in features  see a lot of students  purchasing this iPad really looking forward  to seeing the performance of this new all design mini  all colors look amazing and unique I got my eyes on the graphite or purple they look so good  great work justine keep it up love the background and set for videos so visually appealing,Rahul Yalamanchili,11 ay önce (düzenlendi),34
I love this time of year because I get to borrow iJustine’s enthusiasm to make it through the year. Love that purple one! ,TechOutAdam,11 ay önce,218
"I still have an iPad Mini 4, iPad Air w/ cellular and an iPad Pro 11 w/ cellular and they are still working stellar.  I'll forgo the new models because I won't do anything different from what I'm doing now.  I'm happy with toys.  Nice color review.  I don't understand why Apple decides on muted colors such as the pink version.  Shocking colors would be nice in pink and purple.",kanehi,11 ay önce,12
I’m sooooo excited for this!! As an architecture student the idea of the mini is so much more cost effective,alexfsayshi,11 ay önce,161
"That’s quite the selection there.  I’ll stick with the “basic” one though.

A lot of talk about the new iPads is about annual upgrades.   Not much chat out there about us who don’t upgrade often. ",It's Just Bob,11 ay önce (düzenlendi),24
I LOVE THE NEW iPad Mini! It’s the design I’ve been waiting to see.,Pokhraj Roy,11 ay önce,120
I’m looking forward to getting this in handle. Possibly trading my 2018 iPad Pro 11 for the mini. I love the portability of it but I wish the bezels were a tad bit thinner. Also wish they would’ve went with a blue color. Justines excitement for new  products is great,JCU,11 ay önce,10
I appreciate how Justine always dresses to make the new tech. It’s the little things ,Cee,11 ay önce,21
"I love the ipad Mini! Use it for reading in bed in the evening (love how light it is), for watching Netflix, Apple+ oder Disney+ in the train when I am out to my way to work and the kids use it for school and to play apps. At the moment we have the iPad mini 2 and love it. We will get the 6th gen soon, maybe for christmas :)",Silvia,9 ay önce,5
"I still use the iPad Mini 4 from 2015 and it doesn't disappoint me even today, imagine this iPad Mini !",Memes Look Marcos,11 ay önce,19
"Thank you for this. 

Just ordered the Starlight Mini, 2nd Generation pencil and the dark cherry smart folio. 
Great video very persuasive and honest",ThatHarryPotterFan,10 ay önce,18
I freaking love how you described that it's faster to drive over to Ultra Wide band and then drive home.,Kyle Koala,11 ay önce,8
"Universal Control sounds awesome, and maybe how devices should always have been. I can’t wait to use that. Good video. I enjoyed it",ibookboyuk,11 ay önce,5
Great video keep up the good work!!!! I love this iPad mini definitely might get one :),Andrew Eisenberg,11 ay önce,0
i am SOOOO freaking excited for my mini to come in the mail this week!! i am stoked about the new apple pencil magnetic support. that has been my biggest annoyance with my current mini. but now ive got the new one coming and my mom is getting my old one that shes been after for over a year ,storiesinthedust,11 ay önce,5
whenever people guilt trip me with buying apple products i just watch ijustine and i get so hyped again.,DD MM,11 ay önce,94
"Torn between purple and pink too. I’d be interested to see how the pink compares to the Rose Gold from the iPhones/iPad Pros and also the Gold on the Mini 5 which I have currently (bought as there was no pink, then when there is a pink option, they bring out purple too.) Honestly would have been so easy had they only released one or the other.",Kimberley,11 ay önce,1
I would want Justine to use the iPad mini as a phone for a week or two. That would be iconic,Kgothatso L. Hosie,11 ay önce,40
"I LOVE the purple one. I wish the iPhone 13 pro max had come in purple. I’m not a fan of the lavender iPhone 12. iJustine, what do you do with all those extra minis???? Giveaway??  I love your channel. So much happiness, excitement, & enthusiasm!!! Keep up the amazing work!",Barby,11 ay önce,0
Hi Justine! I’m an art student and a commuter. I’ve been bringing my iPad Pro 12.9 from last year in with me to school. Do you think it is worth getting an iPad mini to commute with and basically use as a mini sketchbook?,Gianna Levine,11 ay önce,1
"Great video, thank you. Might it be possible for you to do a bend test so that we can see if it is truly ‘pocketable’ as an everyday device please?",Edward Deaney,11 ay önce,0
The purple is so beautiful  definitely the one I’m going to get!,Lou,11 ay önce,21
ugh I just love how Justine unbox every new apple device gets me excited haha,Nash Ordonia,11 ay önce,2
"This is the type of video only Justine can give us.
I'm in love with the Mini!",Mariana Barbosa Silva,11 ay önce,8
i actually love the way the iOS icons look on the mini vs super spaced out on bigger models,Lioncrud,11 ay önce,0
"I love that I can rely on you to THOROUGHLY SHOW ALL THE COLORS! It matters so much, omg.",Ai-Lin,11 ay önce,101
I’d say most people use the iPad mini vertically in portrait orientation. Apple should considering including a second camera for landscape users.,savedfaves,8 ay önce (düzenlendi),0
Congrats Ijustine. Amazing videos. You send us tones of creativity with a lot of passion. Regards from Spain.,Mire,11 ay önce,8
"4:31

This made me laugh, wasn't expecting Justine to react like that. Please don't ever change!",Mario,11 ay önce,14
"I LOVE THE LILAC iPad mini! It's so cute, perfect for us who want something on the go! I probably won't be able to grab one but if I ever do I can't wait to sit in cafe's and read and draw ",nicoleskey,11 ay önce,9
LOVE LOVE your reviews Justine :-)  You are Apple's # 1 Spokeswoman! Great content. Thanks for sharing with all of us...,Scott Secor,11 ay önce,5
The Graphite one looks so professional and sharp.,Pokhraj Roy,11 ay önce,100
