text,author,date,like
I’ll miss the touch bar but I love how they added so many ports….The absence of the ports where what took me back from purchasing macbooks,sjy_,10 ay önce (düzenlendi),110
I love how Justine’s YouTube channel every other month contains 5 videos of tech reviews and unboxings and an additional 5 for every time she decides to change studios.,Nikos Varouchas,10 ay önce,176
"Nice video, love the enthusiasm! Curious to see how those new Macs will perform against the earlier M1 machines in “real life”.",Benoit Somers,10 ay önce (düzenlendi),0
"️ I’m gonna miss the Touch Bar but I will say I’m not upgrading for the next 5 years probably because I have last years M1. The Touch Bar is honestly something I used everyday. From editing a video, to running spreadsheets for work, to using Picture in Picture. I use it everyday.",Jesse Taylor-Vigneux,10 ay önce,108
"So excited!! Thank you for posting this vid! Also thank you for going over the air pod updates, I'm still using my original ones too :D
It looks like they are still going with the magic keyboard. I was wondering if you see how much travel the new keyboards will have? I love keyboard ASMR and as weird as that sounds, the sound of the keys is a major influence if I'll get any laptop.",Sabrina The Scientist,10 ay önce,0
"Love the video, Justine! Your enthusiasm never gets old! Thank you for all your hard work and dedication; everything you do!

I look forward to hearing more about this new studio! If you don't mind my asking, is it just a new studio to free up space/de-clutter your house or are you buying a new home as well? ",Jordan Bergstrom,10 ay önce,0
"I just bought my first ever Macbook. It’s a 13’ Macbook Pro with the M1 chip. I love it and the touch bar is making things so much easier. So I’m with you Justine, the touch bar is great",Marcell Horvath,10 ay önce,28
I cannot wait to get ahold of this new lineup! I am so excited about these new MacBooks and its gonna be great for what I need! Also the new airpods... I think they're calling my name.,,10 ay önce,0
"I was saving up for a new laptop and I ended up going with an HP Omen (I wanted gaming to be an option). I don't regret sticking with PC. That said, when you get your maxed out MacBook I just want you to test everything! It's a superb piece of technology and I can't wait to see more.",Bennett Wenger,10 ay önce,1
"Great video. Probably the best so far I’ve seen. Already bought mine :)) 

But someone please explain how a mag safe is better than just usb-c when one end of the mag safe cable has a usb-c connector? It’s just another cable I now have to carry when I prefer to use the same cable for my tablet and MacBook.",Arcadia Live,10 ay önce,2
Love to see you test out the entry level 14 with no upgrades with Premiere and FCP.,Tucker Pearce,10 ay önce,1
"Nice vid!  I always appreciate catching your video reviews on the new products! 

Definitely considering going back to the regular AirPods.  Haven’t been a big fan of the AirPods Pro since I swapped them last year, they just don’t sit well in my ears.  Interested to see how the sound quality is.",Grace Gil,10 ay önce,0
"I would love for you to do some testing on 14"" and 16"" as well as 8-core CPU and 10-core CPU to see if there are any differences. Trying to see if I should by the base model or do some upgrades",Fruitful Lemon,10 ay önce,4
I liked the Touch Bar! But only when they brought back the physical escape key.,Hunter Smith,10 ay önce,87
"Yes, I’m very very upset about the removal of the Touch Bar. I used it all the time. It was one of those things that made Apple stand out. Honestly they could’ve kept it and put in a row of function keys. Or (and this sounds like Apple) if they had to remove it and go back to function keys, don’t make them normal function keys, do something special and make them more useful (the best of both worlds!)",Ben Hegarty,10 ay önce,5
"I like the touch bar, but it always felt doomed because Apple never put one in an iMac or Mac Pro keyboard. Has Apple fully committed to it, software developers would have as well, and they would have made the Touch Bar more fun and productive. Instead, it seems like Apple just wanted to respond to Windows supporting touch screens by having a baby touch screen.",Tom From Alaska,10 ay önce,7
