text,author,date,like
"I'm happy that 15 years later since you've began on YouTube, you're finally having an interview with an Apple CEO. So proud of you, Justine!!",Carlos García Molina,11 ay önce,896
Two of my favorite people ️,,11 ay önce,"1,2 B"
Your joy and excitement takes  our Apple products excitement to another level. Watching your Vids since ages. :) Big Fan,,11 ay önce,622
"You know, it was hard trying to imagine someone stepping into Steve Jobs' shoes with Apple, but Tim is absolutely perfect for this company. He seems like a damn good guy. His excitement alone gets me excited about Apple products and I'm a PC user.",Simply Travis,11 ay önce,125
"Justine deserves all the success she has. This is the type of tech content that we all deserve, always delivering with passion! Thanks Justine!",イザナギ風英仁,11 ay önce,35
"You know Justine has made it when Tim says ""I saw your tweet!"" ",Dominic Muir,11 ay önce,133
"So awesome, go Justine ",,11 ay önce,"2,1 B"
"I’m glad Apple is realizing the influence of people like Justine, and finding a great way to take advantage of it. Great video!",Nathan Edwards,11 ay önce,39
"If I got a dollar for every time Tim put his hands together, I’d own Apple. Great interview ",Max Hunter,11 ay önce,54
"In a way, I enjoy the prerecorded events more than the actual live events. Apple adds so much polish to the event and the production is amazing.",Jay G3,11 ay önce,9
"Such an awesome interview, and what a down to earth guy Tim is.",Robert Bayford,11 ay önce,12
The energy of both of you is just beautiful. Tim is genuinely the most kind and sincere CEO I think I’ve ever witnessed.,Joshua Pingley,11 ay önce,21
When Tim Cook says “I saw your Tweet”…. Yeah… that’s a moment to pause and reflect on. Tim Cook is reading my Tweets….  - You Go Girl!,Paul Anderson,11 ay önce (düzenlendi),558
"that was engrossing to watch, so inspiring and to see you two together again, I could see the warmth for the famous Apple Products.",Helen Grayce Ezarik,11 ay önce,12
Whenever Tim says “Good morning!” It puts a smile on my face,Alejandro Vallencci,11 ay önce,29
"Even when Tim is talking in this situation, he still sounds so professional.",Apple Dolphin,11 ay önce,61
The „Thank you for having me on your program“ smashed right into my heart. how humble can someone be.. ️,Jamie Wierzbicki's Offizieller YouTube-Kanal,11 ay önce,13
Another level of entertainment videos beyond specs and novelties. You get a genuine energy. Keep up the good work Justine and Jenna...,Memphis Raines,11 ay önce,3
Whoa...So great you got to speak with Tim.,,11 ay önce,"2,8 B"
This was such a fun interview. I loved it and Justine keep up with the great work!,Maria Diana Hadăr,11 ay önce,2
Love Tim and Justine. You two being enthusiastic about all the new stuff is really sweet!,Matthew Trickett,11 ay önce,7
I like that this felt less like an interview and more like a good conversation. The optimism on this channel is so refreshing.,"Aaron Plummer, MD",11 ay önce,5
This was much enjoyable watching and it was literally better than the apple event itself .  I guess apple can hire Justing to host the apple events also she knows everything about apple!,Mansoor Taj,11 ay önce (düzenlendi),10
Amazing interview! Justine and Tim are such great people.,,11 ay önce,476
"I started using the iPad mini (my first was the mini 4) when I started college. It’s always been a great little devise for reading/watching assignments and winding down between classes. When the mini 5 (which I’m typing this comment on now) introduced Apple Pencil support, it completely changed how I took notes during my senior year. I’m a teacher now and I can’t wait to upgrade to this new iPad mini. I’ve been waiting for an upgrade like this since they introduced the new iPad Air and I can’t express how excited I am!",torpedowitch,11 ay önce,2
"So awesome!!! I love that you get to do these interviews, I’m so excited to finally get a new iPhone this year!  I love the Apple stores as well, every time I travel I have to go visit as many as I can.",Cheryl Smith,11 ay önce,2
"Justine! I've been watching your videos since 2008, it's so heartwarming to see how far you have come. Your questions were so intelligent and really point to your support for Apple through so many years. This is such a big moment!",Amit Benjamin,11 ay önce,9
Love this!! I’ve been watching your videos literally from the beginning. I remember your palm pre / palm pro iPhone launch day video. So awesome to see you truly come full circle with this now!,Garrett C.,11 ay önce,2
"Tim is such a great guy, so happy he’s helping lead Apple into the future in a very strong way! ️ Great interview Justine :3",Luna,11 ay önce,89
"Out of all of the tech content creators on YouTube that got to interview Apple leadership, Justine did the absolute best. By far. Some of the previous interviews were awful and awkward but Justine made it look so natural.",chrisak49,11 ay önce,11
So amazing. Loved when he thanked you for having him on your “program” ,Kaycee Bishop,11 ay önce,13
"How can you not love iJustine? Her Joy is contagious, she is so likeable, she is amazing. She also makes me love Apple more and more daily ",Aaron Wade,11 ay önce,2
Great interview!  Thank you!  Loved the part about the LA Apple Store.  You can appreciate from Tim’s reaction why Apple is so great in restoring these great landmarks around the world.,Al Scarpa,11 ay önce (düzenlendi),2
"tim is so awesome!! i love how he talks about everything with such passion, he’s such a great person. ️ i loved this one justine!",Avayya,11 ay önce (düzenlendi),6
"its weird seeing justine so casual and calm, especially considering what a huge moment this is for her  good on ya girl lol",nightskye,11 ay önce,202
"This video filled me with so much joy and happiness like you I love everything Apple, and I’m a huge fan of yours so I’m incredibly happy for you. Congratulations on making all your life’s dreams come true️",Justine Rodriguez,11 ay önce,1
I’m so happy on what iJustine achieved over the years. I subscribed on her channel since 2009 when I have my 1st ever MBP along with my iPhone 3G. And until now I haven’t upgraded my laptop and hopefully I will upgrade soon.  I can remember how she camp and line up on every iPhone release as well as her expensive iPhone bills  and now here she is talking to Apple CEO Tim Cook. What an amazing journey for her. ,Jayvee Yagdulas,11 ay önce,2
Such a great experience Justine! Awesome for you to speak to Tim :-) What a thrill that must have been! Thank you for what you do!!!,Scott Secor,11 ay önce,1
"El iphone 13 sigue siendo un producto espectacular a la par que impresionante, no lo dudo nunca, pero la gran sorpresa está en el ipad mini cómo bien se pudo ver en la presentación.",Sergi_23,11 ay önce,4
Justine congrats on everything and how you continue to keep your spark about technology. It’s truly infectious and makes me happy to be a content creator and know that I can geek out and still succeed.,Matt Gray,11 ay önce,2
Can they hire Justine to do all of Tim’s interviews??! They honestly have really good chemistry. It felt really natural and off-script.,taylor,11 ay önce,233
Ahhhhh Justine!! I’m so happy for you that you got to do this. I can see even bigger things in your future… well done,Robbie,11 ay önce,3
"I love the iPad mini. It’s the first ever apple product I ever had. I had the first, second, and fifth generation. Kinda sad that Steve Jobs probably wouldn’t have approved it. iPad mini 6 is awesome....I was expecting them to do that design a lot earlier on the 5th gen but it’s so cool.",李銘輝,11 ay önce,2
The energy you two have is amazing,Eddie😍😍😍,11 ay önce,1
Great interview. Love the iPad Mini and will upgrade to it from the Mini 4 - disappointed base storage is only 64GB so trimming my apps/downloaded content to ensure I’ll have enough headroom. I use the mini as my main book/newsstand/Apple Fitness+ device.,Tom Diffley,11 ay önce,1
I almost got a little emotional watching this. Been following you for years. Like… you got it. You got TIM on your channel. Im so happy for you! Congrats on a awesome interview. Great work ,Andreas,11 ay önce,2
"I’m no analyst, but this is such a natural interview. It feels like they’re old friends I’m all for it good job Justine!",Brennan Ball,11 ay önce,80
Great interview!! So stoked to see your social media presence growing to this point where you actually got to interview Tim Cook! Been watching your reviews from the beginning! My fav tech had always been made by Apple! I used to have a Twitter account as iSean. Haha!!  It wasn’t as popular as yours. Take care girl.,Digital Disciple,11 ay önce,1
I feel very proud of you! Been watching you since i think the iPhone 6 launch and it's really exciting to see that now you're basically INTERVIEWING TIM ! Crazy! Very well deserved.,Maxence De Waele,11 ay önce,0
"Awesome congrats on landing this exclusive interview, Apple finally recognising their biggest fan! That rainbow at the heart of Apple head quarters is pretty cool.",Michael Scanlon,11 ay önce,2
Nothing is more satisfying than seeing Justine talking with Apple’s CEO,Dr. Long Monkey,11 ay önce,56
Tim Cook was so Amazing!!! It's really great to see him in such a casual way. I love the iPad mini. It would definitely be a huge success especially for students and other professionals that just need a device that is super portable and powerful.  I'm love struck !!!,victor pitan,11 ay önce,3
"The obvious next step is to have Justine on stage presenting a new apple device or update.  Make it happen, Tim!",R2robot,11 ay önce,118
"Tim, I love the iPad mini! In fact I’m using it right now! Please do not discontinue this product, keep doing upgrades!",Jeremiah Aden,2 ay önce,1
"This interview is huge. Good for you Justine, so happy for you.",elfstitch,11 ay önce,1
I’m so happy for you Justine. I remember the first time in your video going to apple event and seeing Tim on stage and now today we FaceTime him. Keep up the great work! I’m crying for you ,Travis Myers,11 ay önce,1
Great work Justine! So fresh to see such lively interview which tends to be very formal. Keep it going,Ming Wai Yoon,11 ay önce,0
"Such a well-spoken interview on both parties, awesome job.",RenaRoll,11 ay önce,0
"“Thank you for having me on your program” - Tim Cook 
He truly is the best!",Matthew Piasecki,11 ay önce,74
As a customer of Apple for over a decade i’m really satisfied with it’s products comparing to rivals but what makes Apple an apple in the eyes of it’s fan is how marketing is presented like this channel which is Apple oriented channel.,E.O,11 ay önce,1
"Thanks, Justine. That was real treat. Amazing interview with Tim Cook. I love all the products we're great. I love the pink iPhone",Dr. Emily Acevedo,11 ay önce,0
great interview fantastic flow such a positive inspiring message...thank you,John P,11 ay önce,0
So proud of you Justine. I’ve been here since the beginning and now look… here you are interviewing Tim. Much love doll ,Sean Lelie,11 ay önce,0
I LOVE THIS for you!!! You’ve come so far. So proud of you! ,Sarah Sinchak,11 ay önce,1
Tim is so cool. I got a chance to talk to him when he came to my Apple store a couple years ago. It’s those little moments that make me love this company and being part of the team. I’m happy to see him on your channel!,Paulygon,11 ay önce,35
Its always cool to see you how excited you get with this stuff. :),Dave Corbin,11 ay önce,1
"Around a decade since we lost Steve and one thing that cannot be denied is that Tim has really stepped up and done the company proud proving himself a more than worthy successor. While Steve was this sharp, aggressively dedicated genius marketer and showman Tim just gives off the air of being so approachable. He makes us Apple users feel like a family (at least, that's how I see it) and seems to embrace each one of us without question.",J Ryan,11 ay önce,0
10/10 Tim Cook is outstanding.  A CEO with a heart. ,J R,11 ay önce,0
"That was a great video, and to see Tim Cook and talk about the new apple products! I’m so excited for the new apple products and can’t wait for the software update’s to come out next week.",Shadowninja1242,11 ay önce,1
Watching you make Tim crack up made my day,Alec,11 ay önce,2
2 legends collaborate. This is exactly what we needed! ️,,11 ay önce,486
"Justine is a much more compelling and charismatic character -- Apple would probably be a lot better off with someone like her in Tim's spot ultimately.  She would likely be better at the job overall.  The keynotes would be so much less robotic and so much more joyfully chaotic!  She is an incredible intellect, and it really shines through with how she communicates with great passion, and is also mindful to be concise, as well as comprehensive, in conveying the narrative and impact of a tech product.",Richy,10 ay önce (düzenlendi),3
Thank you for the video and for some really great questions! Imagine such conversation right after the event with Steve Jobs :),Станислав Иванов,11 ay önce,0
Great interview! So well done! ,leanneland,11 ay önce,0
That was cool you got to talk with Tim! I’m so excited for these new products I can’t wait to get the Apple Watch 7,Shawna Spadafore,11 ay önce,1
"Amazing interview, so deserved as well, congratulations! ️",Wrathzy,11 ay önce,0
I love how Justine kept her composure while she interviewed Tim Cook. She didn't get rattled once. Justine has nerves of steel.,Randy Ragsdale,11 ay önce,104
I am so excited that you got to speak with Tim! I have been waiting to see you two talk for a while! Hopefully you will have more opportunities to interview him!,Brandon Lurtey,11 ay önce,0
"This was such a cool interview, way to go Justine!",Wolftrax,11 ay önce,0
so proud of Justine for getting this interview!,T,11 ay önce,1
"such a great and nice interview, loved it!",Biagio S,9 ay önce,0
This was a great interview…big fan of Tim and the Apple team huge iPhone fan and I’m glad this was posted. Thx  for this video ,DreyWatson,11 ay önce,0
"Amazing how Apple have finally acknowledged Justine’s influence and passion for the company. Justine, you’ve come so far it’s honestly so inspiring ",VloggingThing,11 ay önce,6
I have been in love with Apple since 2007. I just love them. Awesome interview. Love from India,Ati,11 ay önce,2
I love these conversations with Tim!,Brandon Williams,11 ay önce,1
Hi Justine. I never comment on anything. But I just wanted to tell you that I’m really proud of you. I’m a fan of people that stay consistent with what they do and to see that someone who really works hard and land an interview like this one lets me know that hard work really pays off. All the best to you and you have a career in interviewing people and gaining their trust. Keep up the good work. P,Tina - ɢᴇᴛᴛɪɴɢ ʀᴇᴀᴅʏ ғᴏʀ ʟɪᴠᴇ sᴇᴇ ᴍʏ ᴄʜᴀɴɴᴇʟ,11 ay önce,3
Super proud of you Justine! ,Lux_Tech,11 ay önce,1
You are so good at doing these high profile interviews!!!,Gui Benites,11 ay önce,0
I've been following iJustine since 2007 and she truly was the number 1 apple fan on Youtube (when channel customisation was at an all time high). It only makes sense that this video was eventually going to be made,Kiron Kabir,11 ay önce,33
The Apple watch is my favorite Apple product by quite a large margin. Its really fantastic and is a major motivating factor in me being more active.,macpac22,11 ay önce,1
So happy for you to get the interview and so awesome of Tim to be accessible!,Phillip Paree,11 ay önce,0
Cool interview !   Now I want a mini!   Tim is an inspiration to keep in shape.,Pete Roszell,11 ay önce (düzenlendi),1
Amazing and really appreciated interview Justine. Any chance that one day an iPad mini Pro be released? This will be really impactful in divers professional environments. Cheers.,brouztube8,11 ay önce,0
Wow that is an amazing thing from tim to accept interviews with youtubers and tech reviewers instead of journalists and press websites :),,11 ay önce,0
"That was awesome to see!!! Had me smiling the whole time too! Today marked the first year without my mom here to share the excitement with cause we would always be talking about the new phones and colors and such…. You bet I’m gonna try to snag a pro max on Friday. Love you Justine, keep up the good work cause I always enjoy your videos :D",Mooresheri,11 ay önce,6
"Great interview, and nice seeing Tim Cook on the channel.",Ron Brown,11 ay önce,0
"Oh my God, what an amazing opportunity! So grateful you included us. Thank you!",Robert Fleming,11 ay önce,0
WWDC2020 was my first Apple Event and I have seen every one since!  I really hope that I can see an In-Person event eventually!,Nick Brown,11 ay önce,3
Tim is so good at never telling us what apple has planned for the future ,Emreaayd,11 ay önce,0
I’m jealous that you got to speak with Tim Cook himself!  What an experience that has got to be!,Leah Dykema,11 ay önce,1
I love how Justine got to talk to him I imagine how nervous she was,WavieFiji,11 ay önce,113
Thanks for making this possible! apple every time feels more human and I love it!!,Leonardo yezante,11 ay önce,0
"I'm excited for ""IPad Mini"" it's amazing especially the design and the Flash for the Camera on the back",Vladimir Ju (Gaming Channel),11 ay önce,0
"From being a young Apple fan to a succesful Youtuber interviewing Tim Cook ! Bravo Justine for your hard work, you are an inspiration ! Bonjour from Montréal !",Suzie Plourde,11 ay önce,0
