text,author,date,like
Already entered this competition but didn’t realise how huge the Swarovski helmet and sword are ,Rhys Bassett,8 ay önce,36
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,0
"Omg, is this a thing? I love iiiit! The guy I'm with just got me dragged in to Halo so I got to try the demo, after that I was obsessed! And He has always been sooo obsessed with Halo and I've always been soooo obsessed with Swarovski so it's so surreal to see these 2 doing a collab!!! :D <3",felicia thelin,8 ay önce,1
Halo was my first FPS game on Xbox and still play till this day! The Swarovski things were amazing! Want them so much!,Chris S,8 ay önce,4
"Damn , in the early 2000s I also use to go to LAN parties and play Q3 and UT2k. You are awesome Justine! Fun to find some of us old schoolers still gaming ",Mental Hellth,8 ay önce,2
"You are soooo funny  I can tell when you're seriously hyped about something, this is that, and it's the best thing ever hahahaha. Enjoy them gamin' seshes!!   Much love ",The-Brand,8 ay önce,1
Looks dope  ,Ashley Gutierrez,7 ay önce,0
"The forza controller is still the dopest!!
Back in the days 7+ years ago the halo 3 legendary was worth +- its release price ....I sold it for around that with all halo's....finally a real sise 
The stand is pretty wack tho......it needs to be floating on a black wall of desk stand",JUR O,8 ay önce (düzenlendi),0
You look the best with the helmet and your energy sword ready to slay elites! Awesome content!,Corey Chisholm,8 ay önce,2
I love your Energy Sword and Master Chief Helmet!,Miguel José,8 ay önce,2
"Hi Justine, please upload a video everyday. Your enthusiasm cures my depression.",George Saviour,8 ay önce,0
Still my all time favorite games,Zach Budnick,8 ay önce,0
"To the person reading this: Even though I don’t know you, I wish you the best of what life has to offer ",Darvin Charles,8 ay önce,12
Hi Justine! I really love your videos especially the ones with Rosanna but I just realised you played Meredith in season 6 episode 7 of the show criminal minds in 2005! And I think that’s so cool ♡,R.J Random,8 ay önce (düzenlendi),0
"Early squad  Love you lots Justine, you brighten up my day ️️️",Audrey K.,8 ay önce,0
The helmet looks so AWESOME,Sarah Widenhofer,8 ay önce,3
Halo has to be one my favorite things of all time,JL’5,8 ay önce (düzenlendi),0
"iJustine unpackaging without using a knife, what's happening ",phynx2006,7 ay önce,0
I just entered the sweepstakes for the Crystal Halo!!!!! I hope I win!!!!! ,AdamsApples999,8 ay önce,1
