text,author,date,like
"Justine is like the internet’s crazy aunt that everyone loves to invite to the family gatherings because she is so fun, but embarrasses us just a little bit by her weirdness and matching track suits",Anonymous Hippopotomus,7 ay önce (düzenlendi),121
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,6
"LIter iced packaging is such a cool idea. HP's entire gaming line is very good at handling thermal issues, unlike Dell's working like a hot pot at all times.",Redfield Chris,7 ay önce,196
"That unboxing was sooo freaking cool in the beginning!!!! (pun intended) 
Taking unboxing tech to another level. Killer marketing idea on HP's part.",Peterman Valley,7 ay önce,63
"I have an OMEN Obelisk and love it! I recently upgraded the memory to 32gb and upgraded the NVMe to 1TB. I love the design of the 45L, looks like a lot of room to play with for upgrading. The unboxing was great, loved it! I see a few ice sculpting classes in your future.",Wolftrax,7 ay önce,8
"I love how Justine thinks of a new hobby and then realizes she can’t do it in the span of 2 seconds.

Loved the video, Justine! Your genuine enthusiasm and your reactions are so endearing and entertaining! Thank you for being you! ",Jordan Bergstrom,7 ay önce,28
"Justine, this is the coolest unboxing you've done yet. Pun intended. I can't believe this computer showed up to your house in a block of ice. How cool is that?",Randy Ragsdale,7 ay önce,16
It looks like they’re finally shipping with a good motherboard this time…the 30L was average to say the best but looks like this time they’re really gonna impress a lot of people with the 45L’s cooling and performance capabilities.,James Sun,7 ay önce,19
"I’d like to imagine Justine’s neighbors being like “what’s she up to over there sweetie?”
 “Oh just being Justine…”",Caleb Blackwell,7 ay önce,21
Justine is so happy and genuine it’s just so enjoyable to watch. Lol,Nancy Urchak,7 ay önce,5
This is the coolest and most fun unboxing I’ve ever seen!,Josh,7 ay önce,4
Great pc. Hp has been killing it with the good looking pre builts,jeffscomp,7 ay önce,0
