text,author,date,like
"Thanks for watching!! If you guys have trouble accessing the site, we're working on it! :) So excited!",,8 ay önce,195
This is just what YouTube needs.  I feel like this may be even better than when Justine did music videos back in the day),Not So Daily Pets,8 ay önce,37
"Beautifully shot, nice work!",,8 ay önce,61
Justine I already knew this but you are a goddess at editing it blows my mind and those sabers are so cool looking!!!!,Stoickov Sevilla,8 ay önce,31
The production quality of this video is amazing. It feels like I'm watching a three minute movie. Great job Justine!!,Randy Ragsdale,8 ay önce,8
I love this so much!! Can't wait for more episodes!!! Your so dedicated to these lightsabers and its so cool to see you grow and learn how to swing them and twirl them in a very symbolic way.,Danny Lopez,8 ay önce,16
This is absolutely amazing!,Alexis Taskerud,8 ay önce,8
UMM WOW. This is such a cool idea and THIS VIDEO IS AMAZING!!!!,,8 ay önce,151
"Woah, this was beautifully shot and edited! I can't afford one, but I wish you all the best! Awesome product! Looking forward to future episodes :)",Scott Wallace,8 ay önce (düzenlendi),2
This was a blast to do!!! Thanks Justine for filming this epic video with me!!!,Sifu Nate,8 ay önce,15
OMG THIS IS SO EXCITING!! CONGRATULATIONS JUSTINE  I’M SO PROUD! ,David Paris,8 ay önce (düzenlendi),6
Imagine how much more badass this would look if it was shot in HDR! It would make the light saber pop even more!,NYK Fan,8 ay önce (düzenlendi),6
This is such a cool Star Wars inspired short film! And it’s for launching your new lightsaber brand as well! Which is just so cool! I’m definitely going to consider getting one! Jedi master Ezarik indeed! I can’t wait to see what you do next Justine! ,Edward Hulse,8 ay önce,10
"Id love to meet her someday! Focused, determined and consistent in her work flow. Also, Jenba is ultra relatable and Matty is a precious boy",MAK reacts,8 ay önce,1
great job love episode 1.... looking forward to episode 2,gilbert ramos,8 ay önce,0
Justine I love your videos you’ve got some good saber skills ️,Sam Hobbo,8 ay önce,1
Ok I LOVE THIS! I remember taking two years of film classes in HS and I wish we had this type of equipment back then.,Tamsuii,8 ay önce,0
I WANTED MORE!!!! I was ready to grab the popcorn.. We need a feature length lol... Amazing Justine.,Keet,8 ay önce,2
She made it so good.  Editing was So fascinating. So thrilled to watch the next episode:),don't show off but be humble:),8 ay önce,0
Those dusk time shots look amazing!,Jamshir Goorabian,8 ay önce,1
I'm so pumped for this! So glad you did this!,ZAKtalks TECH,8 ay önce,0
I love it! It was like I was watching star wars all over again! Thanks for sharing :),Autumn Prestwood,8 ay önce,0
"Absolutely awesome. I loved every minute of it. Such talent, such grace and fluidity.",Ernie Jurado,8 ay önce,1
"Nathan,
Wonderful cinematography!
You made her a warrior!
IJay,",Torsee,8 ay önce,0
I'm not into sabers but I want one now because it's iJustine's !!!  Awesome video!,Christine IC Vlogs,8 ay önce,1
I know this might be the first episode but I feel like she's come so far,Alexander uchiha,8 ay önce (düzenlendi),2
"Sincerely, I would love to see Justine trying new things aside tech videos.",Caio Bessa,8 ay önce,0
The ability of Justine to make cinema worth videos I love this,Emma Rae,8 ay önce,0
That's the reason why we love you!  keep doing things like that... and I will following every chapter. Is just amazing work,Ingenio Digital,8 ay önce,1
"Love to hear more of the sound, it would also be interesting to know if it know when two blades are touching and sliding down against each other like in the movies. Almost like a short-circuit sound effect",1one6sixth,7 ay önce,1
Too cool! Congratulations on your latest project and product! ,Mu Draconis,8 ay önce,0
Beautifully shot ,Sean T,8 ay önce,0
"Damn, that was really well done.",Niinja Slayer,8 ay önce,1
"Wow, this is so cool. In adition to everything you do you are also a jedi now ",Ivan Cro,8 ay önce,1
This was an absolute work of art.,Robert Kirby,8 ay önce,0
Excellent video!! Truly amazed!!,Ethan Corsbie,8 ay önce,0
"General Grievous: Your lightsabers will make a fine addition to my collection!
Also love the pink color of your lightsaber! Reminds me of the Needler's shards from Halo. Now my head cannon is basically the Lightsaber is made from Needler crystals of Blamite and whenever it comes into contact with another lightsaber, it explodes with pink mist",Amith Abraham,8 ay önce (düzenlendi),0
"Powerful you have become Justine. Strong with the force, you are.",Mark SW,8 ay önce,2
That was soooooo freaking COOL AHH LOVED IT MY KIDS WILL LOVE THESE ,Melvin Ramos,8 ay önce,0
Thank you Justine for making an awful week so much better.,Sebastian De Witt,8 ay önce,1
Ur killing this ijustine ️,JJ J,8 ay önce,0
Great story and great product! Loved hearing my music in the opening scene :D,Jakub Pietras,8 ay önce,0
This has me on the edge of my seat for the inevitable iJ knife drop! ,Lindsay Daly,8 ay önce,0
Okay well this is so dope!! Love this for real,Johnny Cash III,8 ay önce,0
This short film u created Justine. Was abosutly outstanding!!!!!! Amazing job well done.,CreatieveSteve619,8 ay önce,0
"3:04 reminds me of that sequence when Anakin and Obi-Wan are fighting over the lava on Mustafar, maybe it's the exact same combination of moves. The saber design in black especially catches my eye",Stallzy,8 ay önce,1
I love thumbnail and the music and scenes are awesome this is so cool! ,Flash,8 ay önce (düzenlendi),0
This is so cool Justine ,Ben Espinosa,8 ay önce,1
iJustine is the first one to get the brand new iSaber! So lovely ,wakan_,8 ay önce,0
Just that was like watching a movie dam I wish it was I really like the way you put that together and the music very impressed ,Djflossy,8 ay önce,0
I am shocked! How are you so good at this?!,Jakub Mielniczek,8 ay önce (düzenlendi),1
holy sheets of paper...i am so happy for you justine. this is SO COOL,kara,8 ay önce,0
"Justine I feel like you should try spinning flow toys!!! Your flow with these sabers is really really good, and could totally be used for flow toys like pod poi, buugeng staffs, or regular staffs!",,7 ay önce,1
"Love the tension developed at the start of the video, leading to wondering what were going to see. Then some really nice Carenza and sword play",Leigh Richardson,8 ay önce,1
Deserves an academy award ,Joaquin Kileleman,8 ay önce,0
"A gradient would be nice to add realism to it, like if there's yellow for the Gold one, add orange by 30% where 70% is yellow light from the polar ends.",Avieshek,8 ay önce,0
"Omg am I dreaming?!?! An iJustine official lightsaber. Guess I know where my Christmas savings will be going. (for those of you saying not to, I’ve already got other sabers already lmao)",LightHope420,8 ay önce (düzenlendi),7
Spectacular!!️,JellyandJam,8 ay önce,0
"Here’s a short story I came up with to accompany this short film for the launch of Justine’s lightsaber brand! I hope you all enjoy it!

“It was a beautiful day on the planet of Kracatun where former Jedi Master Ezarik was in hiding from the tyranny of the ever expanding galactic empire. Suddenly she felt as if a voice was calling out to her, a pulse she hadn’t sensed in a long time… the force. She decided to investigate where the voice was coming from, so she picked up her lightsaber and set off on a long trek across the planet’s surface. As she traversed the harsh terrain of the planet and got closer and closer to the source of the voice, flashbacks to her time fending off the clones after order 66 became more and more prevalent. Was she really ready to be heading back into the life she tried so hard to leave behind? also she couldn’t help but feel like someone or something was watching her from a distance. Eventually she found where the voice had led her to. It was… a lightsaber? Suddenly she felt a presence behind her, she gripped the Saber tightly and turned around only to see her old friend Jedi Master Young who had recently come back from an expedition on Coruscant to practice some more of the Jedi arts with her. They duelled into the evening practicing different forms of combat stances and attuning their solo connections to the force as well. But Young ventured too far from their camp and found himself in a part of the planet consumed by the dark side of the force, and when he emerged, he was not the same as he once was. Meanwhile Master Ezarik was finishing up her training session when suddenly she felt something swing towards her back, she turned around, blocked the attack with her Saber and suddenly she froze in shock as she looked into the eyes of the man who was Jedi Master Young and all she could see was his eyes glowing red and yellow with the power of the dark side. She knew right then and there, this would be a battle for her life. All of a sudden the practice duel had become very real, as the battle raged on into the night, she was blocking attacks left and right, sparks flying from the colliding sabers, hoping to exhaust her opponent but it was no use, Young wasn’t tiring and she knew this battle couldn’t last forever, but just as it seemed all hope was lost, she remembered she had got something to beat him with, that no one else had…” (to be continued in Episode 2!)",Edward Hulse,8 ay önce (düzenlendi),0
I'm enjoying your IJ series saber!,Miguel José,8 ay önce,0
"Why I love Justine - she caters for the hard of hearing viewers like myself - I normally have to wait a day or 2 after her uploads for the captions option to show up but they always do, every one of her videos has English captions to help out viewers like myself. Thank you Justine, you're the best!",U A,5 ay önce,1
"Outstanding Justine!! Wow!!! Now you should upload a ""making of"" video so we can see some behind-the-scenes footage.",Bulletin Blair,8 ay önce,1
May the Force be with you! ️Always! I enjoyed Ep 1.,Johnston Wise,8 ay önce,3
If they're as durable as you say they are then these are pretty cool.,Dante,8 ay önce,0
Nice work ,KeVic,8 ay önce,1
WOW. Awesome video! I think we need a new emoji or two for channel members! ,Jordan Bergstrom,8 ay önce,0
The video is very nice but the music is on another level well done justine ,BlackWidow,8 ay önce,0
Phenomenal! ….justine u r my inspiration to learn lightsabers,JOY JOY,8 ay önce,1
"May the force be with you, Justine.",Tony Rodriguez,8 ay önce,2
"Unbelievable ! That was flawless. My god Justine, I'm so blown away",My Eighty six thousand Four Hundred Sec,8 ay önce,1
This is so cool! ,ihope idream,8 ay önce,0
we want episode 2 <3 awesoomee,Ricardo A. Acosta,1 ay önce,1
Love it Justine!,Joakim Tollerud,8 ay önce,0
"Seriously, who shot this? Sony them selves. Bravo    Could of watched this for ages.",craig clough,8 ay önce,0
"wow this video is amazing, good job Justine",LITTLE EUGENE,8 ay önce,1
"I love this Ijustine, amazing",Sachin Kambadur,8 ay önce,0
Nice job!,hitmhard,8 ay önce,0
"Justine, this video is EPIC!",Luke Chung,8 ay önce,0
Justine is a master at the spin,Atwine Jonathan,8 ay önce,0
SOOO COOL SOOO PROUD OF YOU,alyssa susan,8 ay önce,0
"You really might get to edit the next Star Wars movie 

This was so good!!",P Venkat,8 ay önce,0
Fantastic!,,8 ay önce,26
Ok I gotta say that this vid was SO FREAKING COOOL!!!,Z00mIffy,8 ay önce,1
Showing off your saber skills.  Impressive.  Most impressive...,Nathan Kim,8 ay önce,1
"Justine did more training in this video than Rey did in the entire Star Wars franchise.
Haha",Sean Kanoog,8 ay önce,1
Wow ofc she did this. Great idea also on the business side,None,8 ay önce (düzenlendi),0
This was awesome. When will Episode 2 be out?,VideoGameRoom32,8 ay önce,1
THIS IS SO GOOD WHERE CAN I BUY ONE???,Chrinsj,8 ay önce,0
Awesome job justine,AwesomeAdam From 2099,8 ay önce,1
Amazing!,Monty Rock,8 ay önce,0
This is so cool!!,William Wise,8 ay önce,0
Wow!! That’s so dope!! For being 40 you look in great shape!! Keep up the work.,SiR Pudge,8 ay önce,1
I absolutely love this video ,Marcus Gregory,6 ay önce,1
"Loved it , so talented …..",Tonsoguns,8 ay önce,1
Super fun!,Relax Escape 20,8 ay önce,2
Congrats Justine!!,Wyatt,8 ay önce,1
The force is strong with this one.,Doc Trower,8 ay önce,0
beautifully shot!,Archie Gee,8 ay önce,2
"She training to be in the next Star Wars show, and no one can tell me differently !!",GingeyMC,8 ay önce,0
"Very Well Done!  This reminds me of Walle, but Better=)",Michael Skinner,8 ay önce,0
"Did I miss something Justine????
This looks cool :O",Umair Qurayshi,8 ay önce,1
So cool! So glowing!,Jullian Ball,8 ay önce,0
This just makes me Adore you more!,Fasnic,8 ay önce,0
"And it doesn't remind me of a very specific popular movie...
Anyway very creative video and very nice editing  ",BLUESKY🎧,8 ay önce,0
Such skill & incredible video !,R VB,8 ay önce,1
LMAO! What an adventure movie!!!!! Who directs this movie? So awesome!  Mikey loves it!,Joseph Pup,8 ay önce,0
"Better than the sequels, I dig it.",SuperParty94,8 ay önce,0
Very cool Justine! Will there be a Princess Leia cosplay video with this saber?,AL,8 ay önce,1
Nice video iJ!,Campwise05,8 ay önce,0
You should make an episode 2 of this!,Djrock gaming,4 ay önce,1
Soooo cool!!!,,8 ay önce,23
Hey @iJustine ! I do saber sound designing and I'd love to do some mixes for your videos.,Kyberphonic,8 ay önce,0
I had an idea it would be a lightsaber video!!!,ThatStarWarsGuyyy,8 ay önce,1
This will 100000000% get 100M views! Your videos are the best iJ! Great videoooo! :D,Arav Arora,8 ay önce,0
"That was really awesome,it was like watching a dance battle.",Ama burco,8 ay önce,1
As a 13 year old this is amazing,Jimmy Nutron,8 ay önce,0
I assume that guy is her sword trainer. Both have impressive skills with handling swords.,MR. HECKER CODM,8 ay önce,0
This felt like a Netflix movie trailer! Beautiful work ijusine!,TechManiac,8 ay önce,1
May the force be with you Justine,Edward Sanchez Productions,8 ay önce,2
You seem like a pretty good fighter ,Micheal Teju,8 ay önce,0
Best vid I have ever seen Justine! I have been watching your vids for 8 years now! You’re the best YouTubers out there! I really wish I can do a collaboration with you..I like reviewing gadgets like you but no one is supportive….all thanks to you to Justine have a wonderful day…,LX MUSIC-LXM BASS BOOSTED,8 ay önce,1
WOAH This is going to be epic,Cullen H,8 ay önce,0
I’m so happy about this,Lucas lacasse,8 ay önce,0
Awesome ,Incredible Hollywood,8 ay önce,0
ijustine……..may the force be with you…always,NorthMan13,8 ay önce,0
What in the tomb raider is going on here  this looks amazing,DMV Moolah,8 ay önce,0
I LOVE THIS,Corgi,8 ay önce,0
Amazing! ,Sydney Helton,8 ay önce,1
because of this.. now i want to have one..,Von Mercs,8 ay önce,0
This could be a movie the way Its choreographed and its done in the dark is really beautiful,🐲 My Kitten Is A Black Belt 🐉,8 ay önce,1
That’s awesome,Max,8 ay önce,0
"God, I love the soundtrack!",☯︎︎.。Mǝ&Bubble°,8 ay önce,1
so good!,TimotheousMaximus,8 ay önce,0
This is really great video!,Ilpo Heikkilä,8 ay önce,1
I recognize that Galaxy’s Edge lightsaber bag.,Tim Redbeard,8 ay önce,0
THAT WAS SO COOL,that one tombstone,8 ay önce,0
"Well done. Also, I think Justine is a bit of a hammy nerd. =)",Theorica,8 ay önce,0
"I waiting for the episode where limbs are actually severed and stuff.  Otherwise, great episode! ;)",μολὼν λαβέ,8 ay önce,0
OMG that's so cool,Methuka Artigala,8 ay önce,0
Freaking fire. Kept it up,Hamza Shaebi,6 ay önce,1
Woah! Ok that was awesome.,Brian Moretti,8 ay önce,0
Fun fact; Sifu Nate founded the only lightsaber martial art recognized as an actually sport,ToKenBrwnKid,8 ay önce,1
"This is the Rey Skywalker we want, we NEED ",padawan mario,8 ay önce,0
holy shit you have a tun of skill respect,luteet,8 ay önce,0
Oh my! So epic!,TP Nikumatti,8 ay önce,1
Where did you find the gold box cutter?,Tracey Lankford,8 ay önce,0
Can Justine please be in a Star Wars Spin-off with Roe?!?!,Dis Familia,8 ay önce,0
THE FIGHT WAS SO COOL!!!,owen fox,8 ay önce,0
So coool!,Thanh Hieu,8 ay önce,0
This is so good,JellyDumCat,8 ay önce,0
Nice ,amirreza 1287,8 ay önce,0
"it's incredible, all that's missing is the sparks",Cheick Sylla,8 ay önce,3
I thought Donda was going to start playing ,sebmeza,8 ay önce,2
The Legend of iJustine,FABRIC.SOUNDZ,8 ay önce,1
Nah this was way too fire  ,Lavell Allen,8 ay önce,1
Great shot,Red Sharma,8 ay önce,0
Awesome Awesome Awesome short film gotta get me a light saber and defend the Jedi against the sith ️,curtiscdragon,8 ay önce,0
How bada55 is iJustine swinging a lightsaber ,ecopenny,8 ay önce,0
Bet Ezarik 2.0 will have to bring one out.,JAW21,8 ay önce,1
Love it,Swedishhammerdad,7 ay önce,1
That’s so coooool,FairPlayerEN,8 ay önce,0
"Congrats, what a cool product must YouTubers bring out clothes you bring out a lightsaber aha",Dylan Wilson,8 ay önce,0
Amazin!  Daaaamn look at you go!,LORDbibby42,8 ay önce (düzenlendi),1
Best video ever!,LookingGlass,8 ay önce,0
Beautiful,Patrick KH,8 ay önce,1
I want to see the bloopers.,Nisco Racing,8 ay önce,1
I LOVE YOU JUSTINE YOU ARE MY QUEEN THAT I SHALL SERVE FOR ETERNITY ,dev,8 ay önce,0
Yesssss more more more!!,Nurse David,7 ay önce,1
Ik this isn't supposed to be funny but I haven't laughed so much in a while,António Gentil D'Abreu,8 ay önce,0
This was INCREDIBLE,joseph M,8 ay önce,1
The editing: YES,iSkaarf,8 ay önce,0
Lit IJustine you can be a character in Jedi Fallen order 2 ,Chris Green,8 ay önce,0
Gotta love that inner Child.,FuelandFire,8 ay önce,0
"Am so proud of you, yr making movies now",Kingsley,8 ay önce,0
"There is no emotion, there is peace. There is no ignorance, there is knowledge. There is no passion, there is serenity.",JUR O,8 ay önce,0
Finally a video that doesn't involve a product promotion!   Well sort of....,Alan Hightower,8 ay önce,1
"This is really cool,you should fight jenna lol.",William Patrie,8 ay önce,0
Is there neopixel? So excited!,Lol,8 ay önce,0
JUSTINE IS A REAL JEDI NOW!,Rman Nayr,8 ay önce,1
Who does your camera work? It's very well done. I'm a camera operator.,VideoGameRoom32,8 ay önce,1
May the force be with you,Benjen,8 ay önce,1
This is nothing. They can't hurt you. Use Samurai swords.,Saul Goodman,8 ay önce,0
just had an entire mental breakdown and ugly cried  - this is beautiful,Miriska Francis,5 ay önce,1
"I am not kidding you should really be in the movies, the rays of the sun was amazing on your face",Paras Singh,8 ay önce,0
What A Thrill!  It is Fantastic!,Joseph Dubois 1,8 ay önce,1
Nice!,Stéphane Selikoz,8 ay önce,0
"Beautiful MOVES.
Beautiful MUSIC.",Franz Rabe,8 ay önce,2
Now you need to get together with Corridor Digital.,Rolan Castaneda,8 ay önce,0
"UMMMMM, WHAT????????? This is so rad Justine!!!!!",,8 ay önce,3
You are fit to be an actress in Hollywood,صلاح شعيب Salahshaib,8 ay önce,1
"""Jedi Master Justine"" has a nice ring to it. ",Ramon Zarat,8 ay önce,0
So are you going to take me up on my kendo offer. I have been training for about a decade now. I promise it will severely boost your saber abilities. And that can be done remotely(the training). After passing down my knowledge that my teacher bestowed upon me. I could work my sword like a a nunchucku. I can teach you the secret to “swing soft cut hard”,TheOutsidersPost,8 ay önce,1
Awesome... You handle it better than Daisy Ridley!!!,George Koufakis,7 ay önce,1
"Justine, what battle are you training for?",George Saviour,8 ay önce,1
You should add some monologue as well it will make it so much better,Unicorn 25,8 ay önce (düzenlendi),2
THIS IS SO NICE I LIKE THIS JUSTINE,Nugget Nutella Neeraj,8 ay önce,0
Dope.,Mizosoop,7 ay önce,1
"A Long Time Ago In A Galaxy Far Far Away

Episode I - The Coming of Darth Kiraze",Cobinja,8 ay önce,1
That’s dope tech,Sarae Karyn,8 ay önce,0
"Thanks for watching!! If you guys have trouble accessing the site, we're working on it! :) So excited!",Miss-- Go To My ChanneI! L!VE NOW,8 ay önce,0
"To the person reading this: Even though I don’t know you, I wish you the best of what life has to offer ",Darvin Charles,8 ay önce,3
"WOW, so close to 7 million!!!",vogue126,8 ay önce,0
Epic ,winterburden,8 ay önce,0
Wow this is realy beatifull,Hubert Kabelis,8 ay önce,0
GREAT VIDEO!!!!,Andrew Ward,6 ay önce,1
Are these the lightsaber fights you talked about from Hawaii?,Bubble_tea4_life,8 ay önce,1
If this was shot by an Iphone i would be sooooooo amazed,youroncetea,8 ay önce,1
I wish raves would come back just for this product :/,Adamantium T.,8 ay önce,0
Practice made you perfect and now a movie..,Vegan Moon,8 ay önce,0
"Song name, please? For us, soundtrack lovers out there :D",Alexa B,8 ay önce,0
Awesomeness !!,Randall Cunningham Jr.,8 ay önce,1
When is episode 2 coming out?? ,Fei-lin Montijo,3 ay önce,1
,Apple Watch Bands,7 ay önce,1
May the Swartz be with you,Hajime,8 ay önce,1
"Is this the new starwars movie?
When did this came out?
New main characters?
Jokes aside, u really know how to play with swords I mean light sabers ofc xd",Waiyan Nyein,8 ay önce,0
Maybe u can play the next Big Thing in the upcoming trilogies.....Hey Lucas....hire her!!! ,Sagnik Dasgupta,8 ay önce,0
the force be with u,cris snickers_frog,8 ay önce,0
Justine has sick moves,Veronica Chua,8 ay önce,1
Nice video. Shout out to you.,R-Rod,8 ay önce,0
,KAYAL PHOTOGRAPHER,8 ay önce,0
You need a tri-saber...,Michael Skinner,8 ay önce (düzenlendi),0
Light sabers!  Gotta find them all!,NorthTexan95,8 ay önce,1
oh wow! loghtsabers arent that common in my country,Peter Perme,7 ay önce,1
,Christopher Reese,8 ay önce,0
,Tech Views By Vrishin,8 ay önce,0
