text,author,date,like
Throwback to when Justine had to camp outside of the Apple store ,fqntqstic lcgcnd,11 ay önce,939
It would be almost a perfect phone if they added a function that you can switch from the back to front camera WHILE recording. Apple hear me out on this one.,Ay S,10 ay önce,613
"Nothing puts a bigger smile on Justine's face than seeing each year's iPhone for the first time! 

It's so funny but wholesome at the same time. ",,11 ay önce,"1,4 B"
I LOVE how Apple keeps making new iPhones and technology I’m amazed! Im curious what the iPhone 14 is going to look like. And I’m also surprised so Justine has almost EVERYTHING made by Apple.,Gabicookie,9 ay önce,99
"The Sierra blue looks STUNNING!! I ordered it and was a little unsure because I love the darker pacific blue, but this reminds me of the Pearl blue on the game boy advance SP which I LOVE. I’m so excited for Friday!!!!",camerakid92,11 ay önce,849
"Having the mini, I really can’t imagine having any other size! I went from an 11 pro max, it was the best decision, and I hope that apple keeps the squared edge design. It added so much nostalgia as if I had an iPhone 4 or 5 again!",Emily Davis,11 ay önce,76
Everybody that truly watches your content and keeps coming back loves your enthusiasm and hype towards Apple products. Don't change! That is maybe why the started watching you in the first place. ,Tomás Santiago Mamede,11 ay önce,517
Ive always loved her energy . She gets excited about iPhones like I do about shoes ,jaquan powell,11 ay önce,461
Justine's energy level is more than the upgrades on the iPhone's.. her videos are just so awesome !!,Reaz Ahmad,11 ay önce,169
Her pronunciation of English words is perfect and clear as I am a foreign listener. Best reviewer ever.,nablyongamer,11 ay önce,400
Wow that Sierra blue looks so sleek! I'm glad I chose that color. I already got my Apple Silicone Magsafe Abyss Blue case to go with it! I can't wait for Friday! ,Stephanie,11 ay önce,265
"I got my first iPhone last year because of the Mini, so glad that Apple realized some people still value small.",DeeterOnTop,10 ay önce,18
"At first I was like ""why is she censoring ""siri"" then I thought about it SHE'S NOT TRYING TO ACTIVATE OURS IF SHE'S PLAYING THROUGH SPEAKERS. A QUEEN",Pyper,11 ay önce,553
"Great video Justine!  I love all the new colors, So glad it's finally tech season!! ",CashAustin,11 ay önce,0
the color pink is so gorgeous,,11 ay önce,985
This unboxing and whole video editing was so beautiful to watch ️ . Enjoyed it ,Ramesh Kumar,11 ay önce,1
I always love coming to watch you review apple products it’s always fun to watch,Diana45251,11 ay önce,10
"I’m so happy Apple sent the Midnight mini and the clover case! This is the combo I was going for, so great to see this together ",Callum John Edwards-Williams,11 ay önce,13
Thanks Justine for making this video! I was unsure of what was in the box because I used to use Samsung and androids! Keep up the incredible work Justine!! <3,ily,11 ay önce,0
loveee the unboxings!!!! they r so good and i learn from them !!!! thank you for doing the unboxings n telling me what r the specs of the product!!! iloveyou justine ,Emily Loh,11 ay önce,1
"I just want to say thank you Justine for censoring the ""hey siri"" portions of the video because all of my apple tech in the room would have gone crazy ",Cameron Phillips,10 ay önce,52
this is so exciting! thank you queen for all the content you do!!,MikePDG,11 ay önce,16
"Justine, your excitement is contagious, I'm getting excited again to get my iPhone on Friday!!!
Also I'm pretty sure the MagSafe wallet just triggers the iPhone in software to mark its location whenever it's removed from the phone",superfragilisticatexpialidoshmur,11 ay önce (düzenlendi),0
I love the amount of energy and passion Justine invests in her videos.,Randy Ragsdale,11 ay önce,16
"I love Justine’s humour   also I’m going to Europe tomorrow and it would have been great to use this camera for videos and pictures on the new 13 Pro Max, I guess my 11 Pro Max would do for now! ",Dayan Lahera Mayo,11 ay önce,39
I used to like the 12 boxes more than 13 but I love the all of them ,Jimena Cruz,11 ay önce,0
