text,author,date,like
"I've gotta say, I've watched a ton of reviews but this one really showed how a regular person would use the phone. Thanks for highlighting all the cool aspects an average consumer would fangirl about!",That Junior Church Teacher,11 ay önce,538
"The quality of content, scripting and just the way it is finally exported is just amazing. Your content is just getting better day-by-day. Amen on that. More blessing to you. I love watching both of your sisters' content and I actually wait for your videos and final thoughts on products. The fun way you enjoy your work and smiling and jolly nature is just pure bliss. Keep up the good work. Also, You are beautiful, P E R I O D.",Ankit Khanna,11 ay önce (düzenlendi),103
This just made me 10 times more excited for this phone seeing how all the new camera features actually work on real life situations.,James Sheridan,11 ay önce,67
"Wow..Justine, you really are a true INFLUENCER. Until I watched your video, I thought there was literally no difference between 12 and 13, at least in terms of designwise and a slight upgrade. However, the quality of your video that gives us a general rundown made me change my mind. It’s about time upgraded my iphone 8 plus. Thanks, Justine!",Dan Lee,11 ay önce,73
"By the way, that phone's cams is super impressive. I'm more impressed with what I've seen in this video than the promotional one, honestly. I'll be grabbing one as soon as Filmic, Moment and Beastgrip get their gear for it.",Nathan Walton,11 ay önce,46
I think Macro and Cinematic mode are gonna be so fun to play with! Thanks for showing us camera tests!,CHITUS💙⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻,11 ay önce,12
"Can we just take a moment to appreciate the production quality of this video. The music, the editing, the overall experience. Excellent job and so much better than a talking head just pontificating on the phones. I wanna see them being used in the wild and iJustine delivered :)",Nick Simard,11 ay önce,290
"Amazing video, I love the work you put into all of your vids. Also, that cinematic mode is looking really cool, definitely considering upgrading.",390,11 ay önce,6
this camera testing video is so fun to watch!! youre able to demonstrate the features casually and in such a fun way,Iskandar Zulkarnaen,11 ay önce,15
Such a great review. You did an amazing job! I’m loving the 13s camera ,Kaycee Bishop,11 ay önce,5
I thought cinematic mode would not be so good. But now I'm impressed. The focus tracking is nice.,Just a stranger,11 ay önce,3
l never watch a full video of tech reviews because I get bored-but I enjoyed this so much- the visuals the music and the vibe was wonderful. Great job. Can’t wait for my phone to arrive.,The Mexican Viking,11 ay önce,2
Did NOT expect cinematic mode to look THAT good,,11 ay önce,"1,1 B"
Awesome video Justine :) your production just gets better and better! Always love to hear you’re thoughts about the new iPhones ,dualnon,11 ay önce,3
Fantastic video! Very well shot and put together. Just what I was looking for. Thank you and keep up the great work! :),Grant Hartley,11 ay önce,3
