text,author,date,like
EXACTLY!!! You don’t need to upgrade your phone every year just because a new phone is released. Nobody is forcing you to.,Soy Sauce,11 ay önce,160
As someone currently still using an iPhone 7 I am very excited to upgrade! I also don’t have much of a choice at this point with how bad my battery is. Trying to decide which phone to go with is the hardest! The only thing I know for sure is it won’t be the pro max because it’s far too big. I have an iPad for a reason.,Marissa Lordahl,11 ay önce,588
"Ordered my 13 pro today, upgrading from iphone X, excited to see this 120hz display (never experienced) and really excited to see upgraded camera, 4 years of evolution should be pretty epic! ",Pearley,11 ay önce,80
"I wish they had a pink for the Pro too, then i wouldn't have a hard time choosing between the 13 pink and the blue or silver 13pro ",Farra Elena,11 ay önce,491
"I appreciate the emphasis on not needing to upgrade every year- Apple gets an unfair amount of pressure on them to make a crazy phone every single rear… this is a normal yearly improvement. Keep in mind, the more recent your phone model is, the longer it’s lifespan is… so you really don’t need a new phone for several years nowadays. So who cares if the iPhone is boring for ONE year.  
From a company standpoint, it’s about longevity too. If they give us everything in one phone, nobody will upgrade again. They have to pace themselves",SketchTheParadigm York,11 ay önce,517
"I'm low-key beginning to wonder if Apple is just holding those features as an ace up their sleeve. If sales of the new iPhone start to drop, they can unveil a new and revolutionary iPhone, with USB-C and always-on display.",jimmy,11 ay önce,28
This is incredible. I am really looking forward to the cinematic mode feature. Opens many doors for creatives! I am going to get the Pro when it comes out. The colors are so pretty. I’ll have a tough time choosing! Thanks for keeping us up to date on the latest tech Justine ,Tallia B,11 ay önce,149
"Don’t get me wrong, the upgrades are great. I actually like the adaptive refresh rate more than the ability to go up to 120hz. But other than that single feature, yes it’s the same phone. I also really like the Starlight color.",Niinja Slayer,11 ay önce,27
"Me too! I’ve always gotten the Max, specifically for the better camera. But now that’s it’s the same camera for both Pro models, im definitely gonna just go for the regular 13 Pro. Tired of carrying this huge heavy phone around lol",Alex Mancha,11 ay önce,32
Thanks for your iPhone videos Justine. Always look forward to them. You make everything so easy to understand and like to see things form the perspective of a content creator,312Ironhide,11 ay önce,9
Thanks for your input. Was very informative especially as I am going to be upgrading from an 8 and was going back and forth between the 12 and 13 but have now landed on the 13. You rock,Daniel Frysh,11 ay önce,11
"I have a 11 pro max that has a cracked screen under my screen protector so mostly unnoticeable, but still an upgrade seems to be in the future with all these great camera features because that is a lot of what I primarily use my phone for",Peter Neufeld,11 ay önce,0
