text,author,date,like
"Justine should host the apple events, she’d be great",Luke Pasqualotto,11 ay önce,"1,1 B"
More excited for Justine’s coverage than I was for the event,Ariel Brown,11 ay önce,438
I appreciate your optimism. I wasn’t that excited but the iPad mini was the highlight for sure and something I would get.,chipotleman,11 ay önce,245
Didn't see the event. That was a great overview. Nothing overly exciting that would trigger a needed upgrade...but some nice products to consider if your devices are a few generations old.,ThatGuyJunJun,11 ay önce,130
"You've been such a good ambassador to the Apple brand, I think it's awesome that Tim Cook did an interview with you.  You should be on their payroll.",ZCT808,11 ay önce,18
"I hope they keep changing up how they make these events. Try one with a story where the uses of the devices work in concert. They did this some with the apple house which was fun to watch, it also made me want a house designed like that.",Mark O'Connell,11 ay önce (düzenlendi),21
"justine thank youu for updating us on everything each year and congrats on everything, we love youu queen",M,11 ay önce,26
"I'm really liking that iPad mini. Ohh... that's why Tim talked about fall detection when you asked him about bike riding. It's cause the video showed a bike rider falling down. I was like, ""huh? I ride a bike and I don't fall down. Does he think we fall down a lot? BMX yeah, but I don't do that."" Very good follow up video!",Sunfrog,11 ay önce,95
The only thing I’m interested in is the iPad mini and it got stereo speakers in landscape mode . FINALLY!!! They got smart after sooo long because everyone uses landscape mode!!,Common Item,11 ay önce,19
"Every time I watch a iJustine video, I just feel calm, I really don’t know why! Keep up the content Justine!",Snezbo,11 ay önce,30
"While I appreciate the notable upgrades this year, the 120hz refresh rates, smaller notch and camera upgrades, I’m sorely disappointed with the absence of always on display functionality. I’ve accepted the reality that Touch ID isn’t coming this year based on leaks and rumors but the least they could do is implement the always on display mode. I’m always leaning towards bigger screen phones and whether I’m getting this year’s iteration, Pro Max will always be my top choice and I was 100% sure that I’m grabbing it until I’ve watched live Apple event streaming. Felt it was underwhelming. I expected a lil bit more and I’m now confused whether I’ll scoop the 13 Pro Max or just wait for another year. I got let down once again.",Robert Louise Baker-Hyde,11 ay önce,51
"Thank you for the Apple update as I haven’t had time to watch the event. Can’t wait to order my iPhone 13 Pro  Please invite Ro to one of the friend workouts! I know she’s not a Tech YouTuber but she would be a great addition to the video because, let’s face it, she’s adorable ",Stephanie Borg,11 ay önce,1
You explained Apple's event clearer and better than anyone on Youtube! Great job Justine!,Amel Mariano,11 ay önce,4
I'm soo excited about these new iphones and iPads! I wanna get a couple of these.,Ning745,11 ay önce,11
"I'm anticipating November for the Series 7. I'd expect it to be similar to Fitness+'s rollout, it was quite late into fall.",superfragilisticatexpialidoshmur,11 ay önce,0
the fact that i’ve been watching her for years is crazy to me. literally my favorite tech YouTuber,Bry’Antanae,11 ay önce,0
love what u so to keep me updated on technology!!!! lovee your tech videos justine ️,Emily Loh,11 ay önce,0
Hey Justin. I'm a big fan of your videos. I'm soo glad that I found your channel. Thank you so much for making videos like this. It's really helpful and informative.,Meghana Krishna,11 ay önce,1
Thank you for keeping us up to date Justine on all the latest things happening in tech.,Randy Ragsdale,11 ay önce,0
You did a great job with the interview with Tim Cook,Edward Sanchez Productions,11 ay önce,0
"I have been thinking why I love your videos a lot, and I realized that it is because your videos always celebrates tech without all the negative stuff, dissatisfaction, etc. I love you Justine!",Carlo Santos,11 ay önce,1
"Please someone tell apple to add splitview on ipads when they are kept vertical, like one app on top of another. It will be really good to take notes watching lecture on upper half and taking notes on lower half. Currently it only works in which apps are side by side (both vertical even rotated), which is not efficient.",Amit Kumar,11 ay önce,10
"Justine needs to be up there on the stage with Tim. Seriously, Apple, make it happen!",ThreeTwentyTech,11 ay önce,4
I’m so happy they finally updated the iPad mini!  FYI…there is an iPod case that has a pocket for an air tag (on Amazon),Coleen Pontello,11 ay önce,2
"Oh, I love Justine so much! I was so excited to see her interview with Team Cook. ️",ND3,11 ay önce,2
"Hello from Toronto 🇨🇦 Justine!! Absolutely loved this video, as someone who opted for the iPhone 12 mini last year (and unfortunately regretted it due to the pandemic and really really missing that extra real estate & that battery made me want to ️ ) .. So.. I am SO pumped to go back the Pro Max 13!! I feel as though I will definitely appreciate it a lot more after being “shrunk” for so long ….See you at check-out babe ",Jay Rube,11 ay önce,0
I did feel underwhelmed after watching this year’s September Apple event ,Mark B,11 ay önce,15
"Nice they have a full keyboard I loved that on my gear s, who also had the sise of course, Apple is a bit late with these things witch is quite funny if they add a camera and a uv sun scanner on day they evolved everything back from were it started when it getted bigger. Nice addition the keyboard if you doing a drink in the sun, it's a real handy thing to be able to send short things",JUR O,11 ay önce (düzenlendi),1
Apple season is my favorite season thanks to you ️,JuantasticStar,11 ay önce,0
I think il hold onto the 11 and wait for the 14 which is meant to be a huge upgrade,Tdr94 19,11 ay önce,0
Amazing products!  I love to have the iPhone 13 pro,Barbara Bvlogs,11 ay önce,0
"Don't care about the phones, but I need that iPad mini. Can't wait for the reviews.",5813,11 ay önce,0
"I cant wait for the iPhone 13, Im going to try and pre-order tomorrow.",Sean T,11 ay önce,0
"The Queen of Tech, IJustine, blessed us with another video today. Awesome!! I love this channel!!",Randy Ragsdale,11 ay önce,0
Very excited to preorder (and get) the Pink iPhone 13  would also love the purple iPad mini but my bank account said no ,Cee,11 ay önce,0
"The iPhone was the most expected part of the event, although I liked seeing the 120Hz display. I was most exited about the Apple Watch and iPad Mini",js5-76a,11 ay önce,0
Love your videosAlways high quality and very informativeAlso love the stuff you do with your sis.,1977NOBODY,11 ay önce,0
I can’t wait to see the unboxing :),Shuhena Meah,11 ay önce,0
I love all the improvements but the only thing that didn’t make me excited was the iPhone 13 ,Yojansel Cuevas,11 ay önce,2
This apple event was full of disappointments tbh and I was so excited for it too .,Isaac .X,11 ay önce,1
"I'm the same way Justine! I'm like ""when exactly is 'later this fall' ""? I'm assuming November bc I feel like if it were October they would have just said ""coming next month""",Katie Hobbs,11 ay önce (düzenlendi),0
"Justine always finds a way to make people's day happier, she has inspired me to start my own channel️️",Shellify,11 ay önce,33
"Yes! Justine Is Back Again with a Video!
Can't Wait to reaction of iPhone 13 Unboxing!",Shakthi Rithish,11 ay önce,0
Such a good event lots coming. Love the new iPad mini.,Thomas,11 ay önce,1
I hoped for a hot pink iPhone too! I guess I'm gonna finally get the purple iPhone 12 I've been avoiding to get while I was waiting for the iPhone 13 in hot pink,M Y,11 ay önce,0
The iPad 9th gen is such a good deal in my opinion. Love that it got a overall even though it kept its same shape and home button. Way more affordable then the iPad Air.,Jacob Bio,11 ay önce,0
This new iPad Mini look really amazing alright,Greendro,11 ay önce,0
"I love your energy, its fun to watch!",riinxlly,11 ay önce,2
Apple gone be rule the best ,Naveen Varghese,11 ay önce,1
"Hi Justine.. 
So Excited for The New IPad Mini hopefully u start with it 
KeeP it UP ",Ibrahim ZaQOuT,11 ay önce,1
Keep up the grind ,TheBowserFamilyKitchen,11 ay önce,0
A very timely update ,Mojeeb Ahsan Live,11 ay önce,0
Still rockin my rose gold 6s plus so I’m am excited to finally upgrade ,Bevan Wittner,11 ay önce,0
Never used an iPhone before. Planning to pick up iPhone 13 when it's released,debish vebish wish,11 ay önce,0
"So will he new watch S7 scratch on the face plate or do you still recommend a case over it?  It may not crack, but I constantly knock into things so I have a case over my S5 so it will not get scratched.  Great Vid like usual, oh I really enjoy Fitness+ as well!",Marc Spunt,11 ay önce,2
Am I the only one who's just waiting for new content on the new line of products?,Nugget. #roadto500,11 ay önce,34
I already have the phone saved to my Apple account. I really hope I get it before it sells out.,Emily Strickland,11 ay önce,0
"I already ordered my iPad mini, can't wait to get it! I'm sure I'll upgrade my phone and watch too, I can't resist!!!",Molly Fitz Brown,11 ay önce,0
When does the iPad mini come out? It’s what I want SO BAD!!,paige kaufman,11 ay önce,0
"In case Apple decides to have an audience in the apple events soon, I would love to buy a plane ticket to California and be there. ",Junior Woman,11 ay önce,0
Hello! Does the 12 pro max cover glass fit the 13 pro max? Thanks.,EVGENII,11 ay önce,0
The iPad mini looks so goodd even though it’s just a small ipad air just any tech products small are cute,Mr Pepero,11 ay önce,0
Would like to see the Astrophotography in use ,SmokyMtn_EDC,11 ay önce,0
love your content!,Devika,11 ay önce,0
I’m exited that they announced new products,Guinnevere’s Chronicles,11 ay önce,0
"Every time Apple season comes around, I come here 
Also, iJustine is the reason I changed to Apple.. she’s a Queen ",Lannie Rose,11 ay önce,0
"iPad mini is really impressive !

Lmao can't believe they undercut Samsung S7 with A15 bionic !!",Param Drall,11 ay önce,0
watching to see if Justine's enthusiasm can make me get excited about the iPhone 13. Spoiler... it didn't,Dushane Waugh,11 ay önce,0
I was low key wishing Apple would bring back the ceramic Apple Watch ,gega7,11 ay önce,0
I really liked this event because I watched it rather than watching a reaction and I loved it,Just A Normal Hamster,11 ay önce,0
"Prove you are as excited as Justine for the new iPhone 13’s, the new mini iPad, new Apple Watch series 7, and all of the new upgrades and the new camera feature. ",Luis Hernandez,11 ay önce,9
Thanks for this video summary of the Apple Event.,Mitchell Baird,11 ay önce,0
"I just want to say, I had a dream about the iPhone 12 design having flat edges and a fancy glass back to it almost a year before the iPhone 12 came out and never seen leaks",Jeremy Perrin,11 ay önce (düzenlendi),0
Will the 13 pro fit the 12 pro cases?,TrinaRed919,11 ay önce,0
"Challenge?:
Make the iPhone review video with either the iPhone 13 or the iPhone 13 pro series XD If there is Perez maybe you could show a little bit of how well that footage is? Maybe you could also talk about the experiences while using the iPhone to shoot a movie like video",BXu,11 ay önce,0
"Ij, i just love the new ipad mini!!! Waiting for you to get it!! It better be purple!!",DEB V.C,11 ay önce,2
"after seeing the iphone 14 leaks,,, i would like to wait but i dont think i can D: ive been needing an upgrade from my iphone 7 for awhile. soo should i get the gold or blue for the 13? also what are yalls opinions on the apple upgrade plan???",Mag Dreemur,11 ay önce,0
iJustine needs to host an Apple event. Then I'll watch it. Apple is lucky to have such an ally. Her positive energy is always a vibe,mercy main,11 ay önce,1
Will older Apple Watches get an update to have full keyboard?,OneManTagTeam,11 ay önce,0
Justine went from getting a restraining order from the Apple CEO to an exclusive interview with the Apple CEO. Thats character develeopment.,Lungshenli,11 ay önce,3
"High key waiting for Justine's iPhone 13 Pro review before deciding whether to upgrade or not :D

Also, my Apple Watch series 5 has already detected when I've fallen off my bike, more times than I want to admit lol But I'm confused as to why it's presented as a new feature",Carlos Rojas,11 ay önce,0
"And imagine there's notch less iPhone, where the camera and mic are on the top of the bezel.",Jia Long,11 ay önce,0
I don’t watch the apple event I just wait for your recap ️️,MountainsNC,11 ay önce,0
ijustine imagine a iPad Mini with cellular service you could make phonecalls with ! Why is there no 1Terabyte option for the iPad Mini ?,Alexander Hilberger,11 ay önce,0
Love your energy. You love all tho. Which device do you personally use in the long term. Pro or mini ipad.,Meowth,11 ay önce,0
I kinda wanna know is it worth upgrading the series 3 apple watch to the series 7 or wait?,ben osowski,11 ay önce,1
I like the Mini. But I much rather still stick my M1 12.9 inch iPad,Melbi Carrillo,11 ay önce,0
I ordered mine in purple with the purple folio case and I finally upgrading my mini two,Maui. Tech.,11 ay önce,5
I'm getting the iPad mini.. it's the only thing that changed enough for me to justify a purchase,Raul M,11 ay önce,0
Good efforts and congratulation for iJustine with Sir Tim cook conversation love from Pakistan Karachi.,Vlogs & foods with Muhammed Siraj,11 ay önce (düzenlendi),0
So do you think the fall detection can be used in other ways cause I could see that being really good for people with disabilities and elderly people who fall it could connect to someone they’re friends with on their watch and let them know this person has fallen I know my grandma has fallen a lot and this would be a game changer,Taryn River,11 ay önce,1
Watching you makes my day! :),Miguel José,11 ay önce,1
"I'm about to upgrade from Samsung Galaxy S20 plus (Exynos version) to Iphone pro max 13 or pro max 12. I'm so disapointed with battery/heat performance in S20 plus and the point shoot camera is doing too much exsposure, so photos in the bright light always came out over exposed. I don't care much about 120hz and 4k screen, but true to life photo and  video quality since I'm doing much of the outdoor photo/video, and the Iphone pro series have the best quality photo/video among all the smarthphones. Unmached image signal processor. Iphone rules!",Dark Hunter,11 ay önce,0
"Finally….

We have Promotion on iPhone, iPad Pro users u will understand why this is long overdue",Krish,11 ay önce,1
I was waiting for justine's coverage of the event ️️,Shubham Bhardwaj,11 ay önce,0
"I was hoping for the apple watch to have a facetime camera so you can video chat on your wrist
Still waiting for that to happen ",Alex Gonzalez,11 ay önce (düzenlendi),0
What do you think about i13 pro max 256gb for 4k video recording?,Mire,11 ay önce,0
"This event will be forever be known as the ""Mini event.""

I love Apple, but I seriously need a new MacBook Pro. Hope they announce it soon.",Arcadia Live,11 ay önce,0
Ready to stop rockin my 6s plus and series 2 Apple Watch. Gotta stay a few generations behind because Apple retains the value too long.,Nobody Not Really,11 ay önce,0
I love your videos!!! ,Sabrina Moreno,11 ay önce,0
"I was already worried! No rumours about new iphone, and then bam! Interview with Tim and this video. ",ANA Arhanic,11 ay önce,1
"Would i get a better warranty and service if i bought this ipad from the apple store, rather than from amazon?",212 power,2 hafta önce,0
"Wait, can you confirm that the MagSafe wallet with Find My built in can in fact be tracked, or does it just show the last location when taken from the phone?",Michael Lowrimore,11 ay önce,1
"I'm still on the 9.7"" iPad Pro, I might go with the new iPad mini.   And On the iPhone Xr, Moving to the iPhone 13, and maybe a iPhone 13 Pro later on.  Yes I'm planning to get both... All Blue.",Richard Masters,11 ay önce,0
I am excited about wallet and the new watch for sure!  What color will you be getting?? Typical silver as always are will you go with the new blue???,Sarah Young,11 ay önce,0
"Apple if you’re listening, sidecar needs the option for more than one device at the same time.",Scott Suiter,11 ay önce (düzenlendi),0
IM SO EXCITED FOR THE NEW PHONE!!!,jess,11 ay önce (düzenlendi),0
Traded in my iPad to get the new iPad mini. I have been waiting for it to be updated and I’m so excited to pick it up on the 24th,Marisa Pemsler,11 ay önce,0
Are the MacBooks announced later? Was kind of waiting on those,999happyhaunts✨,11 ay önce,0
"I didn't know Jon Stewart was returning to television until I watched this video. Man, you learn a lot when you watch IJustine videos.",Randy Ragsdale,11 ay önce,1
The highlight of the event is the ipad mini. I was planning on just buying a phone.. now im hooked on the ipad mini ,Gillian,11 ay önce,1
Is that a curved display on the series 7 watch. It’s a good looking watch,Nathan,11 ay önce,0
So does this mean that the iPad mini with the A15 bionic chip is now more powerful than my 2018 iPad Pro with its A12X? ,Adventures with CC,11 ay önce,3
I actually am gonna upgrade to the iPad mini. I have the 2018 11 inch pro model and tbh it’s just to big for me. Also the Apple Watch from what I heard that it probably won’t be available till next month maybe November cuz of production.,Kendall Schillinger,11 ay önce,2
"For the fitness group I want to see Marquess, the everyday dad and max techs",NewAgeHero,11 ay önce,0
Justine should be Tim Cook’s assistant or CAO of apple ,Adanio DeBaz,11 ay önce,0
"I don't upgrade my phone every year. But will be upgrading this year to 13 Pro Max, wish that there was touch ID. But for me this will be a three year phone.",Dale de Vernon,11 ay önce,0
"I'm so torn.  I don't know if I want the pink phone or the pro max in gold.  I've always wanted a pro max phone, and a pink phone.",shelbypink1,11 ay önce,0
"I am with you iJustine - all the love for Apple Watch ... and is it early, early, EEEARRLYYYYY fall???!!!",Suzanne Sardinha,11 ay önce,0
I’m pretty excited about the cinematic stuff.  I can’t wait to try it out on an Adventure!,Explorenit,11 ay önce,0
