text,author,date,like
"My husband and I have moved 19 times in our 31 years of marriage, we have always loved the home we lived in and have renovated, improved and decorated each one to our taste. We are currently living in rented whilst we wait for our new build to be completed (house number 20, and we are in our 50’s). ",Frances Ponte,10 ay önce,63
"I think it would be amazing if in your collections you included accessories like a scarf, headband, or twilly in the same beautiful prints you make the clothes out of. Or even a twilly with your branding on it. Then you could provide items for a wider range of people's budget :)",L P,10 ay önce,192
I think you can look around for a new house but will find out that you are already in a fabulous house in a gorgeous countryside!!!,Enid Ford,10 ay önce,217
"You have one of the most beautiful houses I’ve ever seen. It is perfection in every detail. That’s why I’m so surprised that you are searching for a new one.  When displaying your new Vitamin capsules you said that “I hope these give me the life I want”. I think any one of us would choose the life you already have. Trips to the Maldives, a stunning wardrobe, your own clothing line. I would wish for you that at some point you will be so happy with your life that you will no longer require more. I know that you are ambitious person and I respect that ambition but “more” does not always mean “better”. Regards ",Gerry Wilson,10 ay önce,650
"Have you ever considered purchasing an office space near your current location? You, Ali, Lumi, Porter, and Barkeley are so content where you are planted. It’s a beautiful property, that looks like home for all of you. xoxo ",Jennifer,10 ay önce,31
I love your current home so much - can't believe you guys want to move!,Bridget Boylan,10 ay önce,49
I can’t believe so many people hating on anyone who is constantly growing and succeeding. Get over it nothing stays the same forever. Tastes change and priorities change. Your style and your character changes. Celebrate someone growing rather than judging their decisions. I love Lydia she has grown so much and until recently I didn’t realise how we are programmed to hate each other. Just enjoy the adventure and be grateful we are along for the ride,Sunflowers and Yoga,9 ay önce,17
This is her job guys. A new house will provide content for another good 3 years to watch for you. Just be grateful then move to the next,Márti H,10 ay önce,37
I absolutely love the house you are in now!!! Such a gorgeous location and this view from the kitchen is just wow!!! Backyard is gorgeous and u put so much work in to it .,Alesan81,10 ay önce,22
Congratulations on your latest launch - it’s such a beautiful & true-to-you collab: good for you! ,CAL,10 ay önce,30
"Sometimes families haven’t got a good  economic situation to look after their houses like they would. And in these days we’re going to notice it more!
Love your collection. 🫠",Dani Anne Mason,10 ay önce (düzenlendi),33
