text,author,date,like
"This is what it was actually like!
行ってみたらホントはこんなトコだった！
【Ferry Soleil 🇯🇵 フェリーそれいゆ編】
* It was great to enjoy the planetarium and BBQ on board!",,10 ay önce,274
"Such a relaxing voyage.  No crowds, inexpensive, good food, everything at your own pace, clean and organized.",@Herbie11,9 ay önce,107
"I've just discovered your videos and I'm REALLY enjoying them - THANK-YOU!!  I love that you DON'T add music but you do have the ambient/background/real sounds.  I also love that you show all the practical details - and prices of things.  I always watch these on a full screen because I don't want to miss any of the details.  Each video feels like a mini holiday for me - like I've been there - but without the costs and the hassle, especially in these covid days,  so thank-you again!!",@andersonomo597,10 ay önce,569
I really love how long journey transportation is made so enjoyable even for the cheapest fares. The ride is almost a mini vacation in itself,@stonedsasquatch,9 ay önce,67
"A country so well organised, so clean, amazing technology that everyone takes for granted - because it always seems to work properly as well, such polite and friendly people...  ..a must-visit country, and sometime, I will do so and make the most out of it! Thanks very much for another super episode!",@rustinpieces,7 ay önce,39
"Спасибо огромное за такие видео, которые приятно смотреть на ночь! 
я очень благодарна автору, на это. 
у меня появилось огромное желание посетить Японию и попутешествовать по ней, благодаря таким роликам ",@anichkaaa3128,10 ay önce,192
A vontade que me dá de aprender japonês é enorme com esses vídeos. Muito bons!,@mikaellyrodrigues5155,8 ay önce,6
"This looks like it would be an amazing experience .
The sleeping area looks comfortable.
So many amenities on the ferry.
And oh my goodness, the food looks incredible.",@stephanierobb6208,8 ay önce,23
"É sempre um prazer assistir conteúdo tão bem feito. A experiência transmitida é incrível; 
A cultura japonesa é fascinante;",@ocaradopcruim294,10 ay önce,66
Vídeo ótimo. E com legendas em português fica perfeito. ,@Marryany20,10 ay önce (düzenlendi),23
"That looked absolutely magnificent, even the outside of the ferry seemed to be gleaming white  The Planetarium was amazing and as for the entrance, it was like an incredible 5 star hotel. I can't believe this ferry was mostly for truck drivers. My best friend was a wagon (truck) driver and sometimes took the ferry from the UK to Ireland, it was dingy, mucky and a rough experience. Your ferry would be an absolute top of the range treat ",@weatherwitchandfelinefamiliars,7 ay önce,6
"You are the best Japanese travel channel there is. There are so many copycats that try to do what you do, but yours is just so much better. Keep up the amazing work, and stay ahead of the game!",@noobmaster715,10 ay önce,82
I love that you thank your ferry/train/bus every time for transporting you <3 Very sweet.,@rosettagrey2851,10 ay önce,48
"After 2 years of watching these videos that where made during Covid, I'm happy to see that there are more and more passengers on these boats as Covid restrictions become less strict.",@JAFrk,10 ay önce,11
"Such a beautiful ship!  Cruising without actually going on a cruise.  I can't help but to think what a wonderful place the Ferry would be to have a big wedding!  I wonder, has anyone ever had a wedding on a Ferry before?",@DLeadVox,4 ay önce,1
"У вас в Японии очень всё аккуратно и красиво! Моя мечта побывать в Японии, но мне страшно туда лететь, ведь это долго и немного страшновато Но я себе обещаю, что побуду в этой прекрасной стране!!",@user-yo1hh2ki4w,10 ay önce,11
"This is so amazing. I have wife and kids so I can't go on adventures like this by myself, but it's fun to see other people doing it.",@bluepandaman,9 ay önce,6
"Me resulta muy extraño...que siendo Japón un país DENSAMENTE poblado...en tus videos pareciera que fueras por lugares desiertos de gente... totalmente solitarios. Y silenciosos...
Lo cual es bueno porque me transmite mucha paz...",@silvinaczapski-apoyoescolar,10 ay önce,11
"Спасибо за русские субтитры. Вы делаете приятные видео. Мне не хватало пояснений на японском (хотя-бы иногда )))
Thank you for sublitles on Russian.  You make amazing videos. I miss some words on Japanese,  sometimes ",@Milana0406,10 ay önce (düzenlendi),28
Wow! So clean and tidy everywhere! The atrium is beautiful as well! Our ferries here in the U.K. are nowhere near as nice as that. Makes me want to travel straight away!,@guss2099,8 ay önce (düzenlendi),5
ちょっとだけ自分も体験した気になれるからこういう動画めっちゃ好きです！,@user-pf4lo3oc7t,10 ay önce,613
"Que lugar lindooo,a vista da frente é muito lindaa",@rssalorrane6422,10 ay önce,12
"Feels like Japanese people are living in the year 2050.

Love it.",@simpledude5974,10 ay önce,171
"Amo estos videos de Japón, saludos desde Honduras! 🇭🇳, gracias por la calidad de contenido!",@CristianAGomez-pq8gg,10 ay önce,12
"The 21 hour ferry trip must have been so much fun.  If there is a chance in the future, I want to ride it too. I enjoyed the video.",@travel_solo_korea,10 ay önce,23
"The funny thing is, this cheap accommodation on a Japanese ferry would be state of the art expensive accommodation on a British ferry. Cheap accommodation on a British ferry is a chair...oh yes..I've been there! This would be a mega bucks alternative...",@stephenswingler7959,10 ay önce,573
"I admit, I’m freakishly large, but I honestly don’t know if I’d even be able to use one of these  I love the efficiency and the idea of being in a small perfectly sized room for exactly just me and everything I need sounds surprisingly comforting despite the claustrophobia that runs in my family, but I honestly don’t think I could climb in through the door as I’m too large. If I ever go to Japan though it would be fun to try one of these, it looks beautiful.",@justanotheryoutubechannel,7 ay önce,4
"Thank you Travel Alone for a great video.
If you could... in the future, give us a detailed description of what you are eating and whether you enjoyed it that would be helpful for us who have never visited Japan.  Many foods and vegetables are strange to us, but look delicious. Again, thank you for taking the time to creat English subtitles, film, edit and post as sharing your experiences are appreciated by all of us.  Continued safe travels.",@gregcurtin5311,10 ay önce,35
"This is amazing! All the food looks incredible and sooo yummy
The bed and compartment area seems a perfect space to rest and everything else on board is fabulous!
I wish I could travel on it!",@basketfullofbaguettes,8 ay önce,1
