text,author,date,like
"This is what it was actually like!
行ってみたらホントはこんなトコだった！
【New Hakata Exp🇯🇵新型はかた号編】
* Amazingly, the Premium Seats had a massage function!",,10 ay önce (düzenlendi),235
"I would love it if you could make a full 2 to 10 hour video of the view from the window on one of these bus rides. No interruptions and minimal cuts, just the camera filming the view from the window, it would be so relaxing to put in the background especially with sounds.",@RCmies,10 ay önce,130
"10 minutos que no sientes que pasan. Disfrutamos viendo cómo viajas. Es tan relajante ver tus videos. Solo se escucha el ruido del ambiente, no de una voz humana, y eso es bueno, vez el vídeo en silencio. En lo personal me gusta viajar. Saludos.",@victoraguilar1646,10 ay önce,112
This dude makes me want to move to Japan in the future,@fiafrom7720,10 ay önce,797
"I really like how unique your travel video ideas are! Most tourism videos in japan are just running around in Tokyo, like theres nothing in Japan to do besides roaming in Tokyo day in - day out. 
My suggestion would be to explore some suburban areas outside cities, and some less popular villages or small towns, if possible.",@spacemanonearth8830,10 ay önce,127
Japonsko je úžasná krajina! ️Srdecny pozdrav zo Slovakia,@kvetoslavakveta8111,10 ay önce,119
Cada vídeo uma experiência diferente amooooooo ️ obrigada por compartilhar ️️️🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,@ranymatos9637,10 ay önce,61
"I’ll be taking my first international flight in a few days from now, and these videos have always been calming, just the lack of commentary and all the cool stuff helps me stay calm, if the airplane WiFi works, I’ll definitely be watching these videos to calm down and sleep. Thank you!",@glitchypapyrus9130,10 ay önce,34
"Amo estos videos  no hay tales lujos donde yo vivo, pero gracias por mostrarnos lo maravilloso de tu país a los que no podemos ir ",@jgp1235,10 ay önce,27
- Amo ver vídeos assim ! 🇧🇷,@daianefernandes6813,10 ay önce,25
"Me gustan mucho tus videos. Gracias por mostrarnos un poco, de como es la vida en Japón, a través de tus viajes. Espero algún día conocer ese hermoso país, con su gente amable, trabajadora, ordenada y muy culta. 
Admiro mucho el desarrollo humano, cultural, tecnológico y organización de los japoneses. 
Acá en Chile, hay muchos fans del animé y ví la película ""tu nombre"" en Netflix. Un entretenido guión y excelente animación.",@gatinamalosa1599,10 ay önce,11
Mesmo os ônibus mais confortaveis do Brasil 🇧🇷 não possuem essa privacidade dos onibis japoneses. Belo vídeo,@reeoliveiraa,10 ay önce,26
"Wspaniały filmik. A najbardziej lubię oglądać te kolorowe bento, pokazuj ich więcej.
Interesuje mnie też czy można w Japonii kupić bento w wersji gluten-free. Opowiesz o tym?",@agniesiapike3803,10 ay önce,23
Este hombre hacen que me den ganas de viajar!!!,@cristiani2276,10 ay önce,13
i love how clean everything is on this bus. here in Canada we dont get nice busses or train rides like this and the price you pay for a luxury bus ride would cost probably about the same here in My area but it would be a lot more dirty by comparison.,@wesleyjones4036,3 ay önce,7
I've been walking like inside and nearby at 9:46 like 3 years ago! I hope I can travel to Japan again and try the bus! My family and I just took the train and took our time to find our hotel. We did lots of walking there and the scenery was breathtaking so I barely felt tired when walking. So many sights to see and shops as well and the hospitable and caring japanese citizens!,@cav0526,10 ay önce,1
"Как же красиво и уютно, какое счастье путешествовать с вами)))  нам в Белоруссии этого не видать, таких удобств и красоты нет…. Очень жаль, что не смогу это увидеть своими глазами, мечта……. ️️️",@user-rx1jl4yd4e,10 ay önce,27
