text,author,date,like
"This is what it was actually like!
行ってみたらホントはこんなトコだった！
【Ferry Furano🇯🇵フェリーふらの編】
* Not suitable for privacy and safety first people.",,10 ay önce,180
"Your experiences, to us who are very far away, make us live travel experiences that perhaps we will never be able to achieve, and make us dream of the legendary JAPAN. Thanks for what you do, good ",Colombo Harrison,10 ay önce,411
"Que experiência interessante, não sei o motivo de reclamarem da falta de voz, se o conteúdo é viagem! E em viagens, barulho é dispensável 
Sem falar na diversidade de legendas, fora que você não entenderia o japonês, isso é incrível e único. Obrigada pelo esforço, sucesso 🇧🇷",Maria Tamara da Silva Candido,10 ay önce,46
"Once more I am utterly impressed with the amount of food you wolf down every meal on a moving boat without difficulty. 
Love the videos btw. Very relaxing and informative. Me and my kids like watching as it gives us a tiny glimpse of beautiful places half a world away. As of now, consider me subscribed. Keep up the good work!",Jack Kurze,10 ay önce,222
"As always, a fun adventure! Thank you for showing all this to people who cannot go to these places. I’d love to see Japan festivals too.",G A,10 ay önce,45
"It's actually so cheap!
On the way to the ferry, it was a bliss to see the golden poop at 0:50  It's an interesting dorm layout with the tatami mats on the floor next to each other. The food also didn't look to bad. I would love to go on this ferry one day, thanks for inspiring me! ",Flexxen 🎥🌍 散歩,10 ay önce (düzenlendi),94
"as a Mexican I'm glad to know that you like our gastronomy, I love your videos!",Jared Vergara,10 ay önce,43
Bro honestly your videos are just so relaxing and really makes me wanna go to japan,R X,10 ay önce,91
"Благодарю за путешествие ! Очень красивая страна,",Добрая Весть,10 ay önce,17
"Jeżeli chodzi o kuchnie to oczywiście włoska, no i polska - pierogi for life! <3 Uwielbiam Twoje filmiki, robisz super robotę :D
It's so relaxing :D I love your travels! Good job!",Klaudia Soliwoda,10 ay önce (düzenlendi),2
"Saudações do RIO -BRASIL amo seus vídeos, principalmente quando é de trem,mas tbm amo os navios.minha comida favorita sem dúvida é a de meu país,mas gosto da culinária italiana e adoraria experimentar a culinária coreana . obrigado pelos vídeo são ótimos",MARIA de Fátima lefkovits Campos,10 ay önce,29
"Você poderia experimentar a comida típica do Brasil!!
Arroz, feijão, Strogonoff de frango ou costela de porco. Também temos o famoso churrasco de variedade de carnes e a feijoada, que talvez não tenha uma tradução própria para sua língua.
Nossos acompanhamentos são: alface e tomate picados, temperados com: sal, azeite e limão ou vinagre.",Uma Kiwi Curiosa,10 ay önce,23
"Always so impressive with how relaxing and  informative your video is. Great content, really  makes me want to go to Japan to try the ferries! Thanks ",Sterre,10 ay önce,31
8:31 es un honor que la comida de mi país sea su favorita ^.^,Chiioo PL,10 ay önce,12
"I‘m looking forward to visit Japan within the next 5 years. Love your vids and your focus on the details. That’s what life is all about, right? Thanks for doing what you do ",Ralph Müller,8 ay önce,3
Ameiii viajar de cruzeiro ️️️🇧🇷🇧🇷,Rany 🍁,10 ay önce,6
"I love travelling to places, but due to this pandemic and my exams I haven't gone anywhere in a long time. Your videos are keeping me satisfied in that regard. Thank you for your efforts! Since you asked for food suggestions, may I recommend trying out Indian food? It may be a little intense for some people but you might end up liking it :D",Magus Darkrider,10 ay önce,14
"Muito legal, moro há 30 anos aqui no Japão e não conhecia esse cruzeiro.",Nick SFC,8 ay önce,1
"Podróże z tobą są bardzo relaksujące. Dziękuję za kolejną miłą wycieczkę  Posiłki, które wybierasz zawsze są bardzo apetyczne aż zaczynam czuć głód ",Alo Ryt,10 ay önce,10
Hola :D soy de México y mi gustan mucho tus vídeos me relajan un montón es lindo saber que tú comida favorita es la de mi país xD,Kurayami Michaelis,10 ay önce,7
"Salut ! 
J'adore tes vidéos, c'est super intéressant et ça donne tellement envie de découvrir le Japon... Merci beaucoup ! Continue tes pérégrinations, je te suivrai... 
Vive le voyage !",theoucafe007,10 ay önce,6
Amo esses vídeos são tão relaxante ,Rafa Ales,10 ay önce,5
Que viagem legal!!,🌹Zíngara Mônica DOLUNAY 🌝,10 ay önce,7
"hello, your videos are so relaxing there are those who lack your voice, but it seems to me that with subtitles it is much better you convey the beauty and taste of all dishes so perfectly I love your channel ( I used a translator myself from Russia)",сеня_топ,3 ay önce,5
"Twoje filmy pokazują kulturę Japonii od innej strony, są nieszablonowe i naprawdę przemyślane. Czy myślałeś kiedyś o spróbowaniu dań kuchni polskiej? Nie jest tak popularna, jak inne kuchnie Europy, ale zapewniam, że po zjedzeniu domowego bigosu, pierogów lub barszczu byłbyś zachwycony. Polecam także spróbować tradycyjnego polskiego makowca i kompotu z suszu :) Swoją drogą, czy macie w Japonii sklepy lub restauracje z kuchnią polską?  Pozdrawiam z Polski! 🇵🇱🇯🇵 / I've decided to write my comment in Polish to honour your effort. Providing Polish subtitles is so kind and thoughtful! Thank you for your effort :) I enjoy your videos, they make me happy and help to see totally different attitude towards travel! ",Marta,10 ay önce,23
"Hola, me da mucho gusto que te guste la comida mexicana, saludos desde la CDMX.",Coral Luna,10 ay önce,18
"The sights, the food, and the amazing journey.  I love your channel!",Shiku Chronos,6 ay önce,0
"Your ferry videos are so interesting to me. I live in Western New York and we don't have ferries here. There used to be one on Lake Ontario connecting Rochester to Toronto but it shut down quickly. Thank you for providing a glimpse into another country, another way of life...as many have said in the comments, I haven't been able to travel because of the pandemic and this scratches an itch for me. ",KelBel,10 ay önce,0
If there were rooms like that between the Finland-Sweden cruises a brawl would start within the first 30 seconds ,frantikfueled,10 ay önce,37
"Thank you so much for the wonderful and informative video.
In addition to the wonderful cuisines that you mentioned, I would add Thai, Malaysian, Italian, Greek and Vietnamese. These are my faves along with Japanese and Mexican as you mentioned ",catliciousoz,10 ay önce,1
"You are an awesome personality , my favorite type of people would just travel around the country for 24 hours for no reason 
you find joy in the most simple ways without other people and do new things just for the fun of it
 ",Aseel Aadossery,10 ay önce (düzenlendi),3
"Мне понравилось! Как-будто, сама путешествовала! ))",Настенька Снежина,8 ay önce (düzenlendi),1
Всем привет! Выглядит очень вкусно и аппетитно! Спасибо за экскурсию,Светлана Парфенова,10 ay önce,6
Bro your video makes me feel like Japan is a place of heaven . I do like to go to Japan in the future. BTW keep making travelling vlogs . LOVE FROM INDIA.,Primeplays yt,10 ay önce (düzenlendi),4
"Is it weird that I love seeing the various foods when you travel?  I’d love to see you try Caribbean food, but I don’t know if that’s a thing that’s really in Japan…? maybe I’ll have to go and start my own Caribbean restaurant and you can come visit! ",Bubbles093,10 ay önce,4
"Oh, it actually seems like a fun way to travel with friends/family. It feels like a sleep over ^^",moi 999,10 ay önce,7
번역이 너무 재밌고 개성이 느껴지네요 ㅋㅋㅋ 그리구 영상미가 좋아요 같이 여행하는 기분이에요,Mekkyyyyy,10 ay önce,5
Japan looks like a wonderful place to visit! Thank you for your great videos and detailed information.🇬🇧,SUMMERTIME 27,8 ay önce,0
"Thank you for this new adventure! I always like to see what you eat and I like that the video usually doesn't end after the main part of the trip, it allows us to linger a little longer  i hope you get to try another room next time! 

Also, one can never go wrong w Turkish food hehe. I hope you'll also share trips you make overseas~",Mariyah Mokhtar,10 ay önce,0
"8:31 
As a Mexican, I was very pleased to know that you enjoy our gastronomy. greetings from the stable of mexico",dai apolon,10 ay önce,3
"Спасибо за такие видео, очень круто и интересно было смотреть!",NeGaTIiiIV,10 ay önce,25
"Im only 13, but my dream is to live in Japan when im 20, so im already saving up some money. Thanks for doing your Videos. When im watching your Videos, its almost like im already in Japan. Keep doing your Work. We all love it!",BlackWhite-Sensei,10 ay önce,11
"What a satisfying video for me who can't go anywhere for now. It feels like i traveled with you and it makes me wanna go to Japan badly. Thank you. And since you asking for the suggestion, I recommend you to try Indonesian food on your next trip.",Zandy Zandy,10 ay önce,8
"Японская кухня очень нравится. Путешествие на пароме очень крутое. Можно хорошо провести время для отдыха, чувства, что ты в пути пропадает. Курорт на воде)))",Алек КАП,8 ay önce,0
"Очень прикольно посмотреть на то, как путешествуют другие люди, особенно на кораблях/параходах, у меня например в городе пускай и есть река, Кама называется, но там максимум ходят два небольших кораблика и всего на несколько минут. Надеюсь, что тоже когда-нибудь смогу отправиться в 24-х часовое путешествие на корабле ^-^",Pelmen',10 ay önce,17
"Hi, just wanted to say I’m a stranger from south west of France and I always watch your videos before sleep. I find them soooo relaxing! I love travelling by trains and I don’t know, something about your way of filming travels make them so peaceful.",Catherine Ancelin,9 ay önce,0
"Я люблю путешествия и вкусную еду. Но сегодня я в постели с расстройством желудка Спасибо за видео, оно дарит мне силы. ",Мария Голубева,10 ay önce,25
