text,author,date,like
"Thank you to Walmart (www.walmart.com ) for sponsoring today's vlog!  Check out the items I wore:
Free Assembly women’s grandpa cardigan sweater https://go.magik.ly/ml/1gs2g/
Scoop women’s slouchy shoulder bag https://go.magik.ly/ml/1gs2h/
Sofia Vergara x Foster Grant sunglasses https://go.magik.ly/ml/1gs2i/
      ",,11 ay önce (düzenlendi),96
"I love that you allow people to see the real you before the makeup and adding filters etc. its turned into such a superficial society so it’s nice to see you as a “real person” so to speak
      ",The Real Brent Savage,11 ay önce (düzenlendi),321
"I love seeing the ins and outs of your life in the city. You just being authentic and not trying to pretend to be perfect is why we love you. From the fresh face before makeup to the exploding oatmeal. Love you Hannah!  also I LOVE the hair cut!
      ",Khalilah D.,11 ay önce (düzenlendi),227
"for.. FREE?! might come and test this out thanks hannah
      ",,11 ay önce,182
"The shorter hair just perfectly suits you! And it looks so healthy and bouncy. ️ Pretty pretty!
      ",Ãü Barb,11 ay önce,255
"You should totally do more “free” things or signing up deals or even couponing. that is so fun
      ",tazzel10,11 ay önce,91
"I love living in NYC vicariously through you so much. You are so down to earth, funny and sweet!  I could  be your oldest fan unless your grandma watches! 
      ",Trisha Zul,11 ay önce,77
"I might have gone into cardiac arrest with all the free caffeine, but this video was so creative & fun to watch. Love seeing your thrive in NYC
      ",,11 ay önce,16
"You look so much older with short hair!! In a good way of course. You look adorable. Honesty giving me Monica from friends vibes. You’re literally glowing. A Queen ️
      ",Jenna Gianakos,11 ay önce,35
"Cute hair!  Free is always fun Poor Charlie's timing haha
      ",Melanie D,11 ay önce,46
"Love this!! Would love to see a part 2 with maybe a free trial workout class? I bet there will be more outdoors ones once it gets a little warmer!
      ",Becca Glee,11 ay önce,14
"I’m still obsessed with your editing. The intro. The sound effects. The creativity. Perfection
      ",Amelia Arndt,11 ay önce,5
"When I spent a summer in NYC, I had a super long list of places I wanted to check out, and I went to so many museums. Another really cool one is The Whitney in Chelsea, right next to Chelsea Market and The High Line which is a beautiful place to go on a little stroll  So I’d def recommend making a day out of those three places!
      ",vmcervan,11 ay önce,20
"this video made me feel so calm and relaxed. that’s the thing abt hannah’s videos, they’re anxiety relievers, thank you so much ily
      ",Lara Carvalho,11 ay önce,11
"You’re so real, down to earth and authentic. I like how you show people the real you before you start doing your hair and makeup.
      ",smileyfan16,11 ay önce,7
"Discovering this channel has helped me so much with staying productive and be my best self everyday! Love what you do and the vibes are always immaculate
      ",thatsRussel,11 ay önce,2
"I look forward to your videos every week! They make my day!! I started watching your videos while you were still in college and watching them motivates me so much, since I'm still in college!! I have loved watching you over the years and seeing where you are now and I am so happy for you!!
      ",Molly Dugan,11 ay önce,14
