text,author,date,like
still can’t get over how good the short hair looks,,11 ay önce,444
I love a good spring cleaning. It feels great to have things clean and organized and ready to enjoy the summer ,The Real Brent Savage,11 ay önce,177
"I don’t know if anyone else noticed but at 8:12 Charlie starting drinking the water from your glass  that was cute

Edit: I just finished watching the video, apparently that is CHARLIES glass of water LOL",Meghan Mccutcheon,11 ay önce (düzenlendi),137
I don’t know why but I love spring cleaning. I feel like it marks the end of one mental season and the beginning of a new one. It’s a chance to recapture the goals you had at the beginning of the year. Thanks for the motivation Hannah ,Khalilah D.,11 ay önce,63
I’d love to see a full closet declutter from your Pennsylvania home :),Madisen Wells,11 ay önce,107
you and ava both posting a spring cleaning on a sunday is the exact vibe i needed,sophia grace,11 ay önce,21
"hannah's videos are soo motivating, relaxing and aesthetic~",kawaii gallery,11 ay önce,20
Charlie having her own intentionally placed glass of water on the nightstand is it for me  What a queen  love the spring clean!!,Jordan,11 ay önce,5
"I’m a real one!  I love a good spring cleaning & organizing, especially with the fresh breeze and windows open *chefs kiss 
Also the hair, I can’t get over how stunning it is on you!’:,)",Jerika Marie,11 ay önce,13
You know it’s a good day when Hannah and Ava post spring cleaning videos ,Hailey Fussell,11 ay önce,11
This is perfect cuz I've got bathrooms to clean and homework to do. Needed some cleaning/productivity Inspo. Thank u for this lovely vid hannah! Love u queen!,Ashley Gola,11 ay önce,17
"Seeing Charlie drink the water in the background makes me miss my cats at home and want to get one at college even more so cute! But every time I watch your videos I just get so much motivation to either go explore new things, clean, try something creative, or even do things on my own. I love you and your videos ",kaiyashea,11 ay önce,7
I love the spring cleaning too! Everything is so refreshed and clean! I love how you tell it like it is Hannah! I wish I was more like you when I was your age! I love your cat! Our dogs and cats don't like flowers either!! Love your videos! See you next Sunday!,Cheryl Zink,11 ay önce,27
I love that you mentioned that you love cleaning and watching your favorite videos. I’m doing that right now. Getting my cleaning done and watching your videos is just making my day so much better ,Sunflower gal,11 ay önce (düzenlendi),14
bestie girl; your videos are the only ones I can watch while having a gsd (get sh*t done) day. I'm unpacking the rest of my boxes in my new apartment and it's so motivating but also calming to have these videos on while I work :-),Kate Bowman,7 ay önce,0
"Hey Hannah, you did an awesome job cleaning your apartment! It looks pretty nice! ",Cameron Mitchell,11 ay önce,6
Hey Hannah! It's so nice to see someone from my local PA area doing well on Youtube!,Relaxing Nature and Music Laura K - Singer,11 ay önce,2
Watching this video motivated me to start spring cleaning and reorganizing my bedroom. I have been putting it off for over a week now and it NEEDED to be done. Love your videos Hannah! and the short hair!!!,Brooke B,11 ay önce,2
I love love love to spring clean but I've been in such a slump recently so thank you hannah for the motivation to get out of this shit to help myself feel better!,Nicole Lim,11 ay önce,3
this is what I needed haha it was so motivating so I'm also starting my spring cleaning :D,Malena B,11 ay önce,1
That shade of color on the sheets is so pretty. It makes your room look so clean and very cozy! Love a good spring cleaning ,Rere,11 ay önce,2
Just watched this while I got ready for work. Its weirdly calming to watch someone clean up while getting ready in the morning  I'm a real one️,Wallflower,11 ay önce,3
"I love cleaning videos so much, this was such a refreshing way to start my Monday. I love your videos so much! ",madeleine,11 ay önce,16
Incredible video as usual Hannah! You motivated me to finish putting away all my stuff from the trip I just took and clean up my space. Both tasks which I dread doing.,Elizabeth Rivera,11 ay önce,4
"Update: Did some spring cleaning while watching your video, thanks for the motivation!",Stephanie Yariann,11 ay önce,4
I love just deep cleaning and organizing the entire apartment in spring but it makes me overwhelmed sometimes... but now I'm inspired to at least tackle my closet and bookshelf!,Bianca.,11 ay önce,2
I look forward to this weekend so I can start my spring cleaning!! Thank you for inspirational video<3,Milka,11 ay önce,2
"It was an amazing video Hannah, a chill video, for a chill Sunday . 
Love ya and hope you're doing great .",Lucy Janeth Zavala,11 ay önce,8
"When I organized my closet, vacuumed my room, and washed my sheets, I leveled up as a human being I’m not even joking. Best feeling ever",Megan Holland,11 ay önce,2
"just cleaned my room before watching this video, definitely a boost when you have a clean space!",maya,11 ay önce,3
Can we take a moment to appreciate the editing. ️,Sallie Stutzman,11 ay önce,2
And now I'm inspired to clean my room even if it's not spring on here HAHAHAHAHAHA,Cristalyn Hibaya,11 ay önce,2
I just did this weekend! Went through all of my drawers and reorganized and got rid of some things I don't wear/seasonal things. Loved this video! So many good vibes :),Ally Katze,11 ay önce,2
"I love your videos. I also love spring and starting fresh. I'm more or less a minimalist so cleaning doesn't take much, but it's enjoyable. My apartment has nice windows and I love having them open.",Catherine Valentine,11 ay önce,1
Love decluttering! Aww love seeing Charlie!! I got new sheets for me bed such great energy,Rachel Agbi,11 ay önce,2
bestie i need a makeup tutorial. obsessed with how natural and pretty it looks,sydney harris,11 ay önce,1
OMG YOUR ROOM LOOKS SO GOOD WITH THE NEW SHEETS,Elaina Michelle,11 ay önce,2
I really find your channel very relaxing & entertaining. You soothe me. Thanks !,David Ellis,11 ay önce,3
both you and Ava uploading cleaning videos  obsessed,carley mcgovern,11 ay önce,1
"The way you explained or justify yourself that is hilarious 
I love cleaning video that motivates me to do my sh*t done.
Ly",Parul Singh,11 ay önce,4
love your bedroom; it looks so fresh and feminine; beautiful work x,julie James,11 ay önce,2
I’m a real one. I’m relatively new to your channel and I really enjoy your videos. I’ve spring cleaned my bedroom and dressing room and I find it soooooo good for my mental health! X,beckyjanejen,11 ay önce,1
"This motivated me to actually get up and clean along with you, that never happens lmao!",Gina Greer,11 ay önce,2
I’ve actually been postponing cleaning and organizing my room for days now and this made me get off of my bed and actually do it,Azu Azu,11 ay önce,1
It's nice to know I'm not the only one who ignores things on the floor for months!! I also have a cord basket without a clue what they're for omg  Charlie looks so comfy on the bed when you changed the sheets!! Really enjoyed this video!! ,Rachel Nuala,11 ay önce,1
Hannah your apartment is so aesthetic ,Taylor,11 ay önce,2
I just got done cleaning my place. I like to do a deep clean every Sunday. Listening to a 2000s playlist sped up the process . I was JAMMING. Love you and your videos girl!,anne smith,11 ay önce,6
i'm a real one and i love the vibes - you inspired a closet cleaning. college depression killed my drawers miss maam,brooke,11 ay önce,0
Okaayy motivation right there!! Thank you ️,pooja chauhan,11 ay önce,4
"I think its so funny that you mention listening/ watching a youtube that we enjoy watching because my freshman year in college, you were that youtube for me! I used to watch every Sunday that you posted while I planned my to do lists for the week and organized my desk space and dorm room ",Mary Pashinski,11 ay önce,1
"1) I always, always watch/listen to YouTube videos whilst I clean/build furniture or pretty much anything in my place
2) Those indeed are 80’s serial killer glasses. The 80s was a very sad fashion time (as preteen/teen in the 80s, I am confident in saying this, although I do miss those long shirts/sweaters)
3) I love when cats help you with your cleaning/organizing",Darkhorse3211,11 ay önce,3
"Omg I totally can relate to the boxes! Ive had boxes/bags sitting on my floor that also took me months to go through. I'd also kick them to the side, because they were blocking access to drawers etc ",Sunny Kel,11 ay önce,1
"I’m a real one! I loved this video, and so did my dog. He stares at the tv whenever charley makes an appearance. And his name is also Charlie! I cleaned out our closet and under the bed in the bedroom and I feel 1000% better! -Emily",Emily Ekle,11 ay önce,1
Ooh I love the new outro screen! So motivated to clean my place now!,laur,11 ay önce,2
I love watching these types of videos from you. It gives motivation to clean or do something instead of laying in bed watching YouTube like I am doing as I’m commenting on this video ,Dakota Youngwirth,11 ay önce,3
this was soo satisfying and cozy ,Susan Bali,11 ay önce,1
I love organisation videos. It motivates me!,onya Dlugos,11 ay önce,1
Yup I definitely feel the same way about spring I all ready did my closet and drawers and donated a whole bag of clothes and I changed out my bedding I’m hoping that the warm weather will come back sick and tried of the cold  ready for the warm weather ,juliane morey,11 ay önce,8
"so calminggg, needed for a sunday",m,11 ay önce,2
Clean and organized my room while watching this video. Imma real one!!,Amarisss26,11 ay önce,2
I got my whole room clean-out and organized from watching this video. Thank you it was much needed Now i have space to film youtube vids ️,Erin Pataky,11 ay önce,6
"I always love your vlogs, mainly whenever u film something on decluttering, cleaning ",Madhurima Mishra,11 ay önce,2
Watching after I spring cleaned my closet. ,McKenzie Jeanne,11 ay önce,2
I just love Hannah's personality like i wanna be her best friend,Imelva W,11 ay önce,1
Love this so much and I am so obsessed with your content! Thank you for being such an inspiration and a light in this world! I am so blessed by your channel! Happy Sunday beautiful girl! I hope that you are having an amazing day,Isabella Lacy,11 ay önce,1
Imma about to do a fall cleaning and even tho these are different seasons I got really inspired by this tks ,Daniele Schauren,11 ay önce,1
"I'm a real one, also your videos give me all the motivation and excitement to get my life together and become my best self, thank you for that!!!",Olivia Goodenough,11 ay önce,1
I am LIVING for this content! cannot stress this enough... you are THE best content creator on this platform ,Beatriz Ferreira,11 ay önce,3
watching this as i do some spring cleaning of my own ,Irene Martinho | Waves of Thoughts,11 ay önce,1
I love thiiiiis!!! Spring cleaning is the best!,yamilet agundiz,11 ay önce,1
you look BEAUTIFUL in this video! your hair is fantastic!,jessica m,11 ay önce,1
"I thought 
, smart girl, she’s rolling the clothes to put them in the ikea bag! Memory boxes are the hardest to go through! Better to do separately on a boring at home day!  I look in my closet and think, who needs that many jackets!!? ME, obviously! Good for you for tackling this major organizing journey!! Whew!!",Susan Mulvey,11 ay önce,0
this video was so relaxing ️,izzy r,11 ay önce,2
"This could be a headphone ad! 
Love the cleaning, I had my spring cleaning yesterday watching your video!!",ThMaBz,11 ay önce,1
You're so inspiring I love you man ahhh,Shahed Meqdadi,11 ay önce,1
Awesome inspiration... love the lamp on the nightstand.,Marcie Heineck,11 ay önce,1
me sitting in my bed watching miss hannah declutter when my room is a mess is the ultimate mooddd! at least my closet isn't broken this time tho ,samiaosman,11 ay önce,1
this was fun to watch as i was doing my reset routine spring cleaning for me is this week,Claire Qua,11 ay önce,2
this is giving me the motivation i need to clean my dorm so TY,marygrace,11 ay önce,0
living for these videos omfg love u hannah ️,izzy r,11 ay önce,1
"Dying laughing as I watched Charley slowly inch towards those flowers. My late girl Skye LOVED flowers so I had to get them, let her sniff, but then keep them away from her.",Darkhorse3211,11 ay önce,1
this. this is my safe space. hannah's videos.,MARIANNA FALCI,11 ay önce,1
OMG ITS MY FAVOURITE KIND OF VIDEOS!!!!!! thank you hannah uwu,Nicole Lim,11 ay önce,0
You inspire me so much ,I’mJustWaveyy2123,11 ay önce,1
I LOVE your videos so freaking much and i have been a subscriber to your channel from the beginning and still going strong!! I just have a slight request if you could share your bookshelf that we see so often in your videos that would be perfect because Im a bookworm basically and it would make not only my day but the whole month,Stavriana Koulloupa,11 ay önce,0
Your hair looks SO great!!,Phia Mina,11 ay önce,1
