text,author,date,like
"for my most recent and most successful closet declutter, i dedicated an area for “favorites”! then i went through the rest that didn’t make it into the favorites area, and it made it a lot easier to know if i should still keep things. it’s so easy to keep things u don’t actually love for “what if” situations but u won’t wear it if u have a favorite piece that u would grab first!",@ohsnapgirlfriends,11 ay önce,173
"I literally just did this and felt SOOO much better. This is the perfect thing for spring. It’s such a great way to clear the mind! ALSO HAPPY BIRTHDAY HANNAH!!  I hope this year brings you nothing but joy and success, we love you ",@khalilahd.,11 ay önce (düzenlendi),224
"The green sweater at the end looks so nice with your eyes!! 
I just did a spring clean of my whole house and it feels so good. Everything is so much brighter when it’s clean",@rhyanadam-rogers4787,11 ay önce,74
I loveee declutter videos where people talk through why they’re donating. It helps me get more motivated to not keep things too. Thanks for the vid! Tis the season for closet clean out!,@michaela_fk,11 ay önce (düzenlendi),9
"HAPPY BIRTHDAY QUEEN it’s crazy how far we’ve seen you grow as the beautiful human you are today , I am so proud of you for everything you’ve accomplished never stop creating the content you do keep reaching your goals , I love you ️",@ptyy.angelaaramirez6100,11 ay önce,78
I’m the same way when it comes to emotionally attaching myself to inanimate objects and it makes my space feel really cluttered and stressful! HAPPY BIRTHDAY Hannah!! ,@LilRioCutie08,11 ay önce,58
Happy Birthday Hannah! You always upload for us. You are consistent and you work really hard to edit and create awesome content for us. We love you and we appreciate you,@oliviajones9660,11 ay önce,56
"every time I see someone who’s able to go home and have their room maintained and saved for them, I’m in awe. is that what its like having a normal well adjusted family life? ",@emelyandtheuke,2 ay önce,1
I always see these people with rooms back at their parents house and am amazed. When I left home my mom gave me everything in my room and took it over. She literally gave me a bar of soap that might have been mine at some point…so yeah. No at home wardrobe for me lol,@limeDEC15,10 ay önce,4
"this came at perfect time, i’m currently doing a huge declutter and organisation of my closet for the first time in years. also happy birthday!",@j.6483,11 ay önce,36
"I absolutely love organizing and cleaning out my closet, but I do it so often I have nothing to clear out! Happy belated bday!",@erincejka8382,10 ay önce,2
"Happy birthday, Hannah. 

You’re a real one!  ",@KageyVision,11 ay önce,26
"happy birthday hannah!! you amazing being, you're such a role model and inspiration to many. thank you for the content, giving me motivation/inspiration, being relatable, and overall being you. once again happy birthday, and i wish you nothing, but the best and much love!! ♡♡♡",@isabelpichardo6,11 ay önce,18
Happy birthday Hannah!! I absolutely am obsessed with you and your content. I watch your vids when I'm stressed and shit and it always calms me down. I hope you all the best Queen! Can't wait to see you grow more!!:)),@wraith0007,11 ay önce,22
These videos always give me a sense of extreme motivation to also do a long overdue closet cleanout. Even more than the drawer that literally broke because of the amount of sweaters I've stuffed into it. Oeps. I'm a real one️,@saly2stars,11 ay önce (düzenlendi),7
"Happy birthday queen!! You're so appreciated and loved here in this lil community, have a great day! ",@valegrodiaz9023,11 ay önce,10
"I LOVE this video! It cheered me up so much and I'm dealing with a lot lately. Plus...I need to clean out my closet and now I'm inspired! Thanks, Hannah! p.s. Love the green sweater and necklace at the end. And I'm glad you kept the lined black jean jacket. Need one for those NYC fall and winter seasons, after all! Plus it's so you.",@denverdubois5835,11 ay önce,10
"Happy Birthday to our beautiful Hannah, we love you<3 Thank you for opening your self to us and shooting the most amazing, cozy and comforting content!",@ilianagiarma8102,11 ay önce,3
Ok so I'm 42 and loving your channel so far!!!!  Definitely sharing with my 20 year daughter!!!,@thecozyspot3911,11 ay önce,7
Happy belated birthday! It’s been a while since I’ve watched your videos because I got busy with classes and summer courses  but I’m so happy for you and how far you’ve come.  We love you Hannah 🫶,@lifewithpaola9932,7 ay önce,0
"Happy Birthday QUEEN!!!!! Literally thank you for everything that you do. You are doing great things, and are inspiring so many people with your videos. Enjoy your special day!!!",@marthamacias3685,11 ay önce,3
"Happy Birthday Hannah You are a big sister for so many of us , you are a inspiration  love you ️",@shreyaparajuli,11 ay önce,0
"Happy Birthday Hannah!!
I am a Japanese university student and I have been watching your vlogs since 2 years ago in order to study English. Your way of thinking and living always inspires me!
I hope you will spend a wonderful year:)",@user-jz3gm1ej7g,11 ay önce,0
"Happy birthday, bestie!!!
It's been such a rewarding experience to see you on your journey in life- even if I joined in a little later
You are absolutely amazing and I hope your day will be just as awesome as you are!",@marytimes3665,11 ay önce,7
"happy birthday!!! :D also YES closet cleanouts are CRUCIAL for my mental health, it just feels so much better getting a cleaner environment that isn’t bogged down with so many belongings! doing cleanouts/reorganizing/etc can make such a difference it’s crazy (p.s., i’m a real one) ♡",@cataxenic,11 ay önce (düzenlendi),5
"HAPPY BIRTHDAY HANNAH!!! All of my favorite people are Taurus  Also, I'm moving into a house in June and I need to go through every single item in my apartment like ASAP, so thank you for the motivation!",@breyannaalese192,11 ay önce,1
"i just saw this video and belated HAPPY BIRTHDAY HANNAH!!! YOU'RE MY COMFORT AND I ALWAYS FEEL PRODUCTIVE WHEN I WATCH YOU, I ALWAYS CLEAN WHILE WATCHING YOU HAHAHA, I'VE BEEN WATCHING YOU SINCE LAST YEAR AND I'M SO GLAD THAT I FOUND YOU, ILYSM!!!",@sincerelyyourssai5392,11 ay önce,0
You gave me a wonderful idea the fact that you know your own self what you would wear and not . Gave me motivation to figure out my self and what I would wear and feel comfortable then say  I’ll wear it and I won’t and keep it in storage ️,@aileenespinoza196,7 ay önce,0
you are inspiring me to clean and declutter asap  your vlogs are soo therapeutic and motivating ,@kawaii_gallery,11 ay önce,2
I am in the middle of my own closet cleanout and I was completely burned out! You inspired me to get back to it :) Awesome video ,@ChristysBlogs,11 ay önce,0
"HAPPY BIRTHDAY, HANNAH!!!  You’re a real one. ;) ",@nini._.0707,11 ay önce,8
Been with you through all your closet declutters and I'm loving it.,@PhiaMina,10 ay önce,2
happy birthday hannah!! i just wanted to say that i’m obsessed with your channel and i love watching your videos because it feels like i’m talking with a friend. ilysm and you’re amazing and i hope u have a happy birthday!!,@kay389,11 ay önce,4
HAPPY BIRTHDAY HANNAH ️ VV PROUD OF U!  Keep being u and thank u for being such an inspiration  ilysm,@angelnotreally7714,11 ay önce,0
"HAPPY BIRTHDAY HANNAH! Your videos just make me so much happy whenever I see them pop up in my notifications, and also just seeing you thrive in New York! I've always wanted to visit New York, but my family doesnt wanna go, and life is so short that I might as well just book a random vacay and just visit! You also make me wanna adopt a cat so much more every time I watch you because i just need an emotional support pet. Anyways KEEP THRIVING QUEEN!!!!",@daynamadourie4498,11 ay önce,0
"HAPPY BIRTHDAY HANNAH!!! ️️ i started watching your channel when i was still in high school and now I'm semi adulting with a job so I can relate to how you feel, growing up is weird  but I love your videos so much, you're one of my favorite people. Happy happy birthday QUEEN!! ",@mesmerizingstars,11 ay önce,0
I enjoy your content Hannah! Seeing New York is so cool. Have you considered looking into doing a capsule wardrobe each new season? Official capsules usually have rules like certain amounts you can but etc. I don’t follow all the rules any more but it helped me narrow in on my style. Also once I learned about the climate and ethical implications of the fashion industry I’ve shifted to shopping second hand as much as possible and trying to use my clothes as much as possible. As someone with a big following I think that could be a cool thing for you to explore and share with listeners! Some creators who have helped me on my own journey who are on various platforms include Alli Cherry and venetialamanna. Hope you are having a fab birthday!,@julianaludema439,11 ay önce (düzenlendi),1
Happy Birthday queen!! you make me feel so good and productive every time I watch you and you’ve been such an inspiration ,@chhavichopra3369,11 ay önce,0
Happy Birthday HANNAH!!! I absolutely love your content and you inspire me to become a independent woman and to know that I can truly accomplish anything that I want. ,@hannahbroome3106,11 ay önce,0
Happy birthday queen ️ you have come so far and your content is so addicting! You are such a lovely person and i cant wait for you to continue thriving in the future ,@lolal-t2027,11 ay önce,3
happy birthday hannah!! thank you for being an endless inspiration and motivator!! you’re amazing!! i’m so grateful that i found your channel and i love you!! i hope you’ve had the happiest of birthdays beautiful ️,@izzyr497,11 ay önce,1
"YES! I was actually putting my laundry away when you posted this. So I dropped everything I was doing just to watch this because you're my new favorite, and my role model.",@Darklink7884,11 ay önce,4
Happy birthday Hannah! I hope you have an amazing birthday. We all love and appreciate you and your hard work! ,@dakotayoungwirth4481,11 ay önce,2
Happy Birthday! I am moving out of my dorm so I have been slowly getting rid of stuff that I do not need and I totally agree that it is so hard to let go of the attachment you have to certain items!,@HaydenWeber,11 ay önce,1
Happy Birthday Hannah!  Thank you for always putting a smile on my face and for being such an inspiration. Hope you have the best BD ever! Love you! ️,@brookestephens675,11 ay önce,3
happy birthday!!! im so proud of everything you've accomplished in the past few years,@abbyconnelly5215,11 ay önce,4
"HAPPY BIRTHDAY GIRL!!!!!!! You help and inspire so many around you, you are loved and so special. Have the best day you deserve it!! <3 <3",@rachaelmellblom4330,11 ay önce,0
"happiest birthday queennn
thank you for brightening our sunday's with your videos!! 
- from one harry fan to another : I LOVE YOU️
~keep chasing your dreams",@seharjaggi,11 ay önce,0
"I know this isn't about the video, but just wanted to say that you have a LOT going for you.  You're gorgeous and have a vibrant personality!  Keep doing what you're doing!",@tamarap387,3 ay önce,0
"YOUR videos are always so relaxing & inspiring- all at once!!! :}


xx",,11 ay önce,2
"I've been doing a series of declutters and refreshing my wardrobe. After several stages I have a closet I am mostly happy with but with summer coming I feel the need to pull out everything and go through it again, last time I didn't actually pull them out I just went through them where they were. It is such a good feeling when you get rid of things you wont wear anymore (and then remove the crappy hangers they were on lol).",@ciannacoleman5125,10 ay önce (düzenlendi),0
"Happy birthday, and thank you for inspiring me to do a closet purge… because we’re real ones. ",@danapatterson4076,11 ay önce,0
"Happy Birthday Queen ️ I'm so proud of you, in everything you accomplished, you kept on inspiring us. I really love your videos and I do stan you for all of your hard works to achieve this. You're so pretty. I hope you will have a great year and life, that will bring you to success and happiness. Love you Hannah ",@bridgetjones1125,11 ay önce (düzenlendi),0
Happy birthday queen  thank you for always giving us a mindful and positive vibes contents ,@dndlaksmi,11 ay önce,0
"Happy Birthday miss Hannah!!!  Your videos are the highlight of my Sundays. I always refresh the page with the same level of excitement to see if your video went live, and then I click right away.",@Darklink7884,11 ay önce,1
I just cleaned out my closet as well and it felt so good! I then did our linen closet and coat closet! Happy belated birthday!!,@laurawitt2603,10 ay önce,0
"Didn’t realise it was your birthday we love you so much and love the content you make for us, happy birthday and I hope the world and everything in it is good to you. We love a Taurus queen ️ ",@madlov,11 ay önce,0
"I just finished doing the same thing and it feels so good to be organized and fresh. I am sad to see the poopy jacket go, I still love mine and can’t imagine parting with it",@madisonfaas222,10 ay önce,0
Hannah I love u so much u are literally the only reason I come on to here - u wouldn’t believe what a journey uve helped in - ur like literally a friend I love and when I watched u daily to get through my last year of high school and first year of college u made it easy and uve been teaching me how to enjoy this journey with all the little things xx ur a beautiful soul I love you,@sarahmariey5377,11 ay önce,0
"HAPPY 23RD BIRTHDAY QUEEN!! 
And thank you for giving me the motivation clean out my closet as I have been putting it off for the past like 2 weeks.",@abbiealtree7650,11 ay önce,0
"HAPPY BIRTHDAY TO MY IDOL!! i love you so much hannah, you have done so much for me and i couldn’t be more grateful. thank you for being you and i hope you have the best year bc you deserve it more than anyone. ️️️",@zoe-en1op,11 ay önce,0
happy birthday hannah!! thank you for all your relatable videos and those helping a struggling college student  love you! ,@jenna-ed6zw,11 ay önce,0
Happy birthday Hannah you are on of the only youtubers who’s videos make me so happy and excited to watch. I truly never get bored of them keep doing great things this year will be the best one yet can’t wait to see what else is in store!! Love youuuu ️ also watching this and seeing the comments has me thinking of cleaning out my closet too just need to rip off the band aid and do it ,@samanthatorres7096,11 ay önce (düzenlendi),0
"Hannah. You’re so irresistible 
You keep giving ",@shadaane,11 ay önce,0
"Happy Birthday Hannah!! Hope #23 treats you well. I'm counting down to turning 50 in less than 90 days! :P BTW cleaning out the closet IS therapy for sure, it's on my list of things to tackle soon! <3.  (PS I'm a real one)",@hangingwithjen,11 ay önce (düzenlendi),0
Happy birthday Hannah!  this is perfect timing! I need motivation for spring cleaning and I’m taking this as a sign! thank you for being the best :),@ginadiguilio2344,11 ay önce,0
Happy birthday! I’ve done a massive sort out too (mainly through necessity to pay my bills) and feel so much better for it. Thanks for sharing xx,@CatherinesWay,11 ay önce,1
Happy Birthday Hannah!! thank you for constantly working your ass off to give great content. Enjoy your day love ,@lisaantwi9377,11 ay önce,0
"Happy Birthday Hannah! Your content is awesome- so polished and professional but fun too! I've never actually done this before tho I have been subscribed for a while now, but I'm a real one! PS LOVE your haircut!! <3",@libbyjordan5361,11 ay önce,0
HAPPY BIRTHDAY HANNAH!!! Keep it up girl!!,@jazburgos3893,11 ay önce,3
"Proud of you for managing to do this, you have a lot of nice stuff!",@LadyStephanieArtist,9 ay önce,0
"HAPPY BIRTHDAY LOVE you’re videos are so great and inspire me to clean cause when you do it, it looks so aesthetically pleasing <333",@sophiec3415,11 ay önce,0
"HAPPY BIRTHDAY, QUEEEEEEEEENNNN!  seeing you grow (in every way) has been an incredible journey!",@beatrizferreira1830,11 ay önce,0
"HAPPY BIRTHDAY HANNAH, YOURE AN ABSOLUTE BEAUTY AND I LOVE YOU",@pratibha2551,11 ay önce,0
LOVINGG the closet clean outs! And happy birthday,@Petraruiten,11 ay önce (düzenlendi),1
I can't imagine NOT wearing a bra. The only time I might be without one is when I'm home alone lol. Having a tank underneath is a must for me I wear them all the time ,@linal3489,11 ay önce,16
happy birthday queen!! the only way i can clean my room is when i’m watching you!! thank you so much for the inspiration and motivation!! <<33,@Maddy-sp5md,11 ay önce,0
"Happy Birthday, Hannah!  I hope you had a fabulous weekend.  My birthday was yesterday and had a great weekend with family.  Funny, I'm nowhere near 23 years old.....51 here!  Found your channel about 6 months ago and you inspire me so much.  I'm retiring in 5 weeks and I'm totally inspired to start a new career and work from home.  You are a true inspiration.  Keep on keeping on, girl =)",@lorieverhart7151,11 ay önce,0
HAPPY BIRTHDAY QUEEN!!!!! Thank you for inspiring millions out there  including me to bring up the best version of ourselves...you are just freaking amazing...Stay blessed stay beautiful as always and keep shining..... We all just love you so much,@klaranasinghe185,11 ay önce,0
"Happy Birthday Hannah!
Thank you for the amazing content, forever grateful",@Rita-pu5ed,11 ay önce,1
HAPPY BIRTHDAY HANNAH! I’m so glad I get to say this to you! I love your videos and Ik so glad I’ve finally gotten a chance to sit down and watch one of your videos for the first time in a bit,@lexy922,11 ay önce,0
"This is by far the most enjoyable closet vid I’ve ever watched. I was almost in tears laughing and I haven’t even made a drink yet. The bra thing, Yes! Same. Don’t want to wear a bra…damn too jiggly…every day ",@spiritbeingapotheca3430,9 ay önce,0
HAPPY BIRTHDAY HANNAH. I started watching your videos when I saw your New York vlogs. I love binge watching your videos after a long day of work or school and you inspire me to do what my dream is. You are so amazing and you have grown so much,@skylarschaub657,11 ay önce,0
"Happy birthday princess girl, love all your videos specially the organization ones, you’re amazing ",@MariaEduarda-zz2kb,11 ay önce,0
happy birthday hannah!! this is giving me motivation to clean out my closet and literally everything i own so i can have a fresh start when i go to college from ut to pa in the fall!!,@savannaerickson9583,11 ay önce,0
Happy birthday hannah. You're literally a queen. A very huge inspiration for me as i also have similar life issues to yours. I love you and you are my favourite youtuber just wanted to say this. Happy birthday queen.<3,@mac5360,11 ay önce,1
"Hey Hannah, you did an amazing job cleaning out your closet! You’re the real one ",@cameronmitchell9359,11 ay önce,0
WE LOVE A CLOSET CLEAN OUT VIDEO! Do as many of these as you want girl :),@millennialvlogger5504,11 ay önce,2
"Happy birthday Hannah! Hope you had the best day. Loooved this video, did this last week and it feels sooo good!!",@senta.louisa,11 ay önce,0
Great job and so inspirational! Happy Birthday Hannah!!,@sherij7330,11 ay önce,0
Happy Birthday!!! your a real one for giving us content on your special day. hope your having a great one!,@shar__,11 ay önce,1
I’m a real one  and was so excited to see another declutter from you cause I loved the last one also I turned 25 on April 10th  and happy late birthday ,@tawneerei4527,10 ay önce,0
"I totally understand you, sometimes it is a bit difficult to see what clothes should be getting rid of. I was told that you should put the clothe on your cheek and if that certain clothing doesn't bring you joy then you should get rid of it, as well as if you know you're not going to wear something again donate it, this strategy has definitely helped me a lot when i declutter and organize my clothes. Also Happy birthday queen !!!",@janinneaguayza4999,11 ay önce,0
"Happy birthday queen, hope you have an amazing day because you deserve it!! ️‍",@abrilreyesespinoza4234,11 ay önce,0
"happy birthday hannah!! i’ve been watching you before you transferred colleges and I can’t believe how far you have come so fast! your videos are so inspirational to me and want me to live a better life but still be real and have real expectations for things, thank you for making ur videos and i hope you have an amazing day!!",@lynadinh7408,11 ay önce,3
Happy birthday Hannah! you deserve all your success !!,@omarbadawy7715,11 ay önce,0
Happy birthday!! This is giving me motivation to clean out my closet as well ,@emmajones5891,11 ay önce,1
"Heyy Hannah, I have also started to clean out my room and I’m feeling soo much better",@Adelina.Cesaltina.G,11 ay önce,3
i always feel so much better when i declutter my closet! thanks for the inspo & happy birthday ,@_adventuresofsami,11 ay önce,0
happy birthday queen!! literally did a closet clean out yesterday and so happy you filmed another ,@jadawashington8803,11 ay önce,0
"PEOPLE CAN DO HARD THINGS"" I love that  I'm doing this today and ... let me tell ya... I feel ya , I'm also a massive hoarder of clothes, but we've got to remember we can donate them to charity and those lovely pieces can make someone else's day",@natashachristine,11 ay önce,0
I love a good closet clean out video and I love your hair it looks sooo good  happy birthday ,@lisavanhilten3557,11 ay önce,0
