text,author,date,like
u & ava hanging out is everything i've ever needed TWO FAV YOUTUBERS,@UniceLiu,11 ay önce (düzenlendi),332
"32:42 - 34:00 BEST STORY-TIME EVER  

The visuals, the voice over, the motivational message (made me scream ) Glad you were able to escape the queue. Thank you for sharing this beautiful trip with us ️ The energyyyyyy in this vlog is giving high vibrations",@alayetube,11 ay önce,114
fancy seeing you!!,,11 ay önce,306
Me overcoming my grief of us not being together in LA by watching this video of you thriving while I get ready for my last day. So glad you had this reset trip that you deserve ️,,11 ay önce,108
I moved by myself to another country and part of the reason I was able to do it (and do things on my own) is because of your vlogs like this one. They help me build confidence to go out there and do stuff by myself. So thank you for the motivation!,@victoriacarriontoledo8071,11 ay önce,105
Editing keeps getting better and better! I can't wait to graduate college this month and start traveling more!,@carlijerrett3353,11 ay önce,105
just thinking the whole time how brave Hannah is for driving to the airport and then renting a car and driving in LA !! I could never!!!,@hollyken3,11 ay önce,33
"Solo travel is my favorite! I didn't get brave enough to do it until my 40's, better late than never! ",,11 ay önce,201
You’re so brave to travel alone! I really want to start solo traveling too!,@HannahsStory0,11 ay önce,78
"I feel that I NEED to address this:
I am extremely proud of you as I also am extremely thankful that you did this and took us with you.
I’m trying not to dwell too much on this but I am an extremely talkative person when I’m comfortable enough (and your channel is one of my safe places so ️), I hope someday, soon enough, I can be as bold as you were throughout this whole video, thank you again.",@dudarieger1808,10 ay önce,14
"Hannah, I watched you move to NYC in such awe of you taking advantage of all post-grad life can be. Now, several months later, I’m getting ready to move to NYC myself for medical school. Thanks for making this out-of-state move seem a little more doable :)",@hedgehogpeace,11 ay önce,26
Okay this collab is literally EVERYTHING!! Love this for you guys ,@khalilahd.,11 ay önce,30
"solo traveling is literally the absolute best thing ever and I’m soooo glad you’re learning this so early in life (spoken as someone who didn’t really learn this until my late 20s). also you gotta get TSA Precheck, bc that sh*t is soooo with it ",@artxlife7236,11 ay önce,31
Ava and Hannah getting road rage together was the cutest thing I’ve ever seen.  You know it’s a true friend when they get passenger seat rage while you drive. ,@pinkelephantpanda,8 ay önce (düzenlendi),0
Love your videos as always! But this one was hard for me since I’m originally from the LA area but haven’t lived there in like 5 years and I’ve been trying to move back for the last couple years or so but things have been getting in the way. You just talking about driving in LA made me tear up (I’m an introvert who loves audiobooks and grew up driving there so although there are so horrible aspects — like seeing fatal crashes at 5 am in the morning on the way to high school — man PCH really does makes you feel like a main character) This video inspired me to try and make another short trip out there soon.,@madalynwatson8351,10 ay önce,1
"This video was excellent. The way it was edited, you were so happy and cutesy, all the places you went. Brightened my Sunday evening after a long day of work ",@nataliewright2806,11 ay önce,17
Omg I absolutely adore Ava and You! This vlog is so iconic and I can't wait for you two to vlog together again,@ramensworld2611,10 ay önce,7
"I just literally finished watching Ava's San Diego/LA vlog then to my surprise, she's on yours!! So cool!! I'd love to live in California again. So happy for you making it productive as had a great time. You  are the REAL ONE!! ",@jancarlson2165,11 ay önce,14
Love this so much and I am so on with your content! Thank you for being such a light in my life! You are so encouraging and entertaining! Thank you for always being yourself! I hope that you have had an amazing day! Love you!,@isabellalacy9901,11 ay önce,18
This vlog was so fun to watch! I can't wait to travel again and be this excited about being in a plane again!,@gfrenchtoast1029,10 ay önce,4
I’m going to LA next week and this video was so amazing and has made me even more excited!! U are so cool calm and just vibing and I love it ,@jackieandkacie,10 ay önce,4
hannah's vlogs are soo aesthetic and relaxing ,@kawaii_gallery,11 ay önce,6
"You seemed so happy, so brightly happy and I'm living for that 🥹. I'm so glad and proud of youuuu ️. 
Love ya Hannah, hoping the best for you always .",@janethzavala2070,11 ay önce,9
yes have been DYING for this!! ilysm hannah!! i’m so glad to see you so happy and living your best life!! what a queen ️,@izzyr497,11 ay önce,14
Hannah’s constant gratitude is so inspiring 🥹,@alexissargent5842,11 ay önce,1
"This is so crazy! I just watched Ava’s vlog and it transitioned to yours without me clicking your vid. 

I started watching both of your channels THE SAME DAY and loved how chill you both are. So crazy how things intertwine! ",@lydiannacirilo1987,10 ay önce,2
"Hannah, i just wanna say that you’re STUNNING in this vlog (also as always) i keep rewatching this vlog admiring your beauty and glow. To added with the point i inspired to do the solo travel too",@asmaafifah2432,10 ay önce,1
"This vlog is so inspiring and entertaining. Also, so sweet of you to video call your mom while in LA. I definitely do the same! To more solo travel vlogs ",@samanthanicole8441,11 ay önce,2
"I must say I love the vlogs and the reliability of vlogs every week. Don't usually watch it on the day that it comes out, but I get round to it eventually ... Hate the coffee slurping noise but tolerate it bc I love everything else :D I don't care about the fashion, although I have learned a bit from that, so thank you anyway :D",@ninaandianfan21,10 ay önce,1
Girl I have been patiently waiting all day! I have been feeling very depressed this weekend and your videos always put me in a better mood. Love you and I'm happy to hear that you had a great time in LA!,@mariahwyant,11 ay önce,9
"Solo traveling is my favorite!, I've done it with both international and domestic trips! I was so scared the first time, but I try to do it at least once a year ever since the first one because you really just learn a lot about yourself.",@passportsandpizzapies,10 ay önce,2
Hannah I’d just like to say that your videos are an inspiration to me like I don’t like to say you’re living the life i in-vision for myself because everyone live different lives and such but yeah truly some goals… ps currently buying tickets to la thought I could do the drive buttt,@mikayla795,7 ay önce,0
"I loveee how content you are with traveling solo, goals girl. GOALS.",@natnicxo,10 ay önce,0
This vlog was AMAZING!!! Loved watching you get out of your comfort zone and grow  very wholesome!!,@isabelguillenvlogs,10 ay önce,1
"You're so brave to travel alone, I get so nervous! This looks so refreshing tho",@macyhmay,10 ay önce,2
i loved this vlog!!! so happy you are feeling more comfortable traveling alone!! you make me want to overcome that as well. also you editing is chefs kiss. this vlog just made me so happy!!,@audreyhamilton5765,10 ay önce,2
I give you lots of credit for traveling alone…I don’t think I could do it! Looks like you had a great time!!,@nicolearnone8745,10 ay önce,2
"This observation is probably because I’m a therapist, but I know you have anxiety (or at least used to), so it’s so cool to see you doing all of these big solo things. Proud of you!",@jessicaestep3607,11 ay önce,0
"Hannah absolutely destroyed that dessert with no mercy, you go queen",@clarinha6917,10 ay önce,0
"you're so inspiring!!!!! I love watching your content because its so relatable and it makes me motivated to try stuff like this! thank you for what you do, truly ",@gracemittleman8287,11 ay önce,1
You just make my life and little better! I've been really anxious about work and somehow your videos make my mornings better and help me feel more relaxed!,@minja7777,11 ay önce,1
"This is one of my fav vlogs of yours  Love to see you travelling and having a great time, Hannah ",@its_rosy,11 ay önce,1
thank you for taking us along with you on this trip! it really felt nice amidst my busy schedule to be watching this ,@indigobutterflyable,11 ay önce,1
Your travel videos are always amazing! Would love to see you do out of country travels!!,@janepauleen,11 ay önce,1
This video inspired me to book a spontaneous solo trip to Atlanta. I love you for making me believe in myself 🥹,@Nykayla,11 ay önce,6
Such an elaborated and genuine vlog! Loved it ️,@jwyxisoqnkwow5034,10 ay önce,1
"Oh Hannah, I absolutely love that for you!! So sweet seeing you so happy and enjoying your trip!",@deborah8965,11 ay önce,1
"when you came back from breakfast with your friend, I would've just stayed in after that, I would've been too nervous to explore. Super proud that you kept exploring and finding new things to do!",@deskchair6047,10 ay önce,1
"Living for this vlog, you inspire me Hannah!! ",@brennakelley7579,10 ay önce,0
Sis really be living her best life out there. So happy for you ,@poojabooluck-miller9896,11 ay önce,1
I love the energy and the happiness level. Absorb it all! Also words for your next experience especially as you travel more - TSA Pre especially for US and Global entry for international travel. WORTH EVERY PENNY.,@natmonee,11 ay önce,1
"How weird, I am about to be in LA for 3 days too! I will have my friend as a companion but is still one of the bigger trips I’ve done on my own :) this vlog made me super excited for it!!!",@Polymerclayabkery,10 ay önce,0
"Hey Hannah, your LA vlog looks amazing! You did an awesome job on this video! You’re the real one!",@cameronmitchell9359,11 ay önce,1
"this video was everything i needed today. thank you, hannah! 🥹",@miashaffery,11 ay önce,4
"you have no idea how much you inspire me, keep doing great things!!",@priyagajar321,11 ay önce,0
"Hannah, this is coming from a California girl, and I truly believe you are a California girl yourself. I have never seen you even half this happy in New York. You came alive! You would would have so many opportunities her and you have the personality to make friends anywhere. Heck, I will come down and get to know you if you’d like. By car it would take me anywhere from 3 1/2 hours to 4 if I drove but if I flew from Fresno to L.A. It would take about 45 minutes. I could easily see you as a California girl or Hawaii girl. Think about it. If you ever want to talk, whether its on the phone, texting, or email, let me know and I will give you my info. So glad you had a great time! ",@tracyolson2739,10 ay önce,0
going on a solo trip this summer and watching this makes me so excited!!! loved this sm hannah<3 hope you are doing well,@jordan3002,11 ay önce,1
Beautiful Vlog I LOVE ALL YOUR SOLO TRIPS!! <33,@ANGELAUGUSTINO,8 ay önce,0
Hi i’m here a day late but Story: I chopped my hair that was close to my butt so there’s that anyways Hannah girl this was amazing! 1. making me miss cali SO much need to go 2. solo traveling is scary but makes you feel alive so love that for you 3. You absolutely looked glowing and happy! Thank you for bringing us along.,@melindacordova_,10 ay önce,0
Love this vlog and the fact that you're traveling by yourself! Madelyn Cline also went to the beachwood cafe for her vogue interview!!,@NNLea,11 ay önce (düzenlendi),1
I live in CA - San Diego by the way... I really enjoyed watching this video.  I think your video skills (camera work) have gotten so much better since I started following your channel (NYC Apartment Hunt).  Your vlog did LA justice!  Nice job!,@susanfreeman8776,10 ay önce,0
"eating homemade pasta and watching this is an absolute vibe, day is already 10x better",@svgerd,8 ay önce,0
I loved this! Love your positive vibes! Glad you enjoyed yourself.,@calideeslife3224,11 ay önce,0
"Hannah, I have never laughed so much while watching one of your videos! This one is a favorite for sure!!",@mazaiah_,11 ay önce,2
always a breathe or fresh air watching you! Such a vibe ,@MompreneurCass,10 ay önce,0
"I love the overall aesthetic of your videos, they are so good!!!!!!!!!!!!!!! Love you girl!!!!!!",@chillbalticgirl2287,9 ay önce,0
I would love to see more solo travel content. Very fun to watch lol,@g.c.9006,10 ay önce,0
"Hannah, I screamed when I saw the Beachwood Cafe sign ! I'm so happy you got to go there and experience it and share it with us! Love you!",@arnilachowdhury6287,11 ay önce (düzenlendi),0
"Whoa ! This is crazy. Never imagined both you and Ava in the same vlog. I've watched so many of Ava's stuff , too. You both are awesome !",@kelz.h.n5991,11 ay önce,0
I love how long the vlogs are!!!! Thank you for always providing that quality long content love ya!,@jennagianakos1220,11 ay önce,0
I'm so happy I found your channel! I'm 22 today and have been considering going into marketing at my community college. Do you have any important things to know about this field? If I like editing/ having projects to do with a team what should I pursue in within marketing communications?,@PJ-gq1kh,7 ay önce,0
your videos honestly bring me so much joy! xo,@mollyp5911,10 ay önce,0
i LIVE for hannah and ava's friendship!!,@deepasubramanya6365,11 ay önce,0
Thank you for sharing. LA is definitely on our bucket list.,@jandsadventures,9 ay önce,0
You’re giving amazing vibes!! I absolutely love watching your videos,@JRKMProductions,11 ay önce,0
I LOVE THIS VLOG WITH ALL MY HEART. Literally the best one yet.,@zainaanas3313,11 ay önce,2
this inspired me!!! i’ve always wanted to go on a solo trip but am too scared. way to go this is so awesome,@jamienicole13,11 ay önce,0
Loved this video Hannah! Thank you for taking us along! Beautiful places! ️,@cherylzink3612,11 ay önce,1
i’ve been on the fence about whether to travel to visit my friend in boston on my own this summer but this video has solidified for me that i should do it!,@tigglesrandom,10 ay önce,0
"Same thing happened to me when I went to LA, I LOVED driving there, but I completely understand that people living there absolutely hate it, I would too lol, but as a tourist I loved it and I cannot wait to go back.",@irenehm,10 ay önce,0
I literally went to LA over winter break in feb and i honestly dont know why but the street and road shots seem so nostalgic ,@saihari414,11 ay önce,2
Hannah you are such a good YouTuber!!! I absolutely loved this vlog…. ,@hayleyl1166,6 ay önce,0
I've been binging a lot of your past content (mainly college since I'm now in college) and it's crazy to see how you've changed but are the same in some ways Love ya!,@allig.4461,11 ay önce,0
I just love your positivity and how happy you are about a hotel room. (Didn't you book it by yourself?). I just love your videos. But who's watching your cat? The END though was hilarious :D,@MissChocosugar,10 ay önce (düzenlendi),0
"You're so brave! I wish I have the courage to travel alone! Have you tried using a duffle bag for your travel? I recommend using the Bento Bag from Nomad Lane. 
I've been using this bag for months now and it is such a hack. 
It has a trolley sleeve feature and it fits under the seat too! makes your travel more convenient and effortless and it packs like a suitcase too!",@francinejaninesarmiento1797,10 ay önce,0
I literally couldn’t wait to watch this loved it so much !️ I hope you had fun traveling ,@myahasarah507,11 ay önce,0
"You’re glowing  in this vid. 
Literally radiating happiness",@user-co5hn4yn6l,10 ay önce,0
AULED IT! I mean the ENTIRE trip! SO proud of you chica!! #23 and FEARLESS,@mobe494,11 ay önce,0
The TSA story was ‘chef’s kiss’   It’s lovely to see your travels and experiences. I’m sure your example will encourage other young people to travel. Maybe future stories could address how you manage your own safety when you travel. :),@andreacullen770,11 ay önce,0
I am new to your channel and I loved this video. I live in Los Angeles and driving your own car gives you lots of freedom. There are so many fun places to go in LA that you should try for the next time. I also highly suggest for you to stay by the beach next time. You will love it.,@elenaalvarez4202,10 ay önce,0
"Bro I was so anxious so I ate pasta and watched this vid and it actually made everything okay again. So glad you had a fabulous trip, you deserve it <3",@katherinelibenson1798,11 ay önce,0
"I’m originally from the LA area so it was fun seeing your video. I moved away in 1978! Also, I have been following you and Ava for about the same amount of time and had no idea you were friends. What a cool surprise!",@robinscott962,11 ay önce,0
You make me excited for my trip to Denver (I live in Illinois) in August!  I love to travel.,@catherinevalentine2986,10 ay önce,0
This Inspires me to go on a solo trip!,@CamrynAlexus,8 ay önce,0
