text,author,date,like
"When I watch your videos. I feel like I need to get myself an iced coffee, get into my pjs, snuggle up in bed and just chill, and relax! It's so therapeutic watching your videos",Charisma Carrillo,10 ay önce,409
Something about the way you edit is  so satisfying. & your personality is so endearing and warm. Loved this,Brielle Juliet,10 ay önce,142
"this video literally felt like 25 minutes of face timing with a friend who is packing for some trip ahahahahaha! love you Hannah!
I AM A REAL ONE",Raisa Bose,10 ay önce,37
"Here’s a coffee recipe that I’ve been loving for the past few days: get caramel syrup and mix it in when your coffee is brewing. I have a Nespresso machine and I use the pod chiaro. Put ice in your cup, milk, I use the planet oat vanilla, add caramel around the cup and then add the coffee. It literally taste like an iced latte you’d get from a small coffee shop, it’s sooo good!!",Shante Carter,10 ay önce (düzenlendi),25
PRE TRIP STRESS IS REAL  love videos like this ️ you look beautiful btw!,Nija,10 ay önce,58
I so recommend any of the KISS nails. When done properly either glue or stick tabs (I prefer stick tabs) they last me almost 2 weeks and it’s takes 5 minutes to do !! So many lengths and designs. I always get so many compliments!! They are my go to trip nails !,Jada Swanier,10 ay önce,12
Your videos always make me feel like actually being productive and make me clean my depression space and I love and appreciate you for that! Don't forget you're an amazing and beautiful human ️,Grae Euc,10 ay önce,11
"ahhhhh. So I’m watching this video in my parent’s house where I spent all of my college days watching your videos, and the NOSTALGIA that is hitting… it’s unreal. I had to pause the video to type this because I got overwhelmed by emotions HAHA",Courtney Layer,10 ay önce,9
"definitely not me, leaving for a week on Saturday, studying for my final tomorrow, followed by a haircut, followed by working 2 12 hour shifts Thursday and Friday  seriously, I appreciate the solidarity",Kimberlea South,10 ay önce,2
"Its been literal years and I still scream every Sunday when I see the new video notification
the power Hanna has on me-",Luisa Ojeda,10 ay önce,6
And here I thought I was bad when it came to packing for trips  love how honest you are though. If anything this is a learning experience lol,Khalilah D.,10 ay önce,27
I use those type of nails all the time. I stopped lying so much to have the done bc with practice you can make those look just as good!!!,cydney rentz,10 ay önce,3
"I feel that stress  no matter how early or late I start packing I always forget something! It started to give me anxiety so I started thinking just like you said: it's not the end of the world, whatever I forgot to bring, I can just buy! ",Bianca.,10 ay önce,10
"been catching up on my queen's videos AND I GOTTA SAY, she is still the most relatable person EVER and literally someone who keeps me sane AND INSPIRED! I love you so much!!! Thank you for always being consistent, sharing these moments with us, and just being you!",Kay Angeles,10 ay önce,3
Hannah your skin is literally GLOWING omg im jealous ,Carly Wynn,10 ay önce,8
I just finished an important final for my major and I had to watch your video after because you are my stress reliever ️,Claire Tracy,10 ay önce,2
First: your a Queen loving the content recently! Second: new tattoo update? Third: stay fabulous :),Amanda Batstone,10 ay önce,5
You make me want to go on a solo trip myself,Laura Garrido,10 ay önce,2
Always ending my weekend on a high note,Wallflower,10 ay önce,7
"Me, a nail tech, wanting to reach through the screen and do your nails for you!
For doing it on yourself though great job! I approve!",Chanplans,10 ay önce,5
I was so confused when I saw the title then I realized you probably just posted the actual travel video before the prep. Can't wait to snuggle up and watch it on a Sunday afternoon.,Me,10 ay önce,24
Hey hannah I love you!! I just wanted to let you know you don’t need to be using 20 volume on your hair… you can actually use 10 volumes since you are in my depositing color  anything over 10 volume is used to cover greys :),Mary Donna,10 ay önce,4
this is motivating me to get out of my comfort zone.... wish I has enough $$ to go for a solo trip but a date with myself will make do for now!!,Nicole Lim,10 ay önce,5
"Me watching this telling myself that I will not wait till the last minute to get ready for a trip to my masters graduation from TX to DC… I have less than a week to get ready and I will begin tomorrow! Like always, I enjoyed your video!",AC C,10 ay önce,18
"I always say this but I honestly love your videos, it always makes me feel like I’m busy and going along with you but I’m just chilling in bed 🫣 my favourite type of comfort video 🥹",madeleine,10 ay önce,6
