text,author,date,like
I think the bee glasses would serve as a nice homage to Ali’s bee keeping ,Liz Walters,10 ay önce,125
"I’m literally the most influenced person by you.
Atwell dress from ALB? Bought it. 
Empressa perfume? Had to have it. 
Square neck body suit? On the way. ",Gretchen Pembrook,10 ay önce (düzenlendi),18
"The Rime Arodaky outfit is AMAZING!!!! Loved all your new summer additions (oh, and the lemon dresses)!",Tina Hagerty,10 ay önce,8
"Gorgeous skin, perfect look without makeup ... fresh young healthy and absolutely Fabulous ️",Inga Tammien,10 ay önce,5
The Jigsaw gingham dress just looked really washed you out and ended up ‘wearing you’. The blue dress is stunning ,Petrina Hollins,10 ay önce,18
P.S. All the dresses look so good on you and they look so much like summer. Loving the white one’s especially.,Heidi M,10 ay önce,7
I would love to see you create some outfits with your other beautiful bags! I think the Sage Dior for example would be perfect with the gingham or lemon dresses!,Glynis Leon,10 ay önce,8
LOVE the KM dress with the lemons...wow - stunning!,Gigi,10 ay önce,5
Both the citrus dresses are gorgeous  ,Debby Townsend,10 ay önce,4
Monday is my weekend and I always look forward to your vlogs and I can’t wait for the next one. Btw love the trousers that you wore during your try on haul and of course the white skirt and puff crop top. I would definitely be shopping in your closet if we were sisters. ️,Amanda W,10 ay önce,4
Lydia. You will be fine. Your work is much appreciated. You come across as such a nice genuine person. Enjoy your life and don’t worry. Xx hugs,chrisi Logan,10 ay önce,11
I love love ur vibes n energy & thanks for sharing with us ,Art as Well,10 ay önce (düzenlendi),4
"Dear Lydia, Thank you for mentioning  Rime Arodaky, totally breathtaking wedding dresses, I finnaly found my one and only!!! OM Goodness;)",Dutch Girl,7 ay önce,0
Love all the clothes Lydia ! ,Jazzy Jaq,10 ay önce,2
"Such a great vlog, I always look forward to them ️",EmiStyled,10 ay önce,6
Everything barring the gingham pieces are utterly stunning!! Those lemon dresses especially!,Caoimhe Ní Mhuireadhaigh,10 ay önce,3
"Great videos & vlogs, Mrs. Lydia Millen Gordon & Mr. Ali Millen Gordon. Happy Platinum Jubilee to England. Thanks for filming & sharing the beauty of England. Happy holidays from our channel: Australian Parakeets Stars",alexandria nguyen,9 ay önce,1
"You have such a beautiful life. I am so happy for you and your family. Your video's bring so much hope, peace, inspiration, love, joy, elegance and goodness. God bless you richly and abundantly!",Elnaz Rashidipour,10 ay önce,2
OMG - the lemon dress is absolutely STUNNING in you - wow wow wow.  The up to the neck lemon dress is beautiful too,Dionne Voller,10 ay önce (düzenlendi),9
The lipstick looks amazing it suits you so much,Mary Porter,10 ay önce,4
Thank you for the lovely vlog! ,FairyFleur,10 ay önce,8
Lydia..your vlogs never disappoint!! I look forward to them so much..the dresses are beautiful and the white top and skirt is sooo pretty!!,Patty Barnes,10 ay önce,0
I love love love the white dress you designed that you opened the vlog with.  Absolutely stunning.,joanna wichers,10 ay önce,13
"I am feeling very light, lovely and fresh today- feeling very Lydia in other words. Always wonderful to see you, my Fabulous Fashionista! xoxoxo",Gradycat9,10 ay önce,1
I really enjoy your vlogs so much. I wouldn’t invest in some of the skincare you show because they test on animals but absolutely adore your content xxx,Cheche21,10 ay önce,6
Love all the white summer dresses! The gingham is a little too “Dorothy from the Wizard of Oz”. Really enjoy your content and appreciate all of your team’s hard work ️,Linda DeMeyer,10 ay önce,3
Congratulations on yet another successful launch  and lydia you in ur greenhouse watering them plants is a vision from dreams. Wish you all the best in life and in all ur endeavors,Yulun Zahra,10 ay önce,0
That Tucson dream dress is gorgeous!,thepjtx,10 ay önce,4
The hydrangea skirt you are wearing Lydia is so beautiful  I've just looked at the price and passed out! But actually it's probably worth it as would never date. Looks beautiful on you.x ,Beverley Roberts,10 ay önce,11
Wow the final white outfit. I would wear that for a destination wedding x,KP2018,9 ay önce,0
I just brought the Elizabeth Arden Capsules! Excited to try them! ,LifeOfPri,10 ay önce,0
"Can we have a new series from you??....

LYDIA MILLEN PRESENTS: Fresh From The Kitchen Garden
I LOVED the salad making sequence!",Dinky,10 ay önce,22
"omg the vista (hopefully that's the right context to use the word) of you standing in the kitchen in the blue and green skirt and your green kitchen was just something else - stunning! 
I'm the same with misophonia I HATE hearing people eat, but my cat I'm like 'omggggg I love you so muchhhhh'",Courtnee Haley,10 ay önce,0
"Lydia, I was wondering if you could possibly do an all-in-one skin care products/routine type of video? And include all your favorite/current skin care products. I know you mention a lot here and there throughout your videos, but maybe a video going more in depth for these products, describing their benefits and uses would be very helpful for me! :) Your skin is so beautiful. Btw I love the gardening parts of your videos, so relaxing. ",Ss Cx,10 ay önce,2
Good morning beautiful lydia I hope you ali lumi and the boys are well it's so lovely to see you again babe  thanks so much for sharing your vlog love your house your house garden your garden and your chic dressing room  stay safe babes xxx,Alison Kovacs,10 ay önce,4
The last two out fits were my fave . The last one my absolute fave so beautiful ️️️ love,Maxine Muhammad,10 ay önce,0
Can you do a fragrance collection video?️,sara AF Goa,10 ay önce,6
Oooohhh that navy dress was stunning on you! Gorgeous!,Suzanne Davies,10 ay önce,1
Lovely video as always  ,Claire Browning,10 ay önce,3
Oh what a lovely vlog  those dresses are divine- that covered belt on the lemon dress  X,Laura Dukes,10 ay önce,6
"""Wed-ness-day"" 
I'm sure the rest of this vlog will continue to deliver as strongly as the opening greeting. ",Constanza's,10 ay önce,10
"Just ordered the capsules, hopefully they will not disappoint ",Arae,10 ay önce,0
"love your content! there's currently a lot of environmental echo inside your dressing room, can consider installing a layer of sound absorbing panels, painted in same colour as surround paint, as the back panels of each bag & shoe display shelves.",Arden Lee,10 ay önce,2
"That last white outfit is a dream and it fits you like a dream, too. Stunning!!!!",Cristina Magurean,10 ay önce,0
"I love the bee glasses, I think if you purchased  Ali would think you were thinking of him, they also have other pieces, bowls, etc",Patti Bonanno,10 ay önce,1
Been looking forward to this ️,Jebin Begum,10 ay önce,2
"I feel like you and Ali should get ducks. I know you’ve talked about chickens before, and I agree, but I think you would enjoy the absolute hell out of ducks. They’re absolutely hilarious, they get on with dogs well, and their eggs are excellent for baking. Actually all waterfowl eggs are excellent for baking, for whatever reason they lend an extra kind of fluffiness to baking that normal eggs do not. Plus, ducklings bond with whoever they see first upon hatching so if a duckling bonds with you, it will literally follow you everywhere like a little feathered puppy. They also eat garden pests, like slugs and other nasties that might eat your beautiful produce. Just some food for thought. P.S I LOVE the silk sleeveless lemon dress on you. They’re both stunning honestly, but I think the sleeveless one is a lovely option for garden parties and the warmer weather.",Sarah,10 ay önce (düzenlendi),3
