text,author,date,like
Finally someone talking about this because I also graduated a year ago and Omg the struggle is REAL! Also congrats to all the grads you’ve completed such an incredible task no matter the age ,Khalilah D.,10 ay önce (düzenlendi),249
"I graduated from high school in 2018. My sophomore year in high school I made a decision that would completely change my life. I decided to go to a vocational school that my school had the option to go to. I went for welding. Turns out I have a passion for welding. There's just something about laying down a good weld just brings me so much joy. I'm good at my job and what I do. I love my job and my company and my supervisor. I'm so happy that things are finally turning around for me. I've been through a lot in my life. A lot of job hopping bc of a choice that I made a few years ago. If your reading this comment. If you happen to be in a relationship with someone who's manipulative, abusive in any way, forceful with everything, or just in anyway shape or form if your gut is telling you to leave. Take my advice and leave. If they are trying to make you quit your job that you love. Leave. Trust me if I could go back in time, I would've listened to my gut. Life will through you many challenges but you have to know and that you can get through it and you will. I guarantee that you will mke it through. If you ever feel lonely or you feel afraid, look up bible verses or positive quotes. You will make it. You are strong enough, you are beautiful/handsome. You are enough, you are loved.",Mariah Wyant,10 ay önce,128
"Hannah, I am probably one of your most unlikely followers. I am not only old enough to be your mother, I'm old enough to be your grandmother. But you are an influencer to me. What you do for a living was not imaginable when I was your age. There was no internet, no personal computers, no cell phones. We had libraries, typewriters and landlines. But we had the same issues as you do now. Anyone with an iota of humility will always have imposter syndrome. And who isn't tempted to waste the day away on social media or binging on some stupid show? You're doing just fine and you're adorable. Please keep making your content for your peers and us old farts too.",Jeri M,10 ay önce,117
Ok but imagine if Hannah had a podcast  That would be literally a dream come true,Janaína Araújo,10 ay önce,20
I just finished my degree this morning at exactly 11:40am!! This was posted at the perfect time ️,Yusra,10 ay önce,123
I'm impressed with you. I'm a 73 year old retired teacher. I think you have your act together. Good job!,Carolyn Landrum,10 ay önce,58
"have you considered doing a podcast bc I feel like you could make such an interesting one on living in nyc, post grad, your career, your life routines, etc! (I would definitely listen and hope you make one!!!)",Sydney Perkins,10 ay önce,51
"A year ago I commented one of your videos of how scared of not finding a job I was(or something like that) you replied and told me that a lot of people felt like it and that I would figure it out, today, one year later I have a job that has to do with the career I studied and I’m getting not so bad of a salary, I’m not where I wanna be yet but I’m working on itily🫶
(I graduated May 2021 too)",Mayra Rivera,10 ay önce,13
I just graduated two weekends ago (mine was May 14) and the post-grad stress and anxiety is real. I can totally relate to the feeling.,Darklink7884,10 ay önce (düzenlendi),53
I’m actually going to argue that it’s great to go into life without a plan at all and just let life take you wherever,Alexis,10 ay önce,23
"I graduated this past Saturday, and I have so many people asking me what I am doing and the next step. I tell them I'm young, I still have time to figure it out but whatever I decide to do is because I love and want to do it. Def needed to hear this!!",Gesselle Sanchez,10 ay önce,9
I'm moving across the country for the first time ever with my first big girl job (& still in school for my masters online lol) but its so encouraging to hear that you're so happy with your decision to move to NYC. Im very excited and know I'm gonna learn and grow so much so thanks for sharing your experience :))),Natalie Wright,10 ay önce,16
