text,author,date,like
“Oh my god I’m having such a lovely day I’m having so much fun”. ️ this is why we all love you and would want to be friends with you in real life Lydia. So glad you guys had a great time. Im in America so thank you for taking us along with you to the Chelsea Show. So beautiful!,NightmasksHaven,10 ay önce,62
"I have loved your content recently. You’ve inspired me to buy more dresses and look at different brands than I wouldn't normally, H&M especially! You’ve helped me take a different outlook on my home life and I’m growing my own fruit and veg this year. I find your content a real joy to watch. Thank you. X",Wendy Gillett,10 ay önce (düzenlendi),42
"This Is Truly Living Your Best Life, Lydia! Reaping and Appreciating the Beenefits of Your Success! I for one am so proud of you, inspired by you  and so very excited for you. Your powerful positive personality in everything you set out to do is Your Super Power! You mindset controls your reality! I just love you! Your big sis in Tampa....lol...",Missy Belmont,10 ay önce,67
"The Chelsea flower show looks spectacular! I loved this vlog, such a beautiful video",Anastacia Leahey,10 ay önce,15
"Your enthusiasm is so joyful, thank you for sharing your lovely day ",ilovemaxie,10 ay önce,12
"Absolutely loved  this Lydia, makes me happy sitting down & and relaxing/, watching this, perfect end to a day ️",Jacq,10 ay önce,22
"My dear Lydia, I am so impressed by the growth and changes in you over the past three + years.  You have grown so much. Cheers.",Diana B,10 ay önce,8
The flower show was  Thank you so much for vlogging it!! Watching from so far away and so I can't thank you enough for letting me enjoy it too  ,Koko C,10 ay önce,3
"Fabulous visit to Chelsea Flower Show, right up my street .. thank you for taking us along Lydia ",Helen Stella,10 ay önce,12
This just brought me so much joy. It has me counting down the days until spring!,Samantha & Brad Eberhart,10 ay önce,1
This blog has been so soothing and inspirational. Enjoyed it immensely xx,Khadeejah Raja,10 ay önce,3
"Would love to see it! Absolutely gorgeous! I must say the UK has the best garden centres! Love from Vancouver Island, Canada!",Trisha Orr,10 ay önce,13
"I usually try to watch your videos as close to the time you post them as possible but lately I’ve been taking Thursdays off with my husband and I have to say, I so look forward to Fridays now when I can just sit at my desk, put my headphones in and listen/watch your lovely videos. They are such a highlight in my work week! ",Tiffany’s Epiphanies,10 ay önce,2
"Whow what an introduction to the Flower Show, didn’t realise there was so much other than the actual design displays.   You definitely died and went to heaven Lydia. Pure “dreamscape”.  Thanks for the video at the RHS xxx",Soo60,10 ay önce,2
"I had to watch this in two parts, so you made TWO of my days brighter! What a fabulous vlog!  Thank you!",thepjtx,10 ay önce,1
It’s a real dream for me over in Australia to see England in the Spring one day and travel to Chelsea for the garden show. Thank you Lydia - your garden looks so amazing btw!,starlightshimmery,10 ay önce,7
"Thank you for taking us to the Chelsea Garden Show, I’ve always wanted to see it and you and Ali look so stylish, your dress is the dream!  ️",Kristin Cheever,10 ay önce,2
Absolutely adored the blue and white “on hold” dress!!! Good luck on acquiring it.  Thank you for sharing the Flower Show with us (sigh). ️,C Thompson,10 ay önce (düzenlendi),3
You are such an inspiration Lydia I love your vlog  !!!! ️️️,Inga Kovalerova,8 ay önce (düzenlendi),1
