text,author,date,like
"Excited for a potential future move to the Cotswolds! It fits your vibe perfectly. The other day, I came across this post on IG and it's a little long, but I think it's worth sharing because it seems like some other commenters are getting really hung up on 'how you could ever leave this house' and this notion that everything everyone does has to be FOREVER. So here it is: ",Jaclyn Salem,10 ay önce,367
Jeez Lydia - you can live wherever you want and you don’t have to explain why to anyone - I for one am excited about the whole process and I can’t wait ️,Kate McGovern,10 ay önce,171
"I so agree with Jaclyn… as somebody who has owned nine houses with my husband, I’m now 58, there been reasons why we have moved, but there is no law that the minute you live somewhere you have to live  forever. I actually kind of grin to myself when I hear people Who are younger and, even older, who say places are their “forever“ home. As a Christian, I always look at it as, as the Lord wills“, and he can move me anytime he wants to… I also need to check my heart why I’m moving, but moving in itself is not wrong. I love houses, I love redoing houses as well! And Lydia, I’m sure you will make a mint off of the home you live in now. You have done amazing things to it. So I say, cheers! And, I can’t wait to see what you end up in!",Lisa,8 ay önce,7
Please do more videos on English Country Grandmother content. I just love your aesthetic and I want to make my garden looks like yours! ,GlitterMommy,4 ay önce,1
Your aesthetic has definitely transitioned from modern contemporary with a bit of glam to English Country with a strong influence of rustic/vintage. I enjoy seeing the changes.,Teri Catanio,10 ay önce,36
"Oh Lydia! You are getting close to One Million subscribers and you are entitled to each and every one darling! I am a fan, watching from afar in Southern California. I always leave your videos refreshed and encouraged. Good on you for being so inspiring:)",TheVelvetArmy,10 ay önce,11
Looking forward to seeing how you put your design touch on wherever it is you and Ali decide to move with your fur babies! ,Lotus Petal,10 ay önce,10
"I just love the two of you.  You are such a caring, loving couple.  Live your best life!!",P W,10 ay önce,32
"Lydia, it's beautiful that you can know when to let go. This house is incredible but you're ready to move. You don't have to commit to something forever, just because you said yes in the first place. Letting go, moving on is key in life. YOU DO YOU!",Feminine Retreat,8 ay önce,5
"Ina Garten is ""the"" authority for beautiful living IMO.  Love her and I am glad you found her.  Her cookbooks are just wonderful and I love Jeffrey ️️️",Andra Skewes,3 ay önce,0
It's so great to see someone like you--beautiful inside and out---living your best life.  Thank you for sharing!,Elle Davis,10 ay önce,13
"The reason to live life to its fullest such an inspiring gorgeous coupling, and that little Porter is too adorable, surrounded by colourful vistas, and how to do life with quintessential taste.",tracey yeoman,8 ay önce,0
Lydia may you and your family live  your best life!!! I am sooo excited to watch your journey !!!,Shelia Erwin,10 ay önce,7
Obsessed with the whole English country grandma aesthetic  please do more on this!!,Lauren Pearson,10 ay önce,18
"Also, your decor reminds me so much of mine when I was your age. I'm now 52 and I see it all coming back (on your channel too). I LOVED this look, I'm on Long Island, NY and considered it then to be either Southern or French Country. I loved the sage green and natural wood. I love original cooper kitchen pots and pans etc. Williams-Sonoma (I believe you know them) has a lot of decor like that! Thanks for bringing back the cozy look! I held out doing stark white because it just wasn't me. ",Deb NYCurl,10 ay önce,5
"Omg, the giggles between you and your nonna!  glad she is doing well after some big hurdles and that she had a lovely birthday! X",Dorien Vullers,10 ay önce,5
"I am honestly so glad to hear that the negativity and comparison that goes on online between you and another influencer does not effect you or your friendship together! 
You are both unique in your own styles!",Victoria Wilson,10 ay önce,40
"Soho Farmhouse is SUCH a vibe isn’t it  I’ve been multiple times and had either a cabin or a hut and EVERYTHING is amazing  it truly is worth the cost as it’s just brilliant, so much choice in restaurants, great people, animals, everything  not watched all of it yet but I’m excited to because I saw the new accommodations when I went in March and I wanna know what they look like ",Cher Roberts,10 ay önce,2
"I love this video! Thank you for your openness regardless of the people that hate on you for making choices for your life! You’re such a gem, I enjoy and get so much inspiration from you and your videos and just your view on being you and doing you!",Kaitlin Edge Lifestyle,10 ay önce,15
"Number one rule - you do you! Who cares what others think, this is your life to live and make happiness with. My husband and I were lucky enough to buy our first home in the Cotswolds when I was 21 and we have been here 8 years now! Soho farmhouse isn’t our vibe but everywhere round here is so beautiful. We are actually moving away and will miss the Cotswolds so much",lollypops1,10 ay önce,17
