text,author,date,like
"Lydia, I recently read the most profound quote, ""When writing your life story, make sure that you're the one holding the pen"". This made me think of you and the life you have created with Ali, for yourselves. Well Done!",Sherry Copeland,9 ay önce,268
Being a well seasoned 66+ senior I do recollect a time in my early thirties when life seemed to change for me as well.  As you become more comfortable in your own skin exterior fancies matter less and  personal style and creativity  leap from within.  You may be entering into the best version of yourself so don’t doubt or hesitate.  Just do.,Tresa Starling,9 ay önce,173
"Never take the “ good days “ for granted. I’m from Hawaii and this year I lost my Husband and mother both from Cancer, and my home. The life I knew is gone and have had to start all over again alone. I know appreciate all the small wonderful things that come my way!",Robin Spencer,9 ay önce,123
"This has got to be my all-time favorite vlog of yours. You have been so honest and genuine in explaining your life and how much you have grown and changed as a woman, a wife, and a mother to your fur babies. The personal conversation you shared at the end of this blog was so beautiful, heartwarming, heartfelt, and sincere. I honestly felt like I was right there in the room with you, listening to a close friend share her innermost thoughts. When your eyes welled with tears, so did mine. No one on this platform, or any other, has ever made me feel that way. You are still so young and to have achieved this level of maturity is truly amazing and inspiring. I am 60 years old and I know people my age who have not obtained this much. Your parents must be incredibly proud of you (and Ali as well). I am proud of you and feel as though I have known you all my life. God bless you and your family. Stay safe.",Sherry Copeland,9 ay önce,30
I’ve been watching you for as long as I can remember and I’ve never connected and loved the messages you send more than now. You are a beautiful soul. I’ve enjoyed “getting to know you” through your vlogs. It’s like a daily catchup with a friend!!,Angel Ho,9 ay önce (düzenlendi),83
"THAT FEELING! The one where reflecting upon your life makes you cry from joy, THAT is what life's about. How ever a person gets there, whatever the ""thing"" is that conjures such joyous feelings, that deep sense of satisfaction and fulfillment is or should be what every person seeks after. It's beautiful and shows emotional maturity and is more often than not a hard destination to reach so don't allow ANYONE to take that from you.",Kelly Ann,9 ay önce,52
"Lydia...when you find joy and happiness in the simple things, your life is worth living .. there is no greater gift than that which you have discovered . Xxx",Lynne Lyons,9 ay önce,56
"Awe, you made me cry too! It has been so beautiful and inspiring seeing you find your joy, Lydia. Don't let anyone make you apologize for it!",Nicole M.,9 ay önce,52
Yep! I’m 60 and love my peaceful life with my hubby and two shih tzus. I sat on our patio last night with the pups who are 18 mo old just soaking in the calmness of the evening. Just removed some very toxic people from my life and sooo nice not to check my phone for stressful texts any longer. Glad you found your happy altitude as well! Peace is underrated. ,thepjtx,9 ay önce,36
Contentment in the simple things is an absolute joy. The reason we were created. Chasing rainbows sometimes loses its sparkle. You are blessed to have Ali and your best pal.,Debbie Stott,9 ay önce,12
I had a cry with you there at the end. I’ve watched you work so hard and accomplish so so much and grow and learn and now seeing you so happy and able to just BE… like to simply just be happy and not on the move and worrying and working 24/7… it’s almost like a weight off my own shoulders. It’s wild but I’ve looked up to you and thought “if she can do it so can I” so thank you for that and I’m beyond happy for you that you have the luxury of time to just BE now. Happy tears ,Jim Supernant,9 ay önce,11
So agree with you on the pre and post pandemic life. Cheers to appreciating the little things in life and realizing that constantly being on the go doesn’t bring the fulfillment that we used to think it did! Loving seeing you so happy and growing (literally and figuratively) in your home and life and garden 🥹,,9 ay önce,67
It has been an honor and inspiration watching you over the years- working so hard & trying to be so intentional to keep your authentic self along the way. Thank you for allowing us all into your life!,PNW Soundscapes,9 ay önce,0
"Loved your honesty. Keep having that conversation because many of us are feeling the same so it would mean a lot to see influencers talking about it too. It’s relevant, refreshing and a great way of connecting with us xx
Enjoy your book!",Chloe,7 ay önce,0
"Thank you Lydia for sharing what you did right at the end, I was getting emotional too 🥹 It’s so true that we need to pursue what makes us happy in life over what looks good/impressive to others, still working on this every day myself.  I think sadly there’s so much pressure on women in our modern society to be everything to everyone 24/7 and that’s just not possible but doesn’t stop many of us from living a life trapped in a vicious people-pleasing cycle.  Your life insights are always treasured  ",S. E.,9 ay önce,3
"You've built the life you didn't know you wanted, with the help of friends and family. Something we should all aspire to ",eluby,9 ay önce,10
This was such a beautiful vlog and definitely one to remember. That last bit at the end was my fav! Being surrounded by those you love is what it’s all about.,Robyn Davis,9 ay önce,10
The pandemic actually brought some very good changes in our lives. It has for me too. Part of becoming an adult is appreciating your home and all that goes with it.,Linda Hanselman,9 ay önce,3
You worked hard on yourself to be at this stage in your life well done ,Charnette Robertson,9 ay önce,13
I loved this vlog. Lydia you’re such a warm person  thank you for sharing your life with everyone.,arcdanner,9 ay önce,12
I understood exactly what you were trying to convey. There is one word for it - peace. You are at peace. I am so happy for you!,C S,9 ay önce,11
