text,author,date,like
Ooooh my goodness!  Those little dogs running and hopping through the field was adorable.  ️,Win Nys (Neece),9 ay önce,9
Lemon dress looked amazing on you and I loved your casual outfit at the end.  Hope you had a great weekend.   Garden designs look great.  Can't wait to see the changes to the garden and phase 2 of the house.,joanna wichers,9 ay önce,10
All the dresses are so pretty but I absolutely love the lemon dress! Your vlogs are giving such a positive and happy vibe ️thank you!,Lotus Petal,9 ay önce,6
"Hi Lydia, your pups playing in the fields is adorable! Love the new door wreath, could almost smell the lavender! Also like the changes you made to your new car, good decision.",Rach Peterson,9 ay önce,6
"In the beginning of the video, when you tested the perfume, I actually sat closer to smell it! I laughed so loud at myself! Thank you for always bringing us delightful videos Lydia!",Mariska Barnard,9 ay önce (düzenlendi),5
Lydia the lemon dress is stunning and I love your idea for a lemon themed garden party ,Denise Doran,9 ay önce,0
I have just discovered your channel and must say I absolutely love you. I put your channel on to unwind after a busy day. You are absolutely mad in the nicest possible way and I find myself laughing at you and with you equally. Absolutely love it!,Nicola E W,9 ay önce (düzenlendi),5
Always look forward to Monday and Thursday mornings! Love from Vancouver island ️  ️,Michaela Thamwong,9 ay önce,23
"Love these dresses! It’s so nice to have options where the neckline isn’t really low, it’s not short but a good length and no huge slits up the leg, definitely going to check out Oasis!",stuffandfaff,9 ay önce (düzenlendi),8
The new plans for the garden look fantastic. I'd love a kitchen garden ,Josie Leugner,9 ay önce,5
Godmother goals fabulous.  The doggies jumping in the grass was hilarious.  Love your roses for the table  looked gorgeous.  That lemon dress is so pretty. Enjoy your break.,Marilyn Hodgkinson,9 ay önce,4
Loved the lemon dress and the jeans outfit looked amazing… and that wreath is the nicest one yet,mrsf,9 ay önce,5
The blue puff sleeve dress from Amazon is amazing!  I am loving your Amazon fashion finds.,Ellen Robinson,9 ay önce,2
Loving your vlogs lately! You seem so happy  out of curiosity will you be keeping this house? (Just wondering why you are still doing so much work to it if you are moving ?) xx,Kaelah P,9 ay önce,24
You are my comfort channel! Classic and timeless style. Slow living. Green! I love ,Gabriella Chase,9 ay önce,19
"Love the green dress and the lemon one - really lovely - also the white jeans and jumper really suited you too .   Assume your ‘lifetime’ move is on the back burner for the moment.   Loving the dog walks, the roses and the plans you have for the garden - and to those if you making Snide comments about it - Lydia mentioned months and months ago about the possible changes they were making but had to wait until Nicholson’s were free to start the work I imagine.    Hope your having a fabulous week ",Dionne Voller,9 ay önce (düzenlendi),4
Thank you for letting us share in your beautiful life and for all the joy that you bring,Sarah Williams,9 ay önce,1
"The green linen dress, black linen dress and the lemon dress are absolutely perfection.",Saundra Cole,9 ay önce,3
"Loved the Oasis haul, so many pretty dresses, I ordered the khaki one on my phone whilst watching you on my TV, much to my husbands dismay  when you showed your new car, I looked at him, he looked at me and promptly said 'no!' ",Shar G,9 ay önce,19
I love love love the lemon dress and the white bow makes it look extra classy...I also loved the dark one with the popping flowers...stay blessed,Jacey Lataire,9 ay önce,26
"I'm obsessed with those wedges too, I must have at least 7-8 different pairs at this point  I can't help it. The lemon dress is soooo pretty and it has pockets, definitely a bonus!",Vikingsandra,9 ay önce (düzenlendi),2
Watching your little pups frolic through the field was the highlight of my day ️️️,Ashley Brown,9 ay önce,18
Lumie! I always go hug my little tiger every time you show her! ,Mariposa,9 ay önce,0
OMG.............Porter and Barkley running though the grass! Adorable. I keep going back to watch it over and over!,Tania Tetzner,9 ay önce,4
just in love with your family <3 what can I say!,Biscuit and cream,9 ay önce,4
"Ali and Lydia have the marriage I want. Beautiful home and gardens, connections with positive people, careers. International audience while staying home. love.",Atomistic PartB,9 ay önce,2
I’m probably a little late commenting on this vlog but I love love love your ring  featured in the last few seconds of the video after you had your nails done. Absolutely gorgeous!,Sophie Zacharia,9 ay önce,0
Don’t move!!!! I’ve watched you since your very first video!!! This house is EVERYTHING,Heather W,9 ay önce,7
"I adore all of your dresses but, the one with the lemons is beautiful and fresh!  The dogs leaping through the tall grass made my heart sing!",Janet Whittingham,9 ay önce,2
Your home seems like a forever home. I don’t understand why people always want to move these fabulous homes.,Brandy H.2426,9 ay önce,71
