text,author,date,like
"You don’t have to make an excuse for your living..! You can afford more than me but I’m not a designer or top model. You work for it. I don’t follow you because I invy you but because you inspire me. I do more skincare because of you. 
Please don’t make an excuse of yourself. You are a very nice person and to others ",HSA,9 ay önce (düzenlendi),208
"***Dear dear Lydia I’m oozing the countryside grandma thingy, didn’t even now I was. I am a real grandma and only discovered YouTube videos  during the 1st lock down!  I have really been on a journey with it. I have been a single parent living in a city; my kids are grown now. I went through right to buy to buy my council house ( what a big day that was for me).  I get so much inspiration from you and I don’t have a big house in the country and I don’t have your budget but I still turn my self out beautifully every day ( well maybe not Sundays my walking day). My house is lovely and perfect for me (especially now my kids have flown the nest). I’ve embraced my lovely grey pixie cut and I’ve stared to wear clothes I thought were too good or nice for work and have been just stuck in my wardrobe waiting for that perfect night/day out. I realise every day is perfect now. So I make myself look absolutely lovely every single day. I get the best comments. One of our new starters at work said I’m the best dress women she has ever seen, I’m 30 years older than her!  My tiny garden (yard) is currently full of potatoes,peas, tomatoes, raspberries, lettuce, strawberries, rhubarb, chives and some herbs. My clothes I buy from H&M, Arket, oasis, cos and other high street so it can be done on a smaller budget Lydia you are right I’m living proof of it. Thanks so much for the inspiration, now of of the visit a reclamation yard, my new hobby.  Xxx",5713 JC,9 ay önce,245
"I think one reason why people get frustrated about you promoting this life-style is not so much money (event though they make it about it) but time. It also comes from your content creating job : we see you making hour-long walks with your dogs , playing dress-up, gardening and cooking... All of this things can be really therapeutic but you need to have time for them every day. You talk about journeys and you have obviously grown from a place where you had no team or almost, had to work countless hours to build a situation where you can afford to take that time, and big bonus it contributes to your job. But would you have imagined this life-style when you where drowned under work every single day, wondering if you were going to make it as a content creator ? Wouldn't you have been frustrated if someone had come and told you that you just had to shift your state of mind when you were at your lowest ? ",Lise Dubois,9 ay önce,88
Yes to everything you said during your sit down chat! Everyone is capable of creating a life they love! It’s a mindset not a competition!! ,Scouted by GLee,9 ay önce,304
Can't express how grateful and inspired I am for you and your passion to share all the loveliness. The sit down chat unmistakedly conveyed a young lady of maturity that won't let anything slow her down...and has helped me stop looking at perceived limitations and embrace a beautiful life also🇭🇲,Anita Stagoll,9 ay önce,0
I live in a mobile home on North Vancouver island. Our lives couldn’t look more different but you inspire me to embrace and live my country style grandma life  and I love that about your content ️️,Michaela Thamwong,9 ay önce,272
"I really felt uplifted and in total agreement with your long conversation towards the end of the video about country living and money/mindset. I live in a rented flat. I'm not sure when I'll be able to buy a home or live the kind of lifestyle you live. I aspire to it and on the way, I'm loving my life and making it as beautiful and romantic as I can. I think some people love to be miserable. Your content makes me happy and I think a beautiful outdoorsy life is available to everyone. Riches are of the spirit ",Dinky,9 ay önce,147
"The top and bottom of it Lydia is that people want to make excuses as to why they aren’t where they want to be in life! I live in a council house, at the minute really really struggling with the current crisis, we lost everything in covid. But there’s so much to be grateful for, I live in Yorkshire surrounded by countryside, once a week I meet my friend to go for a long hike- we have found some of the most incredible places! All free. I’m growing seeds in my garden a million times smaller than yours- I don’t have beds but I have plenty of pots ",B M,9 ay önce,62
"Personally I'm inspired by you, your style and your outlook on life. I live in an urban area surrounded by other houses but I flounce around in pretty dresses because you inspired me to embrace my feminine side. I take care of my garden and grow things because I find it relaxing. Even when I had a flat I had plants on my balcony and indoor plants. Now I live in a house and my children are older, I've got myself a puppy because I always wanted one and I see how much joy animals can bring. I can't justify buying hermes bags but I'll sure as hell find dupes for your luxury items so I can wear the looks I like. These things are very much in our heads, comparison is the thief of joy. One person's success does not represent the absence of your own. Meet yourself where you are and work from there. As women we should applaud each other because we go through way too much to not support each other. Never apologise for living your life and being happy.",Shar G,9 ay önce,29
I have always loved your videos and I am an 67 year old want to be English girl.  I love so much watching your life and wishing that I could have lived in England.  Your videos give me the beautiful feeling of actually living my life like that.  I order floral print chairs when florals aren't in here in America.  I have  antique and old world stye furniture in my home.  I have two cow water troughs that are my kitchen garden.  I watch you and Josie and you can not imagine the joy that your videos give me.  I also have a Welsh terrier and a schnauzer.  Don't let the downer people of the world get you down.  I can't afford the clothes you wear but that doesn't stop me from dreaming about them and appreciating how beautiful they are on you.  I am not jealous but grateful to see your beautiful life.,Vala Stabler,9 ay önce,32
"I vote for the pink! It's gorgeous and I believe more ""wedding"" ish!! ️
Oh wow ! The Four Seasons, the food is like a painting!!!",Terry Norton,9 ay önce (düzenlendi),13
"I now have a closet full of dresses thanks to Lydia's influence and I recently purged my entire wardrobe to reflect the bohemian style that I like. Anyone can live the life they want, just do it on the budget that you have to work with. ""Comparison is the thief of joy""",Robin Rogers,9 ay önce,12
Never apologize for your decisions or your aspirations.  We all live the lives we’ve created.  Unhappy people say unkind things.  I’m sure you are inspiring more people than you realize.  Just be you!  It’s the best gift you have to share with others!  I love your videos!  ️️,GmaMom,9 ay önce,56
"""you can only meet someone as far as they have met themselves""
I try to remember this quote when I'm met with scepticism and sometimes sadly rude reactions when I try to explain the magic of cultivating a mindset of abundance, even when you don't feel like it.
Hopefully, those people will one day have their epiphany and ""get it"". But it's true that until then, it can get a bit frustrating... ",At Heart With Cloé,9 ay önce,11
"As much as I am envious of your life…. I aspire for it to be mine. Your style, home decor and things you do are all things I want to be able to achieve and do! It’s amazing to see how grateful you are- you are so lucky and it’s even more amazing to know that you understand this! Your life is how I would love my future to be and it’s amazing I can see this through someone else!",Sian,9 ay önce,1
"Dear Lydia, I live in the US and found you when looking for content about the UK.  I realize your channel is your job and you share the best of yourself, as if you have company visiting.  I think your content is so wonderfully joining the classic English with a new twist, from style and beauty to home and garden tips.  You give people a glimpse of what’s possible with effort and planning.  Love all you do!  The quote below reminds me of you.  ",Susan Shadfar,9 ay önce (düzenlendi),19
Lydia secondhand and I are the bestest of friends. You can buy secondhand anything these days and they’re absolutely gorgeous items. Thank you for being such an inspiration to all of us. ,Andra Skewes,2 ay önce,0
"I don’t have the same taste or interests as you (apart from gardening), and I’m far from in the same financial position. I don’t even live in the countryside and yet, I adore watching your videos. You’re a dear, sweet person, in my opinion. That’s how you come across to me. And full of enthusiasm and interests and quite willing to laugh at yourself and how you’re a bit “extra”. In many ways it’s your attitude that inspires me.",MrsHeeyurk,9 ay önce,9
"Lydia, I don’t live in the UK, but from what I’ve been reading these days, there are many people in the UK struggling SO severely that they are forced to choose between food or medicine or gas/petrol or heating. I don’t know the status of the person responding to you, but if I was in that position and had gotten the response “it’s all about your state of mind”. And your helpful suggestions, no matter how well meaning, might make someone feel like you are telling them it’s all their fault they are in the position they are in. I would be ticked off too. Now I’m not saying you should change anything about your content. That’s your brand and you’ve always been very clear about it. But let’s be real, for many, your lifestyle is not attainable, no matter how frugal, clever or imaginative someone is. But I do agree on one thing you said, if your content is bothering someone, then they can log off.",Faith England,9 ay önce,110
Lydia... You talked for me. Luxury moments can be create with O$. Creativity and positivity are the keys. It is something we can learn when we are young. Actually WE HAVE TO LEARN YOUNG.  Nobody's gonna tell you that this moment is special unless you make it special...️ This part of video was delightful. Continue your amazing work and you and Ali are always welcome in my paradise in Canada ️,Marie-Lise Guillemette,9 ay önce,0
