text,author,date,like
I’m here for it : Lydia just like Every woman  asking their partner for their opinion on something and then completely ignoring it  xx,Vanessa Daniell,9 ay önce,205
Both Ali and the sunglasses are keepers!,Connie Hines,9 ay önce,17
The glasses are definitely classic. The square frames that are common now are definitely a modern style. Also you are my ultimate style icon! The most beautiful dresses always!!! Keep up the styling reels! Love to see how you style all your lovely pieces!,Kylan Higgs,9 ay önce (düzenlendi),81
"I think the sunglasses look great on you. I love that look of the “old movie” glamorous star in her convertible, sporting a headscarf and sunglasses! The Hollywood glamour from waaay back in the day, before our time, were so chic, sophisticated and styled brilliantly! If only Edith Head could create and style our wardrobes for us! I think the sunglasses definitely have a fifties/sixties vibe that can be considered timeless! ",EEN63,9 ay önce,25
I love these sun glasses! Absolutely classic and chic. Excellent choice.,Karen Suvi,9 ay önce,18
"Lydia, these Céline sunglasses suit you so well! They’re a keeper, IMO 
Also, couldn’t ignore Ali’s body language and facial expressions when you asked for his opinion. He’s definitely doing his best to listen to you and help you #ThatsAmore",Dottoressa Salima - Mental Coach sull’Autostima,9 ay önce,3
"Strawberry season in our garden is going crazy, we can fill up a big bowl literally everyday  And that with what started witb 4 little plants. Loved the vlog!",Yasemin Kuskal,9 ay önce,10
"Those sunglasses are very classic, Grace Kelly or Sophia Loren timeless beauty.",Alison Costa,9 ay önce,56
"I don’t think I’ve ever enjoyed your videos as much as I do now. I find you and your life (although still more glamorous than mine ) so relatable. I love fashion and nice things, but my animals, my plants and the simple things in life just gives me pure happiness. If this lifestyle makes you happy, then I really think you’ve done the right thing by changing lanes. Can’t wait for more vlogs of the dogs, your garden and everything else!",Louise,9 ay önce,4
"The glasses are crazy!! love them, actually my mum have ones like those, she bought them in the 70s 80s, so can be quite vintage but also cool and modern, love them so much!!",Estela Jimenez,9 ay önce,9
Lol I love how you went super boujee coastal granny when you called for Ali after you finished the beauty pie haul  in your timeless sunnies… they’re definitely timeless,Stevie Bolick,9 ay önce,2
"I heard Ali and couldn't help but comment haha The glasses are definately classic! I remember my grandma wearing a pair with very similar shape, just smaller frame. It fits in the coastal grandma vibe and even I,  at 25, I would certainly wear them!",Natalia Pastra,9 ay önce,2
"Hi Lydia! I always put a swipe of translucent powder over my eyelids to prevent the black dots you’re talking about, and it works wonderfully! I never get the black spots on my eyelids anymore",linnebt,9 ay önce,0
More and more beautiful everyday ️,리디아 Lydia,2 ay önce,0
"Bronze my life lol   Lydia you really at your best. Informative, funny and relaxed. Loved it",Emer Kelly,9 ay önce,3
"The Céline sun glasses are absolutely timeless and this shape is a classic. Definitely…maybe today‘s version is a bit bigger than they used to be in the old days, but otherwise TOP! BTW I‘m so with you, the DIOR bags at the moment are terrible.",JOHANNA BAUMGARTNER-CONVERSATION PIECES,9 ay önce,2
"I don't know if the sunglasses classify as classic or not, but they look great on you!",Ana G,9 ay önce,6
Best thing I’ve used for waterproof mascara remover is the Squalene cleanser from The Ordinary combined with Nivea’s waterproof mascara remover. And they’re both incredibly affordable ,Anna Backstrom,9 ay önce,9
"A GREAT mascara that does not transfer ever is the Thrive Cosmetics one. It’s such a game changer! (Not officially waterproof, easy to remove! You should work with them !!) I love the sunglasses! Very classic elegant look, love them. And I know you kept them cause they are in your latest IG post, right? I do love this last outfit you are wearing with the bag with your hair in a bun. You have made such a beautiful life for yourself ️ inspiring beyond measure.",Stara Baker,9 ay önce,0
"I LOVE those sunglasses so much more than the big/large framed styles you normally wear-So much more timeless, looks great on you!",nichole leahy,9 ay önce,1
Watching you and Ali laughing together just makes my heart full girrrl!!! I love it!!  * cue the Oliver Twist voice over * More please!! ,Koko C,9 ay önce (düzenlendi),3
The sunglasses looking lovely and I would definitely say they’re timeless!,Verity Stothard,9 ay önce,1
Loving the sun glasses and bag. Your house and grounds are just amazing. ,Amanda jane,9 ay önce,3
"The glasses are not 100% timeless, it is actually a 90s style....a 90s interpretation of a classic!",M Politely,9 ay önce,3
"The sunglasses are the epitome of class and timelessness on Lydia. On Ali, I’m getting Johnny Depp/Willy Wonka vibes ",Courtney,9 ay önce,5
"I recently got a waterproof mascara which I love, but I find that a cleansing balm like the Clinique ‘’take the day off’’ or anything else of the like works best and involves the least amount of rubbing or pulling at the eye area :) also just wanted to say that I love your videos no matter what you post, they’re a necessity for me to watch at this point ",Bensons Bits,9 ay önce,0
