text,author,date,like
"Everyone keeps telling me it's super expensive to travel in Japan, but when I look at the prices for the food, the capsule hotels, and the sleeper train rooms, it doesn't look all that bad.",Abyrae,11 ay önce,141
This Sunrise Express train is on my bucket list.,,11 ay önce,481
"I envy Japan for having the Sunrise Express, it's such a nice and comfortable train. I love the private rooms, it would be great to take a trip like this. I hope Sunrise Express never retires, there might be faster options but this feels like a unique experience that must be protected. Thank you for sharing as always ",rosetta grey,11 ay önce,87
These videos are so peaceful. Makes me want to experience traveling all over Japan by train!,Gabby,10 ay önce,19
"Eu amo trem , os trens japoneses são incríveis,  deve ser uma experiência incrível viajar neles.",Marcel Machado,11 ay önce,39
Let's take a moment to appreciate how much effort they put in the video just for us ️️,Trabio,11 ay önce,59
"Estos videos son relajación pura para mí
Los disfruto demasiado, y un agradecimiento por que sin tener que estar ahí te das una idea de la experiencia que es.",Javeh,11 ay önce,16
"Although I am not Japanese, I am a person who likes the atmosphere of Japanese videos and anime a lot.  Your concept, mood and content are so perfect for me!  However, it is very unfortunate that we cannot go abroad due to an uninvited guest called Corona 19.  I sincerely hope that one day I will be able to go abroad and shoot a vlog  Lastly, congratulations on 1 million subscribers.  I will always support you.  Then bye  (from Korea)",세튜,11 ay önce,43
"There's other channels with this same type of content, but the consistency of the captions good energy and being told good night and good morning each time is enough for me. Thank you for making content with your own personal touches and flair",Wander,11 ay önce,55
This guy’s video is so soothing and makes you want to travel alone in Japan too ,Ray Mark Guinto,11 ay önce,69
Deve ser muito relaxante viajar nesse trem ,Laize Penaloza,11 ay önce,22
"Спасибо, что не нагрузили видео разговорами и фоновой музыкой! Люблю смотреть Ваши путешествия, успехов и интересных поездок!",Alenychka67,7 ay önce,1
"out of all the youtube channels that focus on this type of content, yours is easily the most pleasing to watch. less than 1,000 subscribers away from 1 million, and in only 6 months! congratulations; you and your little stormtrooper deserve all the celebration ",thefowles1,11 ay önce (düzenlendi),55
"Not gonna lie, but these types of videos helps me relax at night whenever I'm stressed or anxious, so thank you for your content :)",Vylet,10 ay önce,10
恭喜即將破百萬訂閱，您的頻道是我看過同質頻道當中，中文翻譯最精準的，而且拍攝和剪輯都很專業，不拖泥帶水，很期待您的新片～～,Sophie Ho,11 ay önce,32
"No Brasil 🇧🇷 não existe nada assim!
Obrigado pela legenda em português ",Ton Ronin,11 ay önce,16
It's amazing. It seems to me that 12 hours is so little.I don't remember ever riding a train for less than 20 hours (commuter trains don't count). But I like to spend a lot of time on trains. My dream is to travel the longest train route in my country (it will take about a week).,Батько,10 ay önce,10
"Seu canal é incrível ♡♡♡

UM ABRAÇO DO BRAZIL °<>°",SpeedZx,11 ay önce,10
"Ale cudownie to zobaczyć. Nie jestem za tym, aby takie aż cuda były w Polsce, ale owszem ciekawie byłoby się przejechać. Pozdrawiam",Kolejowe Podróże,11 ay önce,12
"First of all, CONGRATSS on hitting the 1M subs!  I'm not surprise...since watching your first video, Ive been looking forward to watching more of them especially the ones on the train. Its always been a dream of mine to spend overnight on one of the sleeper trains in Japan. Watching your videos has been really calming and informative. Hopefully someday I get to sit in one. Thank you so much for your videos! I hope to see more of them in the future ",Genn Lee,11 ay önce,11
"The longest train route in Russia is from Moscow to Vladivostok. Length: 9288 km
Travel time:144 hours 10 minutes",Red Army,11 ay önce,47
Japan looks so beautiful. That’s why I really wanna go there.,IHaveAVerySleepyDog,11 ay önce,7
"I like trains very much, and they uploaded a train vlog, and the atmosphere and concept fit me perfectly, so it's great to see!  If you have time later, please do a Shinkansen vlog!  In Korea, there are high-speed trains called KTX and SRT, and we know that there is a train called Shinkansen on that side, but we don't know what kind of train it is in detail.  Please!  And congratulations on 1 million subscribers.  Thank you  (I am posting from Korea)",덴프,11 ay önce,14
Grazie vivamente per aver condiviso questa bellissima esperienza e averci fatto gustare parte del bellissimo  Giappone!,alessandro biasi,11 ay önce,11
"I love your videos so much! I’d love to go travelling around the world since there’s so many amazing places. Love your content since you show the prices of what you buy in different countries, and the ambience is very calming. I would love to go to Japan sometime.",remyventss,11 ay önce,33
"Man i love japan. Its culture, its people, its transport. The reason Jaoan is my favourite country ( besides Malaysia, where I live and Singapore, which is tied with Japan) is because once at that mall outside Tokyo Disneyland,  in early December 2018, my parents brought us to have Shabu-shabu, and there was a line of three families including us. The first family went in since a table was vacant. Them when another table became vacant the second family let me and my parents go first, and it seemed like it was a long wait, so i respect them a lot",Joshua Lau,11 ay önce,1
Dziękuję za polskie napisy,Wojtek,11 ay önce,11
Como me encanta la tranquilidad que dan estos videos,Miguel Angel,11 ay önce,15
"I found your channel recently and watched every video! Thank you for sharing these trips with us, they're so relaxing and I like that you don't talk over them, the subtitles are perfect and let me absorb the atmosphere and natural sounds of the travel. They've helped me feel better during stressful days, I love your channel! Thank you for for the currency conversion costs too, they're really helpful and interesting! ",Victoria,11 ay önce,5
"Gracias por los subtítulos,  Saludos desde Republica Dominicana 🇩🇴",evelyn c,11 ay önce,2
¡Que bonito!,Mario Masis,10 ay önce,3
"I literally love your videos ️ they are very much relaxing and after watching yours, i started watching more of this kind and hoping to visit Japan someday...  Kudos from India ️",Alok Kumar Sahu,11 ay önce,13
"Видео с этим поездом уже такие родные. Кажется, будто я сама там побывала. Очень надеюсь, что когда-нибудь эта мысль реализуется.

Спасибо вам!",Axiom,11 ay önce,12
"Japan is a wonderful country with wonderful people, I also make videos and you are the best reference for me  thank you so much for your hard work and to let us discover amazing Japan with you 🇯🇵 I wish I had your talent ",Nowadays Kevin,11 ay önce,1
"If I ever go to Japan, I would love to take such a train trip. It looks so calm and peaceful. And the view surely is promising ",Stijn Verlaan,11 ay önce,2
"I am so glad I found your channel a few weeks ago. Your videos never fail to put me in a contented, relaxed mood, and your videos have a meditative quality to them that helps me focus and be aware of the present moment more than anything else. ",Raiaka,11 ay önce,5
I like your video very much.,Kou William,10 ay önce,6
This is pure travel ASMR. Love it.,,11 ay önce,10
Assisto seu vídeo no sul do Brasil!!🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Já viajei em um trem foi uma experiencia incrivel!!,Vera Baldon,11 ay önce,2
"Always one of the best parts of my day is when your newest video is posted. Thank you for filming, editing, adding those subtitles, sharing your food, and posting.",Greg Curtin,11 ay önce,7
O kadar rahatlıyorum ve mutlu oluyorum ki videolarını izlediğimde geceleri bile uyuyamadığımda trenle yolculuk videolarını izliyorum çok yardımı dokunuyor başka ülkelere gezi düzenleyeceğini görünce çok sevindim Türkiye’ye de gel lütfen ️️️,F Deniz,11 ay önce,1
I looove your videos! Soo relaxing to watch after work or before sleep ️️,navya kamarsu,11 ay önce,7
"Congratulations on 1M subscribers, I really enjoy your travel videos. They are detailed, informative and calming. Looking forward for your travels in other countries too!",Lusvita Fitri,11 ay önce,6
Que lindo viajar asi tan limpio y diciplinado todo un gusto !! En Argentina tardan 30 hs minimo en tren de larga distancia,Natalia Montenegro,11 ay önce,0
"Hey, have you already reached 1 million subscribers?  When I first visited this channel, there were about 300,000 people.  It's gaining a lot of popularity.  Later, when the Corona 19 is over, please do an overseas travel vlog.  Thank you ",천안역,11 ay önce,7
"The sunrise Express is like so cozy, I love it",zYygamer,11 ay önce,6
한국어 자막 퀄리티가 엄청 높네요. 깜짝 놀랐어요,코지마,10 ay önce,5
"I don't know if you will read my comment, but congratulations on 1 million subscribers!!  At this rate, it looks like we can reach 10 million in one year!  Thanks for the train vlog!",인생 그렇게흘러가네,11 ay önce,6
I live in the United States in our trains are nothing like you have there. I'd love the idea of traveling by train even for 2 or 3 days. You do a very fantastic job I hope you can translate this or I apologize you may read English quite well. I'm from Texas and it was really entertaining to watch your videos.,None,11 ay önce,2
마음이 편해져요.. 글고 한국인 번역자분 넘 웃겨요 ㅋㅋㅋ 첨엔 일본인이 한국번역하는 줄 알았는데 좀보다보니까 바로 한국인인거 알았습니다 ㅋㅋㅋ,ᄀᄂᄃ,10 ay önce,16
"Me encantan tus videos son tan relajantes, gracias por el video ️️",Rosa Trujillo,11 ay önce,8
"No, thank you for those amazing trips and for taking us with you!",Cathrine MacNiel,11 ay önce,11
Hope you make a million subs soon! can't wait for you to travel beyond Japan! Though I love watching all the places in Japan.️,Marie Morgan,11 ay önce,6
thank you for making these amazing videosthey all make me want to travel to japan,MudDoesArt,11 ay önce,14
What a long train ride. I am looking forward to watch the video on the overseas trip in the near future! ,Katherine Chew,11 ay önce,8
"Congratulations  you will up in the thousands in no time flat. I always love that you always have someplace to go and you explain the regions (you go to), by stating what goes on there. Thank you for your videos and showing all of us a piece of where you travel at. They’re always good on a rainy day, like today, in Florida. ",ComancheWoman7 (AKA: Stine69),11 ay önce,4
"Been a subscriber since as little as 10k, and your content always seems to amaze me <3",𝕐𝕩𝔾𝕩𝕣𝕝𝕎𝕩𝕝𝕗,11 ay önce,15
I always wanted to go to Japan it's such a cool place,Axe,11 ay önce,3
"This channel is so relaxing for me. I appreciate that you’re not an over the top reviewer, but rather a chill observer",HeyitsCJ,11 ay önce,0
"雖然你的翻譯還是蠻奇怪的，但你的拍攝手法真的很好，100萬訂閱是你應得的
Although your translation is also weird, your shooting method is really good, the 1M subscribes you deserve it",灰狼,11 ay önce,1
I'm always curious why you travel across Japan so frequently! Is it for work? I really enjoy your videos btw! They are healing! Looking forward to your videos when you go overseas too. Come Singapore! :D,Joycelyn Cai,11 ay önce,67
"I discovered your channel recently and is one of the most interesting in Youtube. Your travels are great and love the narrayive, greetings from Barcelona!",khiladi,11 ay önce,5
This is the channel I get most excited by when new videos are uploaded!,Ben Lambert,11 ay önce,1
"você provavelmente nem deve entender o que estou dizendo, mas saiba que seus videos sao muito bons e me ajudam a relaxar",Seitou,11 ay önce,11
Your videos are so relaxing and informative  I’d love to ride the Sunrise Express before it retires,Leah Samuel,11 ay önce,3
"Ваши поездки действуют на меня умиротворяюще.. Вам удалось запечатлеть прекрасные кадры природы из окна. С нетерпением жду, ваших путешествий в другие страны. Спасибо вам за ваши видео ~^°^~",Молдерм Броун,11 ay önce,17
진짜 리뷰가 너무 깔끔하고 정결하시네요 보기좋습니다,안해,11 ay önce,3
"Infelizmente acabaram com os nossos trens aqui no Brasil, mas tive a honra de fazer algumas viagens de longo percurso. 
Ahhh! Parece criança abrindo e fechando a janela do trem hahahahahahaha
Pena que a quantidade de curtidas não é a mesma de visualizações",Marcelo Flores,11 ay önce,9
The most peaceful an tranquility just splendid an another magnificent work also another massive congratulations  on the 1 mill subscribers. I really hope that sunrise express doesn't stop working I would love  to experience it when this pandemic has died down or disappears.,Earth's Generous,11 ay önce (düzenlendi),5
Amoooo seus vídeos 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,Rany 🍁,11 ay önce,4
Wow! Well done on reaching the1 million subscribers.  Hopefully as I write this it's at 1 million. You make me miss Japan so much! Can't  wait to travel again,Fiona Daniel,11 ay önce,2
"amazing videos, please continue sharing your country with the world.. i love japan.",Amy Miranda,10 ay önce,8
"This Japanese night train I would like to try. Very interrssant travel vlog! Thanks for the great video  
Greetings from Switzerland 🇨🇭",Swiss Roads & Places,11 ay önce,4
Se possível tente ir a uma vila de inverno. Tenho muita curiosidade.,Marina,11 ay önce,5
"Greetings from Germany!
I watch your Videos bevore sleeping in my bed, it is realy calming and interesting",sandro schneider,11 ay önce,3
"So glad I found this channel. Your videos are so relaxing but entertaining at the same time. I enjoy watching them, thank you for making these videos and sharing them with us.",_ ItsKooz92,11 ay önce,2
"I haven’t a clue how I came across your channel but I’m so pleased I did. I love your videos, truly well done!",Loryn Ashleigh,11 ay önce,1
"I really enjoyed your trip, i wished for more in the future, and can you do a car trip or something like that, visiting mountains and lake, shrines ️ that would be very enjoyable, thank you",Gun Pra,11 ay önce,2
These videos are so relaxing,Nathan Walker,11 ay önce,3
